Massachusetts, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,3.59,-0.05
189601,1.83,-1.81
189701,3.74,0.10
189801,5.08,1.44
189901,3.85,0.21
190001,4.34,0.70
190101,1.91,-1.73
190201,2.17,-1.47
190301,3.54,-0.10
190401,4.15,0.51
190501,4.33,0.69
190601,2.79,-0.85
190701,3.1,-0.54
190801,3.1,-0.54
190901,4.09,0.45
191001,5.51,1.87
191101,2.72,-0.92
191201,3.04,-0.60
191301,3.32,-0.32
191401,2.94,-0.70
191501,6.46,2.82
191601,1.74,-1.90
191701,3.13,-0.51
191801,3.33,-0.31
191901,3.25,-0.39
192001,2.87,-0.77
192101,2.39,-1.25
192201,1.95,-1.69
192301,6.47,2.83
192401,3.78,0.14
192501,3.57,-0.07
192601,2.66,-0.98
192701,2.76,-0.88
192801,2.6,-1.04
192901,3.77,0.13
193001,2.64,-1.00
193101,3.23,-0.41
193201,4.97,1.33
193301,2.47,-1.17
193401,3.54,-0.10
193501,5.66,2.02
193601,6.53,2.89
193701,4.8,1.16
193801,4.44,0.80
193901,2.73,-0.91
194001,2.39,-1.25
194101,3.01,-0.63
194201,3.47,-0.17
194301,3.17,-0.47
194401,1.9,-1.74
194501,3.6,-0.04
194601,3.26,-0.38
194701,3.17,-0.47
194801,4.24,0.60
194901,4.31,0.67
195001,4.27,0.63
195101,3.21,-0.43
195201,4.51,0.87
195301,6.26,2.62
195401,2.85,-0.79
195501,.84,-2.80
195601,5,1.36
195701,2.31,-1.33
195801,7.16,3.52
195901,3.1,-0.54
196001,3.25,-0.39
196101,2.57,-1.07
196201,3.61,-0.03
196301,3.19,-0.45
196401,4.58,0.94
196501,2.33,-1.31
196601,3.71,0.07
196701,1.8,-1.84
196801,2.78,-0.86
196901,1.85,-1.79
197001,1.02,-2.62
197101,2.2,-1.44
197201,2.18,-1.46
197301,3.71,0.07
197401,3.86,0.22
197501,5.26,1.62
197601,5.51,1.87
197701,3.57,-0.07
197801,8.5,4.86
197901,10.95,7.31
198001,1.16,-2.48
198101,.91,-2.73
198201,4.39,0.75
198301,4.72,1.08
198401,2.35,-1.29
198501,1.19,-2.45
198601,5.01,1.37
198701,5.51,1.87
198801,2.77,-0.87
198901,1.27,-2.37
199001,4.66,1.02
199101,3.07,-0.57
199201,2.73,-0.91
199301,2.45,-1.19
199401,5.17,1.53
199501,3.75,0.11
199601,6.6,2.96
199701,3.41,-0.23
199801,5.81,2.17
199901,6.4,2.76
200001,3.52,-0.12
200101,2.21,-1.43
200201,2.63,-1.01
200301,2.83,-0.81
200401,1.52,-2.12
200501,5.02,1.38
200601,5.61,1.97
200701,3.35,-0.29
200801,2.57,-1.07
200901,3.8,0.16
201001,3.35,-0.29
201101,3.55,-0.09
201201,3.22,-0.42
201301,1.92,-1.72
201401,3.43,-0.21
201501,4.03,0.39
