Arizona, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,.36,0.02
189605,.12,-0.22
189705,.25,-0.09
189805,.46,0.12
189905,.02,-0.32
190005,.2,-0.14
190105,.45,0.11
190205,.36,0.02
190305,.27,-0.07
190405,.44,0.10
190505,.39,0.05
190605,.16,-0.18
190705,.74,0.40
190805,.36,0.02
190905,.05,-0.29
191005,.03,-0.31
191105,.02,-0.32
191205,.24,-0.10
191305,.03,-0.31
191405,.34,0.00
191505,.48,0.14
191605,.21,-0.13
191705,.88,0.54
191805,.09,-0.25
191905,.62,0.28
192005,.44,0.10
192105,.41,0.07
192205,.36,0.02
192305,.22,-0.12
192405,.11,-0.23
192505,.18,-0.16
192605,.65,0.31
192705,.11,-0.23
192805,.62,0.28
192905,.17,-0.17
193005,.81,0.47
193105,.38,0.04
193205,.32,-0.02
193305,.24,-0.10
193405,.64,0.30
193505,.6,0.26
193605,.16,-0.18
193705,.3,-0.04
193805,.27,-0.07
193905,.07,-0.27
194005,.32,-0.02
194105,.72,0.38
194205,.01,-0.33
194305,.12,-0.22
194405,.51,0.17
194505,.04,-0.30
194605,.1,-0.24
194705,.66,0.32
194805,.04,-0.30
194905,.31,-0.03
195005,.09,-0.25
195105,.43,0.09
195205,.07,-0.27
195305,.11,-0.23
195405,.48,0.14
195505,.16,-0.18
195605,.14,-0.20
195705,.94,0.60
195805,.4,0.06
195905,.11,-0.23
196005,.27,-0.07
196105,.07,-0.27
196205,.12,-0.22
196305,.01,-0.33
196405,.15,-0.19
196505,.61,0.27
196605,.11,-0.23
196705,.37,0.03
196805,.14,-0.20
196905,.74,0.40
197005,.04,-0.30
197105,.34,0.00
197205,.2,-0.14
197305,.65,0.31
197405,.02,-0.32
197505,.16,-0.18
197605,.87,0.53
197705,.41,0.07
197805,.51,0.17
197905,1.04,0.70
198005,.36,0.02
198105,.62,0.28
198205,.91,0.57
198305,.09,-0.25
198405,.12,-0.22
198505,.17,-0.17
198605,.28,-0.06
198705,.63,0.29
198805,.09,-0.25
198905,.24,-0.10
199005,.4,0.06
199105,.08,-0.26
199205,1.64,1.30
199305,.41,0.07
199405,.59,0.25
199505,.43,0.09
199605,.09,-0.25
199705,.37,0.03
199805,.26,-0.08
199905,.17,-0.17
200005,.02,-0.32
200105,.37,0.03
200205,.01,-0.33
200305,.1,-0.24
200405,.01,-0.33
200505,.21,-0.13
200605,.05,-0.29
200705,.3,-0.04
200805,.65,0.31
200905,.74,0.40
201005,.06,-0.28
201105,.28,-0.06
201205,.05,-0.29
201305,.06,-0.28
201405,.07,-0.27
201505,1,0.66
