Washington, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,3,0.17
189604,4.22,1.39
189704,1.77,-1.06
189804,1.86,-0.97
189904,4.11,1.28
190004,2.48,-0.35
190104,3.88,1.05
190204,4.1,1.27
190304,2.38,-0.45
190404,2.94,0.11
190504,1.33,-1.50
190604,.98,-1.85
190704,3.11,0.28
190804,2.93,0.10
190904,1.3,-1.53
191004,2.52,-0.31
191104,1.44,-1.39
191204,2.72,-0.11
191304,1.75,-1.08
191404,3.05,0.22
191504,3.06,0.23
191604,2.8,-0.03
191704,5.13,2.30
191804,1.03,-1.80
191904,3.23,0.40
192004,3.71,0.88
192104,3.34,0.51
192204,2.8,-0.03
192304,2.27,-0.56
192404,1.45,-1.38
192504,2.39,-0.44
192604,1.41,-1.42
192704,2.02,-0.81
192804,3.97,1.14
192904,2.98,0.15
193004,2.4,-0.43
193104,2.38,-0.45
193204,3.57,0.74
193304,.98,-1.85
193404,1.61,-1.22
193504,1.57,-1.26
193604,1.29,-1.54
193704,5.94,3.11
193804,2.59,-0.24
193904,1.01,-1.82
194004,3.32,0.49
194104,2.33,-0.50
194204,2.3,-0.53
194304,3.44,0.61
194404,3.27,0.44
194504,2.91,0.08
194604,2.74,-0.09
194704,2.79,-0.04
194804,3.97,1.14
194904,1.62,-1.21
195004,3.37,0.54
195104,.82,-2.01
195204,1.78,-1.05
195304,2.89,0.06
195404,2.95,0.12
195504,4.44,1.61
195604,.69,-2.14
195704,2.45,-0.38
195804,4.7,1.87
195904,3.38,0.55
196004,3.94,1.11
196104,3.14,0.31
196204,3.52,0.69
196304,3.92,1.09
196404,2.43,-0.40
196504,3.19,0.36
196604,1.41,-1.42
196704,2.98,0.15
196804,2.23,-0.60
196904,3.74,0.91
197004,4.03,1.20
197104,2.32,-0.51
197204,4.08,1.25
197304,1.35,-1.48
197404,3.68,0.85
197504,2.27,-0.56
197604,2.5,-0.33
197704,1.19,-1.64
197804,3.76,0.93
197904,2.64,-0.19
198004,3.14,0.31
198104,4.09,1.26
198204,3.69,0.86
198304,2.23,-0.60
198404,3.52,0.69
198504,2.51,-0.32
198604,2.66,-0.17
198704,2.46,-0.37
198804,4.11,1.28
198904,2.89,0.06
199004,2.89,0.06
199104,4.6,1.77
199204,4.24,1.41
199304,5.15,2.32
199404,2.88,0.05
199504,3.05,0.22
199604,5.58,2.75
199704,3.98,1.15
199804,1.64,-1.19
199904,1.46,-1.37
200004,2.29,-0.54
200104,3.26,0.43
200204,3.23,0.40
200304,3.84,1.01
200404,1.35,-1.48
200504,3.37,0.54
200604,2.93,0.10
200704,2.13,-0.70
200804,2.29,-0.54
200904,2.66,-0.17
201004,4.04,1.21
201104,4.67,1.84
201204,3.93,1.10
201304,4.23,1.40
201404,3.78,0.95
201504,1.82,-1.01
