Maine, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,2.96,-0.78
189606,2.95,-0.79
189706,4.03,0.29
189806,4.54,0.80
189906,3.37,-0.37
190006,3.87,0.13
190106,2.81,-0.93
190206,6.08,2.34
190306,3.69,-0.05
190406,2.76,-0.98
190506,3.69,-0.05
190606,3.88,0.14
190706,5.06,1.32
190806,2.05,-1.69
190906,2.65,-1.09
191006,3.52,-0.22
191106,4.63,0.89
191206,2.17,-1.57
191306,1.31,-2.43
191406,3.85,0.11
191506,2.37,-1.37
191606,4.62,0.88
191706,9.36,5.62
191806,4.01,0.27
191906,2.35,-1.39
192006,3.02,-0.72
192106,1.88,-1.86
192206,8.98,5.24
192306,2.7,-1.04
192406,1.91,-1.83
192506,5.23,1.49
192606,3.01,-0.73
192706,2.61,-1.13
192806,3.59,-0.15
192906,2.86,-0.88
193006,3.37,-0.37
193106,4.62,0.88
193206,2.07,-1.67
193306,3.06,-0.68
193406,4.7,0.96
193506,5.52,1.78
193606,3.51,-0.23
193706,4.47,0.73
193806,4.13,0.39
193906,3,-0.74
194006,4.67,0.93
194106,2.31,-1.43
194206,6.12,2.38
194306,5,1.26
194406,4.4,0.66
194506,3.63,-0.11
194606,1.96,-1.78
194706,4.56,0.82
194806,2.61,-1.13
194906,2.73,-1.01
195006,5.04,1.30
195106,2.42,-1.32
195206,4.9,1.16
195306,2.37,-1.37
195406,5.87,2.13
195506,3.01,-0.73
195606,2.8,-0.94
195706,3.34,-0.40
195806,3.19,-0.55
195906,6.48,2.74
196006,3.87,0.13
196106,3.56,-0.18
196206,2.64,-1.10
196306,1.42,-2.32
196406,2.24,-1.50
196506,2.03,-1.71
196606,2.98,-0.76
196706,4.29,0.55
196806,3.77,0.03
196906,3.49,-0.25
197006,3.34,-0.40
197106,2.14,-1.60
197206,5.92,2.18
197306,4.32,0.58
197406,3.79,0.05
197506,4.23,0.49
197606,3.32,-0.42
197706,6.8,3.06
197806,4.19,0.45
197906,2.1,-1.64
198006,2.87,-0.87
198106,4.3,0.56
198206,4.87,1.13
198306,1.79,-1.95
198406,6.13,2.39
198506,3.96,0.22
198606,3.33,-0.41
198706,4.48,0.74
198806,2.48,-1.26
198906,4.08,0.34
199006,4.46,0.72
199106,2.35,-1.39
199206,4.58,0.84
199306,4.27,0.53
199406,3.89,0.15
199506,2.36,-1.38
199606,4.34,0.60
199706,3.28,-0.46
199806,6.81,3.07
199906,3.37,-0.37
200006,2.65,-1.09
200106,3.76,0.02
200206,4.17,0.43
200306,3.27,-0.47
200406,2.77,-0.97
200506,3.44,-0.30
200606,7.39,3.65
200706,3.05,-0.69
200806,6.16,2.42
200906,6.7,2.96
201006,5.54,1.80
201106,4.06,0.32
201206,7.58,3.84
201306,6.55,2.81
201406,4.58,0.84
201506,5.82,2.08
