Minnesota, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.58,-0.47
189604,5.56,3.51
189704,1.55,-0.50
189804,1.31,-0.74
189904,1.7,-0.35
190004,1.3,-0.75
190104,1.76,-0.29
190204,1.54,-0.51
190304,2.63,0.58
190404,1.72,-0.33
190504,1.64,-0.41
190604,1.64,-0.41
190704,1.03,-1.02
190804,2.27,0.22
190904,1.67,-0.38
191004,1.62,-0.43
191104,1.81,-0.24
191204,2.03,-0.02
191304,1.9,-0.15
191404,2.18,0.13
191504,1.59,-0.46
191604,2.69,0.64
191704,2.17,0.12
191804,1.91,-0.14
191904,2.33,0.28
192004,1.73,-0.32
192104,1.81,-0.24
192204,1.9,-0.15
192304,1.7,-0.35
192404,2.5,0.45
192504,2.08,0.03
192604,.44,-1.61
192704,2.63,0.58
192804,1.98,-0.07
192904,1.81,-0.24
193004,1.04,-1.01
193104,.84,-1.21
193204,1.94,-0.11
193304,1.54,-0.51
193404,1.15,-0.90
193504,2.4,0.35
193604,1.3,-0.75
193704,3.85,1.80
193804,3.13,1.08
193904,1.34,-0.71
194004,2.72,0.67
194104,3.03,0.98
194204,2.04,-0.01
194304,1.23,-0.82
194404,1.75,-0.30
194504,2.73,0.68
194604,1.23,-0.82
194704,3.19,1.14
194804,2.75,0.70
194904,.71,-1.34
195004,2.51,0.46
195104,2,-0.05
195204,.94,-1.11
195304,2.85,0.80
195404,2.86,0.81
195504,1.77,-0.28
195604,1.66,-0.39
195704,2.14,0.09
195804,1.71,-0.34
195904,.69,-1.36
196004,3.02,0.97
196104,2.27,0.22
196204,1.76,-0.29
196304,2.54,0.49
196404,3.47,1.42
196504,2.96,0.91
196604,2.09,0.04
196704,2.98,0.93
196804,3.96,1.91
196904,1.85,-0.20
197004,2.89,0.84
197104,1.27,-0.78
197204,1.93,-0.12
197304,1.65,-0.40
197404,2.48,0.43
197504,2.93,0.88
197604,1.15,-0.90
197704,2.02,-0.03
197804,2.35,0.30
197904,1.94,-0.11
198004,.5,-1.55
198104,2.62,0.57
198204,1.59,-0.46
198304,1.43,-0.62
198404,2.53,0.48
198504,2.79,0.74
198604,4.73,2.68
198704,.39,-1.66
198804,.94,-1.11
198904,1.76,-0.29
199004,2.67,0.62
199104,3.57,1.52
199204,1.92,-0.13
199304,2.44,0.39
199404,3.3,1.25
199504,2.01,-0.04
199604,1.06,-0.99
199704,1.47,-0.58
199804,1.56,-0.49
199904,2.81,0.76
200004,1.44,-0.61
200104,5.3,3.25
200204,2.24,0.19
200304,2.05,0.00
200404,1.37,-0.68
200504,1.91,-0.14
200604,2.64,0.59
200704,2.39,0.34
200804,3.3,1.25
200904,1.6,-0.45
201004,1.35,-0.70
201104,2.7,0.65
201204,2.76,0.71
201304,3.05,1.00
201404,3.7,1.65
201504,1.39,-0.66
