Arizona, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,.22,-0.90
189603,.66,-0.46
189703,.77,-0.35
189803,.71,-0.41
189903,.2,-0.92
190003,.66,-0.46
190103,.53,-0.59
190203,.65,-0.47
190303,1.06,-0.06
190403,.35,-0.77
190503,3.47,2.35
190603,2.1,0.98
190703,1.07,-0.05
190803,.76,-0.36
190903,1.32,0.20
191003,.62,-0.50
191103,1.13,0.01
191203,3,1.88
191303,.32,-0.80
191403,.61,-0.51
191503,.75,-0.37
191603,1.3,0.18
191703,.14,-0.98
191803,1.66,0.54
191903,.91,-0.21
192003,1.47,0.35
192103,.47,-0.65
192203,1.21,0.09
192303,.88,-0.24
192403,1.54,0.42
192503,.93,-0.19
192603,1.75,0.63
192703,1.15,0.03
192803,.36,-0.76
192903,.38,-0.74
193003,1.86,0.74
193103,.31,-0.81
193203,.34,-0.78
193303,.02,-1.10
193403,.24,-0.88
193503,1.33,0.21
193603,.87,-0.25
193703,1.73,0.61
193803,2.12,1.00
193903,.72,-0.40
194003,.24,-0.88
194103,2.86,1.74
194203,.46,-0.66
194303,1.33,0.21
194403,1.05,-0.07
194503,1.94,0.82
194603,.56,-0.56
194703,.12,-1.00
194803,.92,-0.20
194903,.54,-0.58
195003,.49,-0.63
195103,.5,-0.62
195203,2.27,1.15
195303,.92,-0.20
195403,2.4,1.28
195503,.09,-1.03
195603,.04,-1.08
195703,.89,-0.23
195803,2.39,1.27
195903,.01,-1.11
196003,.49,-0.63
196103,1.2,0.08
196203,.76,-0.36
196303,.64,-0.48
196403,1.1,-0.02
196503,1.16,0.04
196603,.32,-0.80
196703,.54,-0.58
196803,1.07,-0.05
196903,.83,-0.29
197003,2.49,1.37
197103,.1,-1.02
197203,.01,-1.11
197303,3.16,2.04
197403,.8,-0.32
197503,1.46,0.34
197603,.54,-0.58
197703,.47,-0.65
197803,2.85,1.73
197903,2.03,0.91
198003,1.57,0.45
198103,2.05,0.93
198203,1.88,0.76
198303,2.9,1.78
198403,.37,-0.75
198503,1.1,-0.02
198603,1.7,0.58
198703,.75,-0.37
198803,.12,-1.00
198903,.77,-0.35
199003,.73,-0.39
199103,3.07,1.95
199203,2.91,1.79
199303,1.15,0.03
199403,1.24,0.12
199503,1.52,0.40
199603,.37,-0.75
199703,.11,-1.01
199803,1.9,0.78
199903,.19,-0.93
200003,1.73,0.61
200103,1.04,-0.08
200203,.22,-0.90
200303,1.07,-0.05
200403,.75,-0.37
200503,.86,-0.26
200603,1.41,0.29
200703,.83,-0.29
200803,.07,-1.05
200903,.17,-0.95
201003,1.03,-0.09
201103,.33,-0.79
201203,.69,-0.43
201303,.57,-0.55
201403,.9,-0.22
201503,1.12,0.00
