New Mexico, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,.75,0.14
189601,.32,-0.29
189701,1.04,0.43
189801,.76,0.15
189901,.24,-0.37
190001,.58,-0.03
190101,.49,-0.12
190201,.49,-0.12
190301,.28,-0.33
190401,.2,-0.41
190501,1.19,0.58
190601,.44,-0.17
190701,1.25,0.64
190801,.5,-0.11
190901,.26,-0.35
191001,.34,-0.27
191101,.66,0.05
191201,.05,-0.56
191301,.56,-0.05
191401,.27,-0.34
191501,.87,0.26
191601,1.81,1.20
191701,.79,0.18
191801,1.02,0.41
191901,.17,-0.44
192001,.98,0.37
192101,.6,-0.01
192201,.51,-0.10
192301,.34,-0.27
192401,.2,-0.41
192501,.23,-0.38
192601,.67,0.06
192701,.11,-0.50
192801,.03,-0.58
192901,.22,-0.39
193001,.67,0.06
193101,.47,-0.14
193201,.89,0.28
193301,.46,-0.15
193401,.21,-0.40
193501,.94,0.33
193601,.92,0.31
193701,.4,-0.21
193801,.64,0.03
193901,1.3,0.69
194001,.54,-0.07
194101,1.16,0.55
194201,.27,-0.34
194301,.46,-0.15
194401,.74,0.13
194501,.76,0.15
194601,.87,0.26
194701,.6,-0.01
194801,.57,-0.04
194901,1.65,1.04
195001,.27,-0.34
195101,.64,0.03
195201,.68,0.07
195301,.17,-0.44
195401,.37,-0.24
195501,.64,0.03
195601,.55,-0.06
195701,.88,0.27
195801,.78,0.17
195901,.18,-0.43
196001,1.02,0.41
196101,.56,-0.05
196201,.79,0.18
196301,.44,-0.17
196401,.17,-0.44
196501,.63,0.02
196601,.53,-0.08
196701,.11,-0.50
196801,.58,-0.03
196901,.46,-0.15
197001,.07,-0.54
197101,.25,-0.36
197201,.17,-0.44
197301,.8,0.19
197401,.9,0.29
197501,.74,0.13
197601,.18,-0.43
197701,.71,0.10
197801,1.05,0.44
197901,1.35,0.74
198001,1.1,0.49
198101,.44,-0.17
198201,.79,0.18
198301,1.07,0.46
198401,.44,-0.17
198501,1.02,0.41
198601,.15,-0.46
198701,.89,0.28
198801,.56,-0.05
198901,.65,0.04
199001,.67,0.06
199101,.65,0.04
199201,.94,0.33
199301,1.68,1.07
199401,.25,-0.36
199501,.94,0.33
199601,.38,-0.23
199701,1.11,0.50
199801,.18,-0.43
199901,.51,-0.10
200001,.23,-0.38
200101,1.16,0.55
200201,.52,-0.09
200301,.07,-0.54
200401,.49,-0.12
200501,1.63,1.02
200601,.16,-0.45
200701,1.04,0.43
200801,.61,0.00
200901,.2,-0.41
201001,1.44,0.83
201101,.08,-0.53
201201,.28,-0.33
201301,.5,-0.11
201401,.03,-0.58
201501,1.41,0.80
