Pennsylvania, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.28,-1.32
189602,4.31,1.71
189702,3.31,0.71
189802,2.07,-0.53
189902,3.89,1.29
190002,4.08,1.48
190102,.99,-1.61
190202,3.55,0.95
190302,4.4,1.80
190402,2.54,-0.06
190502,1.62,-0.98
190602,1.64,-0.96
190702,1.86,-0.74
190802,4.65,2.05
190902,4.76,2.16
191002,3.85,1.25
191102,2.38,-0.22
191202,2.3,-0.30
191302,1.85,-0.75
191402,2.82,0.22
191502,3.7,1.10
191602,3.06,0.46
191702,1.53,-1.07
191802,2.49,-0.11
191902,2.09,-0.51
192002,2.53,-0.07
192102,2.56,-0.04
192202,1.94,-0.66
192302,2.04,-0.56
192402,2.83,0.23
192502,2.17,-0.43
192602,4.1,1.50
192702,3.53,0.93
192802,3.26,0.66
192902,2.73,0.13
193002,2.56,-0.04
193102,2.01,-0.59
193202,1.75,-0.85
193302,2.21,-0.39
193402,1.19,-1.41
193502,2.73,0.13
193602,2.3,-0.30
193702,2.42,-0.18
193802,2.89,0.29
193902,4.4,1.80
194002,3.31,0.71
194102,.91,-1.69
194202,2.65,0.05
194302,1.73,-0.87
194402,2,-0.60
194502,2.67,0.07
194602,2.4,-0.20
194702,1.35,-1.25
194802,2.11,-0.49
194902,2.52,-0.08
195002,3.87,1.27
195102,3.62,1.02
195202,2.36,-0.24
195302,2.12,-0.48
195402,2.01,-0.59
195502,2.87,0.27
195602,4.68,2.08
195702,2.17,-0.43
195802,2.57,-0.03
195902,2.57,-0.03
196002,3.67,1.07
196102,3.5,0.90
196202,3.55,0.95
196302,1.84,-0.76
196402,2.52,-0.08
196502,2.61,0.01
196602,3.17,0.57
196702,1.99,-0.61
196802,.62,-1.98
196902,1.02,-1.58
197002,2.69,0.09
197102,4.63,2.03
197202,4.03,1.43
197302,2.46,-0.14
197402,1.72,-0.88
197502,3.61,1.01
197602,2.46,-0.14
197702,1.64,-0.96
197802,1.02,-1.58
197902,3.29,0.69
198002,1.09,-1.51
198102,5.24,2.64
198202,2.66,0.06
198302,2,-0.60
198402,3.85,1.25
198502,2.06,-0.54
198602,3.67,1.07
198702,.74,-1.86
198802,2.99,0.39
198902,2.48,-0.12
199002,2.88,0.28
199102,1.72,-0.88
199202,1.86,-0.74
199302,2.23,-0.37
199402,2.87,0.27
199502,1.9,-0.70
199602,2.43,-0.17
199702,2.05,-0.55
199802,3.67,1.07
199902,1.9,-0.70
200002,2.82,0.22
200102,1.55,-1.05
200202,1.45,-1.15
200302,3.51,0.91
200402,2.26,-0.34
200502,2.31,-0.29
200602,1.79,-0.81
200702,2.24,-0.36
200802,5.21,2.61
200902,1.3,-1.30
201002,2.66,0.06
201102,3.73,1.13
201202,1.5,-1.10
201302,1.98,-0.62
201402,3.24,0.64
201502,1.52,-1.08
