New York, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,2.82,-0.95
189606,3.39,-0.38
189706,3.81,0.04
189806,3.62,-0.15
189906,2.48,-1.29
190006,2.92,-0.85
190106,3.59,-0.18
190206,5.32,1.55
190306,7.11,3.34
190406,3.38,-0.39
190506,6.21,2.44
190606,4.56,0.79
190706,3.24,-0.53
190806,2.81,-0.96
190906,2.94,-0.83
191006,2.88,-0.89
191106,4.13,0.36
191206,1.28,-2.49
191306,2.15,-1.62
191406,3.31,-0.46
191506,3.4,-0.37
191606,4.8,1.03
191706,6.09,2.32
191806,3.74,-0.03
191906,3.13,-0.64
192006,3.28,-0.49
192106,2.74,-1.03
192206,8.06,4.29
192306,3.77,0.00
192406,2.76,-1.01
192506,4.2,0.43
192606,3.74,-0.03
192706,2.11,-1.66
192806,6.19,2.42
192906,3.56,-0.21
193006,4.28,0.51
193106,3.21,-0.56
193206,3.05,-0.72
193306,1.98,-1.79
193406,3.69,-0.08
193506,4.46,0.69
193606,2.32,-1.45
193706,5.2,1.43
193806,3.56,-0.21
193906,3.15,-0.62
194006,4.38,0.61
194106,3.04,-0.73
194206,3.02,-0.75
194306,3.73,-0.04
194406,4.82,1.05
194506,4.04,0.27
194606,3.81,0.04
194706,4.98,1.21
194806,4.32,0.55
194906,1.48,-2.29
195006,3.33,-0.44
195106,4.36,0.59
195206,3.01,-0.76
195306,2,-1.77
195406,3.95,0.18
195506,2.25,-1.52
195606,2.37,-1.40
195706,3.74,-0.03
195806,4.09,0.32
195906,3.2,-0.57
196006,4.27,0.50
196106,4.66,0.89
196206,2.8,-0.97
196306,2.44,-1.33
196406,1.9,-1.87
196506,2.27,-1.50
196606,2.87,-0.90
196706,3.12,-0.65
196806,4.82,1.05
196906,4.6,0.83
197006,3.14,-0.63
197106,2.59,-1.18
197206,8.58,4.81
197306,5.02,1.25
197406,3.84,0.07
197506,4.37,0.60
197606,5.04,1.27
197706,3.43,-0.34
197806,3.53,-0.24
197906,1.91,-1.86
198006,4.29,0.52
198106,3.86,0.09
198206,5.88,2.11
198306,3.02,-0.75
198406,3.19,-0.58
198506,3.95,0.18
198606,5.69,1.92
198706,4.46,0.69
198806,1.58,-2.19
198906,5.83,2.06
199006,3.29,-0.48
199106,1.6,-2.17
199206,2.87,-0.90
199306,3.93,0.16
199406,5.07,1.30
199506,1.79,-1.98
199606,4.81,1.04
199706,2.97,-0.80
199806,6.74,2.97
199906,2.19,-1.58
200006,5.32,1.55
200106,4.29,0.52
200206,5.44,1.67
200306,4.08,0.31
200406,2.88,-0.89
200506,3.62,-0.15
200606,7.16,3.39
200706,2.91,-0.86
200806,4.38,0.61
200906,5.03,1.26
201006,5.57,1.80
201106,4.25,0.48
201206,3.34,-0.43
201306,7.46,3.69
201406,5.11,1.34
201506,7.68,3.91
