Massachusetts, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,2.4,-1.19
189605,2.5,-1.09
189705,4.43,0.84
189805,4.51,0.92
189905,1.52,-2.07
190005,4.23,0.64
190105,6.44,2.85
190205,1.97,-1.62
190305,.77,-2.82
190405,2.97,-0.62
190505,1.18,-2.41
190605,5.29,1.70
190705,3.48,-0.11
190805,4.63,1.04
190905,3.02,-0.57
191005,2.49,-1.10
191105,1.43,-2.16
191205,4.75,1.16
191305,3.5,-0.09
191405,2.84,-0.75
191505,1.97,-1.62
191605,3.44,-0.15
191705,4.15,0.56
191805,2.27,-1.32
191905,5.35,1.76
192005,3.97,0.38
192105,3.39,-0.20
192205,4.9,1.31
192305,1.75,-1.84
192405,3.38,-0.21
192505,2.58,-1.01
192605,2.33,-1.26
192705,3.45,-0.14
192805,2.64,-0.95
192905,3.96,0.37
193005,3.34,-0.25
193105,5.26,1.67
193205,1.86,-1.73
193305,2.29,-1.30
193405,3.48,-0.11
193505,2.19,-1.40
193605,2.32,-1.27
193705,4.06,0.47
193805,3.86,0.27
193905,1.55,-2.04
194005,4.91,1.32
194105,2.7,-0.89
194205,3.07,-0.52
194305,5.47,1.88
194405,1.13,-2.46
194505,5.61,2.02
194605,5.69,2.10
194705,4.39,0.80
194805,6.9,3.31
194905,4.03,0.44
195005,2.82,-0.77
195105,3.97,0.38
195205,4.07,0.48
195305,4.99,1.40
195405,6.58,2.99
195505,1.61,-1.98
195605,2.01,-1.58
195705,3.1,-0.49
195805,3.73,0.14
195905,1.49,-2.10
196005,3.72,0.13
196105,4.1,0.51
196205,2.23,-1.36
196305,3.61,0.02
196405,1.04,-2.55
196505,1.44,-2.15
196605,3.75,0.16
196705,6.69,3.10
196805,4.25,0.66
196905,2.69,-0.90
197005,3.72,0.13
197105,4.21,0.62
197205,5.55,1.96
197305,5.11,1.52
197405,4.38,0.79
197505,2.56,-1.03
197605,3.8,0.21
197705,3.27,-0.32
197805,4.4,0.81
197905,5.44,1.85
198005,1.79,-1.80
198105,2.83,-0.76
198205,2.6,-0.99
198305,5.04,1.45
198405,8.9,5.31
198505,3.93,0.34
198605,2.04,-1.55
198705,1.86,-1.73
198805,3.59,0.00
198905,6.3,2.71
199005,7.12,3.53
199105,3.84,0.25
199205,1.86,-1.73
199305,1.18,-2.41
199405,4.43,0.84
199505,2.69,-0.90
199605,4.02,0.43
199705,3.43,-0.16
199805,4.96,1.37
199905,3.91,0.32
200005,3.93,0.34
200105,3.06,-0.53
200205,5.43,1.84
200305,4.17,0.58
200405,3.8,0.21
200505,4.62,1.03
200605,8.37,4.78
200705,3.29,-0.30
200805,2.21,-1.38
200905,3.83,0.24
201005,2.74,-0.85
201105,3.67,0.08
201205,4.79,1.20
201305,5.14,1.55
201405,3.75,0.16
201505,.96,-2.63
