South Dakota, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,4.16,0.73
189606,3.9,0.47
189706,2.97,-0.46
189806,1.66,-1.77
189906,3.72,0.29
190006,2.25,-1.18
190106,5.75,2.32
190206,3.2,-0.23
190306,2.36,-1.07
190406,4.17,0.74
190506,5.04,1.61
190606,2.87,-0.56
190706,3.32,-0.11
190806,4.42,0.99
190906,3.55,0.12
191006,2.31,-1.12
191106,1.63,-1.80
191206,1.42,-2.01
191306,2.17,-1.26
191406,5.04,1.61
191506,5.35,1.92
191606,3.54,0.11
191706,1.9,-1.53
191806,2.41,-1.02
191906,3.27,-0.16
192006,4.59,1.16
192106,1.75,-1.68
192206,3.67,0.24
192306,4.53,1.10
192406,4.83,1.40
192506,5.36,1.93
192606,2.75,-0.68
192706,2.6,-0.83
192806,4.04,0.61
192906,2.1,-1.33
193006,2.58,-0.85
193106,2.19,-1.24
193206,3.93,0.50
193306,1.37,-2.06
193406,3.08,-0.35
193506,2.83,-0.60
193606,1.29,-2.14
193706,3.53,0.10
193806,2.63,-0.80
193906,4.13,0.70
194006,2.87,-0.56
194106,5.05,1.62
194206,4.22,0.79
194306,5.16,1.73
194406,5.23,1.80
194506,3.88,0.45
194606,4.29,0.86
194706,6.13,2.70
194806,4.94,1.51
194906,2.08,-1.35
195006,1.38,-2.05
195106,4.52,1.09
195206,3.42,-0.01
195306,4.91,1.48
195406,4.2,0.77
195506,3.09,-0.34
195606,2.06,-1.37
195706,4.07,0.64
195806,3.16,-0.27
195906,2.43,-1.00
196006,3.45,0.02
196106,2.42,-1.01
196206,4.84,1.41
196306,4.03,0.60
196406,4.56,1.13
196506,3.84,0.41
196606,2.43,-1.00
196706,6.16,2.73
196806,5.35,1.92
196906,3.19,-0.24
197006,2.67,-0.76
197106,3.48,0.05
197206,2.79,-0.64
197306,1.61,-1.82
197406,1.57,-1.86
197506,4.2,0.77
197606,2.92,-0.51
197706,2.84,-0.59
197806,2.61,-0.82
197906,3.43,0.00
198006,3.03,-0.40
198106,2.79,-0.64
198206,2.48,-0.95
198306,3.58,0.15
198406,5.81,2.38
198506,2.13,-1.30
198606,3.66,0.23
198706,1.47,-1.96
198806,2.38,-1.05
198906,1.77,-1.66
199006,3.79,0.36
199106,4.2,0.77
199206,4.09,0.66
199306,5.67,2.24
199406,3.07,-0.36
199506,3.29,-0.14
199606,2.04,-1.39
199706,3.16,-0.27
199806,4.64,1.21
199906,4.72,1.29
200006,2.7,-0.73
200106,3.2,-0.23
200206,1.55,-1.88
200306,3.61,0.18
200406,2.64,-0.79
200506,5.04,1.61
200606,1.77,-1.66
200706,3.22,-0.21
200806,5.04,1.61
200906,3.49,0.06
201006,4.92,1.49
201106,4.52,1.09
201206,2.18,-1.25
201306,3.12,-0.31
201406,5.89,2.46
201506,4.05,0.62
