Montana, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.22,-0.29
189604,1.71,0.20
189704,1.22,-0.29
189804,1.37,-0.14
189904,1.36,-0.15
190004,2.64,1.13
190104,1.2,-0.31
190204,1.37,-0.14
190304,1.83,0.32
190404,1.02,-0.49
190504,1,-0.51
190604,1.3,-0.21
190704,1.22,-0.29
190804,1.03,-0.48
190904,1.27,-0.24
191004,1.15,-0.36
191104,1.35,-0.16
191204,1.96,0.45
191304,.91,-0.60
191404,1.33,-0.18
191504,1.08,-0.43
191604,1.14,-0.37
191704,1.85,0.34
191804,1.31,-0.20
191904,.71,-0.80
192004,2.45,0.94
192104,1.44,-0.07
192204,2.45,0.94
192304,1.4,-0.11
192404,1.1,-0.41
192504,2.4,0.89
192604,.5,-1.01
192704,1.65,0.14
192804,1.13,-0.38
192904,1.27,-0.24
193004,1.85,0.34
193104,.74,-0.77
193204,2.23,0.72
193304,1.94,0.43
193404,.64,-0.87
193504,1.51,0.00
193604,1.08,-0.43
193704,1.16,-0.35
193804,.92,-0.59
193904,1.02,-0.49
194004,2.85,1.34
194104,1.87,0.36
194204,1.3,-0.21
194304,2.04,0.53
194404,1.13,-0.38
194504,1.41,-0.10
194604,.65,-0.86
194704,1.24,-0.27
194804,1.56,0.05
194904,.75,-0.76
195004,1.46,-0.05
195104,1.42,-0.09
195204,.44,-1.07
195304,2.15,0.64
195404,1.42,-0.09
195504,2.11,0.60
195604,1.2,-0.31
195704,1.89,0.38
195804,1.76,0.25
195904,1.49,-0.02
196004,1.71,0.20
196104,1.87,0.36
196204,.92,-0.59
196304,2,0.49
196404,2,0.49
196504,2.13,0.62
196604,1.24,-0.27
196704,2.29,0.78
196804,1.08,-0.43
196904,1.79,0.28
197004,2.41,0.90
197104,1.65,0.14
197204,1.21,-0.30
197304,2.27,0.76
197404,1.44,-0.07
197504,2.73,1.22
197604,2.05,0.54
197704,.41,-1.10
197804,1.79,0.28
197904,1.81,0.30
198004,1.07,-0.44
198104,1.03,-0.48
198204,1.54,0.03
198304,.8,-0.71
198404,1.75,0.24
198504,1.1,-0.41
198604,1.6,0.09
198704,.65,-0.86
198804,1.34,-0.17
198904,2.26,0.75
199004,1.64,0.13
199104,2.75,1.24
199204,2.02,0.51
199304,1.95,0.44
199404,1.91,0.40
199504,1.9,0.39
199604,1.61,0.10
199704,1.78,0.27
199804,1.33,-0.18
199904,1.75,0.24
200004,1.28,-0.23
200104,1.72,0.21
200204,1.25,-0.26
200304,2.03,0.52
200404,1.15,-0.36
200504,1.94,0.43
200604,2.68,1.17
200704,1.78,0.27
200804,.98,-0.53
200904,1.94,0.43
201004,2.08,0.57
201104,2.52,1.01
201204,1.98,0.47
201304,1.5,-0.01
201404,1.47,-0.04
201504,1.08,-0.43
