Massachusetts, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,2.87,-0.78
189606,2.64,-1.01
189706,4.71,1.06
189806,2.79,-0.86
189906,3.96,0.31
190006,2.89,-0.76
190106,1.62,-2.03
190206,3.55,-0.10
190306,7.75,4.10
190406,3.47,-0.18
190506,5.19,1.54
190606,3.78,0.13
190706,3.12,-0.53
190806,1.44,-2.21
190906,2.63,-1.02
191006,3.81,0.16
191106,2.84,-0.81
191206,.69,-2.96
191306,1.31,-2.34
191406,1.92,-1.73
191506,2.03,-1.62
191606,5.34,1.69
191706,5,1.35
191806,3.7,0.05
191906,1.87,-1.78
192006,6.14,2.49
192106,3.31,-0.34
192206,7.87,4.22
192306,3.09,-0.56
192406,1.88,-1.77
192506,3.72,0.07
192606,2.45,-1.20
192706,3.02,-0.63
192806,6.08,2.43
192906,2.32,-1.33
193006,3.31,-0.34
193106,6.22,2.57
193206,2.67,-0.98
193306,2.23,-1.42
193406,4.95,1.30
193506,5.63,1.98
193606,2.97,-0.68
193706,4.58,0.93
193806,7.48,3.83
193906,3.26,-0.39
194006,2.98,-0.67
194106,4.17,0.52
194206,3.83,0.18
194306,2.43,-1.22
194406,5.58,1.93
194506,6.15,2.50
194606,3.76,0.11
194706,3.75,0.10
194806,5.14,1.49
194906,.85,-2.80
195006,3.02,-0.63
195106,3.15,-0.50
195206,4.16,0.51
195306,1.93,-1.72
195406,2.93,-0.72
195506,3.27,-0.38
195606,2.61,-1.04
195706,2.07,-1.58
195806,2.09,-1.56
195906,4.97,1.32
196006,3.18,-0.47
196106,2.74,-0.91
196206,3.52,-0.13
196306,2.75,-0.90
196406,1.73,-1.92
196506,2.67,-0.98
196606,2.32,-1.33
196706,3.88,0.23
196806,7.04,3.39
196906,2.64,-1.01
197006,3.56,-0.09
197106,1.96,-1.69
197206,8.07,4.42
197306,5,1.35
197406,3.27,-0.38
197506,4.28,0.63
197606,1.79,-1.86
197706,4.76,1.11
197806,3.13,-0.52
197906,1.06,-2.59
198006,3.7,0.05
198106,3.39,-0.26
198206,10.2,6.55
198306,2.67,-0.98
198406,4.33,0.68
198506,4.24,0.59
198606,6.37,2.72
198706,2.85,-0.80
198806,1.42,-2.23
198906,5.32,1.67
199006,1.99,-1.66
199106,2.48,-1.17
199206,5.25,1.60
199306,2.28,-1.37
199406,2.58,-1.07
199506,2.45,-1.20
199606,2.96,-0.69
199706,1.35,-2.30
199806,9.21,5.56
199906,1.44,-2.21
200006,6.2,2.55
200106,5.89,2.24
200206,4.59,0.94
200306,5.52,1.87
200406,2.21,-1.44
200506,2.46,-1.19
200606,9.49,5.84
200706,3.07,-0.58
200806,4.46,0.81
200906,5.6,1.95
201006,3.35,-0.30
201106,5.45,1.80
201206,4.07,0.42
201306,9.59,5.94
201406,2.8,-0.85
201506,6.57,2.92
