Texas, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,1.51,-0.27
189612,1.34,-0.44
189712,1.7,-0.08
189812,1.85,0.07
189912,2.66,0.88
190012,.85,-0.93
190112,.88,-0.90
190212,1.53,-0.25
190312,.83,-0.95
190412,1.51,-0.27
190512,2.53,0.75
190612,1.59,-0.19
190712,1.43,-0.35
190812,.82,-0.96
190912,1.86,0.08
191012,1.61,-0.17
191112,4.05,2.27
191212,2.37,0.59
191312,3.8,2.02
191412,2.8,1.02
191512,1.49,-0.29
191612,.53,-1.25
191712,.15,-1.63
191812,2.93,1.15
191912,.84,-0.94
192012,1.11,-0.67
192112,1.07,-0.71
192212,.41,-1.37
192312,4.24,2.46
192412,1.34,-0.44
192512,.84,-0.94
192612,3.4,1.62
192712,2.1,0.32
192812,2.1,0.32
192912,1.41,-0.37
193012,1.66,-0.12
193112,3.45,1.67
193212,3.18,1.40
193312,1.52,-0.26
193412,1.48,-0.30
193512,2.52,0.74
193612,1.63,-0.15
193712,3.45,1.67
193812,1.44,-0.34
193912,1.46,-0.32
194012,3.02,1.24
194112,1.45,-0.33
194212,1.86,0.08
194312,2.48,0.70
194412,2.97,1.19
194512,1.33,-0.45
194612,1.72,-0.06
194712,2.28,0.50
194812,.72,-1.06
194912,2.25,0.47
195012,.24,-1.54
195112,.7,-1.08
195212,2.1,0.32
195312,1.66,-0.12
195412,.75,-1.03
195512,.66,-1.12
195612,1.41,-0.37
195712,.95,-0.83
195812,.84,-0.94
195912,2.69,0.91
196012,3.86,2.08
196112,1.37,-0.41
196212,1.62,-0.16
196312,1.28,-0.50
196412,1.2,-0.58
196512,2.47,0.69
196612,.8,-0.98
196712,1.85,0.07
196812,1.29,-0.49
196912,2.28,0.50
197012,.49,-1.29
197112,2.8,1.02
197212,.83,-0.95
197312,.93,-0.85
197412,1.65,-0.13
197512,1.21,-0.57
197612,1.95,0.17
197712,.56,-1.22
197812,1.25,-0.53
197912,2.09,0.31
198012,1.11,-0.67
198112,.48,-1.30
198212,2.72,0.94
198312,1.09,-0.69
198412,2.91,1.13
198512,.99,-0.79
198612,3.3,1.52
198712,2.61,0.83
198812,1.37,-0.41
198912,.67,-1.11
199012,1.07,-0.71
199112,5.59,3.81
199212,2.25,0.47
199312,1.45,-0.33
199412,2.75,0.97
199512,1.57,-0.21
199612,1.05,-0.73
199712,2.84,1.06
199812,1.72,-0.06
199912,1.2,-0.58
200012,1.75,-0.03
200112,2.28,0.50
200212,3.11,1.33
200312,.71,-1.07
200412,.81,-0.97
200512,.45,-1.33
200612,2.5,0.72
200712,1.22,-0.56
200812,.52,-1.26
200912,2.22,0.44
201012,.73,-1.05
201112,2.86,1.08
201212,.97,-0.81
201312,1.36,-0.42
201412,1.22,-0.56
201512,2.51,0.73
