Louisiana, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.61,-2.51
189609,2.48,-1.64
189709,1.9,-2.22
189809,9.33,5.21
189909,1.7,-2.42
190009,2.43,-1.69
190109,3.97,-0.15
190209,5.91,1.79
190309,1.79,-2.33
190409,3.12,-1.00
190509,4.86,0.74
190609,5.27,1.15
190709,3.35,-0.77
190809,5.73,1.61
190909,4.48,0.36
191009,2.84,-1.28
191109,2.68,-1.44
191209,1.98,-2.14
191309,13.18,9.06
191409,2.77,-1.35
191509,2.87,-1.25
191609,2.64,-1.48
191709,2.53,-1.59
191809,2.49,-1.63
191909,2.3,-1.82
192009,3.75,-0.37
192109,3.19,-0.93
192209,2.91,-1.21
192309,4.86,0.74
192409,1.76,-2.36
192509,5.58,1.46
192609,2.61,-1.51
192709,2.72,-1.40
192809,3.11,-1.01
192909,3.34,-0.78
193009,6.35,2.23
193109,1.65,-2.47
193209,3.78,-0.34
193309,1.67,-2.45
193409,3.74,-0.38
193509,3.95,-0.17
193609,2.54,-1.58
193709,3.28,-0.84
193809,2.65,-1.47
193909,2.79,-1.33
194009,3.21,-0.91
194109,5.8,1.68
194209,4.93,0.81
194309,9.33,5.21
194409,3.95,-0.17
194509,3.8,-0.32
194609,4.34,0.22
194709,3.84,-0.28
194809,4.74,0.62
194909,3.67,-0.45
195009,3.22,-0.90
195109,6.74,2.62
195209,2.21,-1.91
195309,.87,-3.25
195409,2.99,-1.13
195509,2.69,-1.43
195609,2.62,-1.50
195709,7.6,3.48
195809,9.38,5.26
195909,2.65,-1.47
196009,2.42,-1.70
196109,5.68,1.56
196209,3.21,-0.91
196309,4.63,0.51
196409,4.62,0.50
196509,6.61,2.49
196609,4.08,-0.04
196709,3,-1.12
196809,4.66,0.54
196909,2.1,-2.02
197009,4.81,0.69
197109,7.67,3.55
197209,4.51,0.39
197309,10.1,5.98
197409,5.8,1.68
197509,3.41,-0.71
197609,3.13,-0.99
197709,5.16,1.04
197809,3.43,-0.69
197909,6.66,2.54
198009,3.85,-0.27
198109,3.09,-1.03
198209,3.96,-0.16
198309,5,0.88
198409,3.15,-0.97
198509,6.03,1.91
198609,3.71,-0.41
198709,2.75,-1.37
198809,5.2,1.08
198909,2.73,-1.39
199009,3.68,-0.44
199109,4.12,0.00
199209,4.28,0.16
199309,2.76,-1.36
199409,3.2,-0.92
199509,2.48,-1.64
199609,5.82,1.70
199709,2.54,-1.58
199809,10.9,6.78
199909,3.5,-0.62
200009,3.69,-0.43
200109,6.34,2.22
200209,6.17,2.05
200309,4.82,0.70
200409,1.75,-2.37
200509,5.97,1.85
200609,3.14,-0.98
200709,5.1,0.98
200809,8.99,4.87
200909,6.11,1.99
201009,1.3,-2.82
201109,7,2.88
201209,5.66,1.54
201309,5.71,1.59
201409,2.99,-1.13
201509,2.76,-1.36
