Utah, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,.43,-0.79
189604,1.1,-0.12
189704,.85,-0.37
189804,.93,-0.29
189904,.68,-0.54
190004,3,1.78
190104,.82,-0.40
190204,1.02,-0.20
190304,1.12,-0.10
190404,.75,-0.47
190504,1.39,0.17
190604,2.42,1.20
190704,.97,-0.25
190804,.62,-0.60
190904,1.2,-0.02
191004,.3,-0.92
191104,.73,-0.49
191204,1.41,0.19
191304,.73,-0.49
191404,2.04,0.82
191504,2,0.78
191604,.53,-0.69
191704,1.98,0.76
191804,.74,-0.48
191904,.84,-0.38
192004,1.7,0.48
192104,1.76,0.54
192204,1.66,0.44
192304,2.27,1.05
192404,.6,-0.62
192504,1.27,0.05
192604,1.93,0.71
192704,.97,-0.25
192804,.49,-0.73
192904,1.59,0.37
193004,1.03,-0.19
193104,1.02,-0.20
193204,1.42,0.20
193304,1.25,0.03
193404,.49,-0.73
193504,1.99,0.77
193604,.47,-0.75
193704,.56,-0.66
193804,.85,-0.37
193904,.65,-0.57
194004,1.3,0.08
194104,2.76,1.54
194204,1.54,0.32
194304,.88,-0.34
194404,2.29,1.07
194504,1.09,-0.13
194604,1.33,0.11
194704,1.31,0.09
194804,1.1,-0.12
194904,.53,-0.69
195004,.63,-0.59
195104,1.59,0.37
195204,1.29,0.07
195304,1.2,-0.02
195404,.56,-0.66
195504,.42,-0.80
195604,.96,-0.26
195704,2.23,1.01
195804,.85,-0.37
195904,.78,-0.44
196004,.85,-0.37
196104,.96,-0.26
196204,.85,-0.37
196304,1.94,0.72
196404,1.88,0.66
196504,2.03,0.81
196604,.58,-0.64
196704,1.15,-0.07
196804,1.93,0.71
196904,.94,-0.28
197004,1.12,-0.10
197104,1.46,0.24
197204,1.08,-0.14
197304,1.59,0.37
197404,1.27,0.05
197504,1.31,0.09
197604,1.35,0.13
197704,.32,-0.90
197804,2.03,0.81
197904,.55,-0.67
198004,.88,-0.34
198104,1.09,-0.13
198204,.64,-0.58
198304,1.48,0.26
198404,1.54,0.32
198504,1.2,-0.02
198604,2.27,1.05
198704,.5,-0.72
198804,1.89,0.67
198904,.43,-0.79
199004,1.35,0.13
199104,1.12,-0.10
199204,.38,-0.84
199304,.82,-0.40
199404,1.85,0.63
199504,1.74,0.52
199604,.84,-0.38
199704,1.85,0.63
199804,1.34,0.12
199904,2.6,1.38
200004,.58,-0.64
200104,1.49,0.27
200204,.87,-0.35
200304,.93,-0.29
200404,1.82,0.60
200504,1.75,0.53
200604,1.16,-0.06
200704,.91,-0.31
200804,.42,-0.80
200904,1.56,0.34
201004,1.39,0.17
201104,2.02,0.80
201204,.73,-0.49
201304,1.28,0.06
201404,.94,-0.28
201504,.98,-0.24
