Oklahoma, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.28,-0.15
189601,1.07,-0.36
189701,1.98,0.55
189801,3.13,1.70
189901,1.45,0.02
190001,.87,-0.56
190101,.6,-0.83
190201,.65,-0.78
190301,.7,-0.73
190401,1.41,-0.02
190501,1.9,0.47
190601,1.37,-0.06
190701,2.58,1.15
190801,1.36,-0.07
190901,.44,-0.99
191001,.94,-0.49
191101,.26,-1.17
191201,.3,-1.13
191301,1.79,0.36
191401,.57,-0.86
191501,1.39,-0.04
191601,4.98,3.55
191701,.74,-0.69
191801,1.16,-0.27
191901,.81,-0.62
192001,1.94,0.51
192101,1.87,0.44
192201,1.47,0.04
192301,2.02,0.59
192401,.76,-0.67
192501,.95,-0.48
192601,2.35,0.92
192701,2.3,0.87
192801,.93,-0.50
192901,2.18,0.75
193001,2.28,0.85
193101,.61,-0.82
193201,4.9,3.47
193301,1.26,-0.17
193401,1.72,0.29
193501,1.52,0.09
193601,.46,-0.97
193701,2.42,0.99
193801,1.72,0.29
193901,2.68,1.25
194001,.76,-0.67
194101,1.94,0.51
194201,.71,-0.72
194301,.1,-1.33
194401,1.72,0.29
194501,1.38,-0.05
194601,2.84,1.41
194701,.71,-0.72
194801,.94,-0.49
194901,5.35,3.92
195001,2.02,0.59
195101,1.38,-0.05
195201,.91,-0.52
195301,.69,-0.74
195401,1.07,-0.36
195501,1.04,-0.39
195601,.74,-0.69
195701,1.6,0.17
195801,1.61,0.18
195901,.39,-1.04
196001,1.73,0.30
196101,.37,-1.06
196201,1.11,-0.32
196301,.45,-0.98
196401,.72,-0.71
196501,1.34,-0.09
196601,1.04,-0.39
196701,.64,-0.79
196801,2.54,1.11
196901,1.45,0.02
197001,.31,-1.12
197101,1.24,-0.19
197201,.37,-1.06
197301,2.93,1.50
197401,.75,-0.68
197501,2,0.57
197601,.1,-1.33
197701,1.08,-0.35
197801,1.02,-0.41
197901,1.86,0.43
198001,1.5,0.07
198101,.26,-1.17
198201,2.47,1.04
198301,1.2,-0.23
198401,.66,-0.77
198501,1.69,0.26
198601,.03,-1.40
198701,2.13,0.70
198801,1.23,-0.20
198901,1.86,0.43
199001,2.99,1.56
199101,1.51,0.08
199201,1.31,-0.12
199301,2.18,0.75
199401,.92,-0.51
199501,1.96,0.53
199601,.92,-0.51
199701,.48,-0.95
199801,3.54,2.11
199901,2.13,0.70
200001,1.15,-0.28
200101,2.22,0.79
200201,2.16,0.73
200301,.07,-1.36
200401,2.18,0.75
200501,3.5,2.07
200601,.94,-0.49
200701,2.16,0.73
200801,.51,-0.92
200901,.66,-0.77
201001,1.86,0.43
201101,.28,-1.15
201201,1.86,0.43
201301,1.77,0.34
201401,.33,-1.10
201501,1.21,-0.22
