Indiana, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,4.56,1.71
189612,1.09,-1.76
189712,2.84,-0.01
189812,2.11,-0.74
189912,3.07,0.22
190012,1.26,-1.59
190112,3.86,1.01
190212,4.03,1.18
190312,2.25,-0.60
190412,3.32,0.47
190512,2.39,-0.46
190612,4.19,1.34
190712,4.04,1.19
190812,1.62,-1.23
190912,3.19,0.34
191012,1.97,-0.88
191112,2.82,-0.03
191212,1.31,-1.54
191312,1.12,-1.73
191412,3.07,0.22
191512,4.03,1.18
191612,3.25,0.40
191712,1.23,-1.62
191812,5.44,2.59
191912,1.28,-1.57
192012,3.15,0.30
192112,3.63,0.78
192212,4.15,1.30
192312,5.73,2.88
192412,4.85,2.00
192512,1.1,-1.75
192612,1.96,-0.89
192712,3.71,0.86
192812,2.16,-0.69
192912,3.84,0.99
193012,1.09,-1.76
193112,3.33,0.48
193212,4.72,1.87
193312,2.2,-0.65
193412,1.99,-0.86
193512,1.56,-1.29
193612,2.89,0.04
193712,2.68,-0.17
193812,1.69,-1.16
193912,1.24,-1.61
194012,2.33,-0.52
194112,1.98,-0.87
194212,2.45,-0.40
194312,1.13,-1.72
194412,1.9,-0.95
194512,2.38,-0.47
194612,2.81,-0.04
194712,1.63,-1.22
194812,3.55,0.70
194912,4.17,1.32
195012,2.27,-0.58
195112,4.64,1.79
195212,2.58,-0.27
195312,1.85,-1.00
195412,2.75,-0.10
195512,.58,-2.27
195612,3.04,0.19
195712,5.67,2.82
195812,.55,-2.30
195912,2.82,-0.03
196012,1.63,-1.22
196112,2.69,-0.16
196212,1.17,-1.68
196312,.92,-1.93
196412,2.94,0.09
196512,2.46,-0.39
196612,4.97,2.12
196712,5.94,3.09
196812,3.84,0.99
196912,1.92,-0.93
197012,1.84,-1.01
197112,4.69,1.84
197212,3.84,0.99
197312,3.83,0.98
197412,2.78,-0.07
197512,3.49,0.64
197612,.58,-2.27
197712,3.79,0.94
197812,3.9,1.05
197912,2.49,-0.36
198012,1.53,-1.32
198112,2.82,-0.03
198212,5.49,2.64
198312,3.74,0.89
198412,3.94,1.09
198512,2.37,-0.48
198612,1.94,-0.91
198712,4.54,1.69
198812,2.54,-0.31
198912,1.48,-1.37
199012,7.02,4.17
199112,2.43,-0.42
199212,2.04,-0.81
199312,2.12,-0.73
199412,2.44,-0.41
199512,2.02,-0.83
199612,3.45,0.60
199712,2,-0.85
199812,2.04,-0.81
199912,3.18,0.33
200012,3.01,0.16
200112,3.62,0.77
200212,2.86,0.01
200312,2.68,-0.17
200412,2.57,-0.28
200512,2.15,-0.70
200612,4.83,1.98
200712,5.06,2.21
200812,5.02,2.17
200912,3.1,0.25
201012,1.44,-1.41
201112,4.59,1.74
201212,3.21,0.36
201312,4.39,1.54
201412,2.59,-0.26
201512,5.44,2.59
