Kentucky, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,3.27,-1.44
189603,5.96,1.25
189703,7.95,3.24
189803,7.35,2.64
189903,8.08,3.37
190003,2.6,-2.11
190103,3.51,-1.20
190203,4.53,-0.18
190303,4.57,-0.14
190403,6.22,1.51
190503,4.47,-0.24
190603,6.26,1.55
190703,4.32,-0.39
190803,5.43,0.72
190903,5.1,0.39
191003,.89,-3.82
191103,2.62,-2.09
191203,6.28,1.57
191303,7.31,2.60
191403,3.67,-1.04
191503,1.99,-2.72
191603,3.37,-1.34
191703,6.91,2.20
191803,2.16,-2.55
191903,5.38,0.67
192003,4.95,0.24
192103,5.6,0.89
192203,8.02,3.31
192303,5.74,1.03
192403,3.09,-1.62
192503,3.4,-1.31
192603,3.03,-1.68
192703,6.24,1.53
192803,2.89,-1.82
192903,4.74,0.03
193003,2.4,-2.31
193103,3.88,-0.83
193203,5.1,0.39
193303,5.51,0.80
193403,5.13,0.42
193503,9.92,5.21
193603,5.1,0.39
193703,1.5,-3.21
193803,6.32,1.61
193903,5.7,0.99
194003,5.06,0.35
194103,1.77,-2.94
194203,4.46,-0.25
194303,7.56,2.85
194403,5.85,1.14
194503,6.51,1.80
194603,4.42,-0.29
194703,2.41,-2.30
194803,6.21,1.50
194903,5.07,0.36
195003,3.78,-0.93
195103,4.94,0.23
195203,7.31,2.60
195303,5.49,0.78
195403,2.69,-2.02
195503,7.41,2.70
195603,5.05,0.34
195703,2.37,-2.34
195803,3.54,-1.17
195903,2.62,-2.09
196003,3.03,-1.68
196103,5.42,0.71
196203,4.72,0.01
196303,7.82,3.11
196403,10.09,5.38
196503,6.05,1.34
196603,1.54,-3.17
196703,5.48,0.77
196803,6,1.29
196903,2.14,-2.57
197003,4.04,-0.67
197103,2.17,-2.54
197203,4.39,-0.32
197303,6.19,1.48
197403,5.02,0.31
197503,10.5,5.79
197603,5.02,0.31
197703,4.38,-0.33
197803,3.86,-0.85
197903,3.25,-1.46
198003,5.5,0.79
198103,2.88,-1.83
198203,4.15,-0.56
198303,2.42,-2.29
198403,4.93,0.22
198503,3.33,-1.38
198603,2.7,-2.01
198703,3.21,-1.50
198803,2.77,-1.94
198903,5.96,1.25
199003,3.04,-1.67
199103,5.52,0.81
199203,5.13,0.42
199303,4.47,-0.24
199403,7.22,2.51
199503,3.02,-1.69
199603,5.06,0.35
199703,11.11,6.40
199803,3.21,-1.50
199903,3.43,-1.28
200003,3.53,-1.18
200103,2.82,-1.89
200203,7.41,2.70
200303,2.16,-2.55
200403,4.23,-0.48
200503,3.76,-0.95
200603,3.55,-1.16
200703,2.76,-1.95
200803,6.96,2.25
200903,3.25,-1.46
201003,2.69,-2.02
201103,5.51,0.80
201203,4.5,-0.21
201303,4.95,0.24
201403,3.44,-1.27
201503,6.34,1.63
