Tennessee, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.3,-3.15
189602,4.78,0.33
189702,5.32,0.87
189802,1.21,-3.24
189902,6.67,2.22
190002,5.28,0.83
190102,1.82,-2.63
190202,3.29,-1.16
190302,8.22,3.77
190402,2.28,-2.17
190502,4.26,-0.19
190602,1.23,-3.22
190702,4.05,-0.40
190802,5.13,0.68
190902,7.31,2.86
191002,4.16,-0.29
191102,4.14,-0.31
191202,4.12,-0.33
191302,4.99,0.54
191402,3.76,-0.69
191502,3.46,-0.99
191602,2.84,-1.61
191702,3.34,-1.11
191802,2.22,-2.23
191902,3.14,-1.31
192002,3.5,-0.95
192102,5.44,0.99
192202,4.35,-0.10
192302,4.61,0.16
192402,4.03,-0.42
192502,4.54,0.09
192602,2.58,-1.87
192702,4.42,-0.03
192802,2.26,-2.19
192902,5.12,0.67
193002,4.26,-0.19
193102,4.15,-0.30
193202,6.05,1.60
193302,6.23,1.78
193402,2.83,-1.62
193502,3.88,-0.57
193602,3.05,-1.40
193702,3.48,-0.97
193802,2.5,-1.95
193902,10.1,5.65
194002,5.22,0.77
194102,1.04,-3.41
194202,4.01,-0.44
194302,2.58,-1.87
194402,9.55,5.10
194502,7.45,3.00
194602,5.91,1.46
194702,1.64,-2.81
194802,8.74,4.29
194902,3.53,-0.92
195002,6.6,2.15
195102,5.47,1.02
195202,3.33,-1.12
195302,5.8,1.35
195402,3.58,-0.87
195502,6.85,2.40
195602,9.8,5.35
195702,6.88,2.43
195802,2.8,-1.65
195902,4.56,0.11
196002,3.67,-0.78
196102,6.65,2.20
196202,8.68,4.23
196302,2.59,-1.86
196402,4.15,-0.30
196502,4.84,0.39
196602,5.05,0.60
196702,3.26,-1.19
196802,1.11,-3.34
196902,4.85,0.40
197002,3.91,-0.54
197102,6.06,1.61
197202,3.64,-0.81
197302,3.83,-0.62
197402,4.58,0.13
197502,5.72,1.27
197602,3.45,-1.00
197702,2.55,-1.90
197802,1.18,-3.27
197902,4.61,0.16
198002,1.87,-2.58
198102,4.07,-0.38
198202,4.66,0.21
198302,3.49,-0.96
198402,3.93,-0.52
198502,3.75,-0.70
198602,4.43,-0.02
198702,5.5,1.05
198802,3.16,-1.29
198902,8.34,3.89
199002,8.05,3.60
199102,7.49,3.04
199202,3.47,-0.98
199302,3.03,-1.42
199402,6.97,2.52
199502,2.94,-1.51
199602,2.96,-1.49
199702,4.76,0.31
199802,4.7,0.25
199902,3.3,-1.15
200002,3.72,-0.73
200102,6.93,2.48
200202,2.19,-2.26
200302,9.66,5.21
200402,5.07,0.62
200502,4.17,-0.28
200602,2.96,-1.49
200702,2.16,-2.29
200802,4.01,-0.44
200902,2.66,-1.79
201002,3.12,-1.33
201102,4.21,-0.24
201202,2.9,-1.55
201302,3.01,-1.44
201402,5.18,0.73
201502,4.56,0.11
