Alabama, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,3.78,-0.46
189605,3.24,-1.00
189705,1.6,-2.64
189805,.95,-3.29
189905,2.03,-2.21
190005,2.56,-1.68
190105,5.3,1.06
190205,2.52,-1.72
190305,6.25,2.01
190405,3.05,-1.19
190505,5.34,1.10
190605,5.06,0.82
190705,8.21,3.97
190805,5.5,1.26
190905,6.34,2.10
191005,3.85,-0.39
191105,2.86,-1.38
191205,3.64,-0.60
191305,3.48,-0.76
191405,1.25,-2.99
191505,6.19,1.95
191605,4.69,0.45
191705,2.44,-1.80
191805,2.63,-1.61
191905,6.44,2.20
192005,5.06,0.82
192105,2.1,-2.14
192205,6.76,2.52
192305,8.85,4.61
192405,4.56,0.32
192505,2.45,-1.79
192605,3.16,-1.08
192705,2.8,-1.44
192805,3.77,-0.47
192905,5.85,1.61
193005,4.65,0.41
193105,3.43,-0.81
193205,4.92,0.68
193305,2.78,-1.46
193405,3.74,-0.50
193505,4.62,0.38
193605,2.01,-2.23
193705,4.51,0.27
193805,3.32,-0.92
193905,5.67,1.43
194005,3.46,-0.78
194105,.73,-3.51
194205,3.43,-0.81
194305,3.78,-0.46
194405,2.93,-1.31
194505,3.24,-1.00
194605,7.66,3.42
194705,6.05,1.81
194805,3.25,-0.99
194905,4.29,0.05
195005,4.17,-0.07
195105,1.48,-2.76
195205,5.3,1.06
195305,4.49,0.25
195405,2.36,-1.88
195505,5.68,1.44
195605,2.6,-1.64
195705,5.13,0.89
195805,2.92,-1.32
195905,6.1,1.86
196005,3.49,-0.75
196105,3.2,-1.04
196205,1.06,-3.18
196305,3.25,-0.99
196405,2.67,-1.57
196505,1.18,-3.06
196605,4.9,0.66
196705,5.59,1.35
196805,4.01,-0.23
196905,5.99,1.75
197005,3.17,-1.07
197105,4.07,-0.17
197205,4.44,0.20
197305,6.69,2.45
197405,5.08,0.84
197505,5.24,1.00
197605,8.08,3.84
197705,2.13,-2.11
197805,8.2,3.96
197905,4.37,0.13
198005,7.07,2.83
198105,3.87,-0.37
198205,2.96,-1.28
198305,6.36,2.12
198405,5.88,1.64
198505,4.11,-0.13
198605,4.97,0.73
198705,4.44,0.20
198805,1.73,-2.51
198905,4.54,0.30
199005,4.95,0.71
199105,9.57,5.33
199205,1.95,-2.29
199305,3.8,-0.44
199405,3.2,-1.04
199505,3.32,-0.92
199605,2.56,-1.68
199705,5.39,1.15
199805,2.28,-1.96
199905,4.11,-0.13
200005,1.32,-2.92
200105,4.03,-0.21
200205,4.09,-0.15
200305,8.49,4.25
200405,4,-0.24
200505,2.8,-1.44
200605,4.41,0.17
200705,.73,-3.51
200805,4.43,0.19
200905,8.51,4.27
201005,6.15,1.91
201105,1.64,-2.60
201205,4.16,-0.08
201305,4,-0.24
201405,4.27,0.03
201505,4.31,0.07
