Georgia, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,8.26,3.87
189601,3.9,-0.49
189701,2.4,-1.99
189801,2.22,-2.17
189901,5.8,1.41
190001,2.91,-1.48
190101,4.58,0.19
190201,1.75,-2.64
190301,3.35,-1.04
190401,3.87,-0.52
190501,3.04,-1.35
190601,5.72,1.33
190701,1.24,-3.15
190801,4.38,-0.01
190901,1.67,-2.72
191001,2.98,-1.41
191101,2.38,-2.01
191201,6.24,1.85
191301,3.44,-0.95
191401,2.67,-1.72
191501,6.18,1.79
191601,1.97,-2.42
191701,5.2,0.81
191801,5.09,0.70
191901,4.52,0.13
192001,4.46,0.07
192101,2.69,-1.70
192201,4.32,-0.07
192301,4.04,-0.35
192401,5.15,0.76
192501,10.1,5.71
192601,7.4,3.01
192701,.84,-3.55
192801,1.3,-3.09
192901,4.83,0.44
193001,5.02,0.63
193101,2.92,-1.47
193201,5.6,1.21
193301,3.52,-0.87
193401,2.56,-1.83
193501,2.44,-1.95
193601,8.54,4.15
193701,6.04,1.65
193801,1.91,-2.48
193901,3.38,-1.01
194001,4.09,-0.30
194101,1.76,-2.63
194201,4.5,0.11
194301,5.71,1.32
194401,3.94,-0.45
194501,3.34,-1.05
194601,5.62,1.23
194701,6.94,2.55
194801,4.21,-0.18
194901,3.08,-1.31
195001,1.89,-2.50
195101,1.69,-2.70
195201,2.68,-1.71
195301,4.38,-0.01
195401,2.7,-1.69
195501,4.46,0.07
195601,2.32,-2.07
195701,2.83,-1.56
195801,3.42,-0.97
195901,4.37,-0.02
196001,5.57,1.18
196101,3.41,-0.98
196201,5.28,0.89
196301,5.63,1.24
196401,8.46,4.07
196501,2.43,-1.96
196601,6.28,1.89
196701,5.37,0.98
196801,3.33,-1.06
196901,2.36,-2.03
197001,3.19,-1.20
197101,4.25,-0.14
197201,6.86,2.47
197301,5.88,1.49
197401,5.87,1.48
197501,6.17,1.78
197601,4.43,0.04
197701,4.06,-0.33
197801,7.2,2.81
197901,5.91,1.52
198001,4.83,0.44
198101,1.13,-3.26
198201,4.94,0.55
198301,4.41,0.02
198401,4.87,0.48
198501,3.14,-1.25
198601,2.33,-2.06
198701,7.52,3.13
198801,5.23,0.84
198901,2.24,-2.15
199001,5.77,1.38
199101,9.53,5.14
199201,6.13,1.74
199301,6.54,2.15
199401,5.37,0.98
199501,4.5,0.11
199601,5.4,1.01
199701,5.59,1.20
199801,5.98,1.59
199901,5.33,0.94
200001,4.68,0.29
200101,2.83,-1.56
200201,4.11,-0.28
200301,1.77,-2.62
200401,2.85,-1.54
200501,2.22,-2.17
200601,4.1,-0.29
200701,4.24,-0.15
200801,3.4,-0.99
200901,2.65,-1.74
201001,6.05,1.66
201101,3.33,-1.06
201201,3.04,-1.35
201301,3.32,-1.07
201401,3.33,-1.06
201501,3.65,-0.74
