New Jersey, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.24,-1.81
189602,6.88,3.83
189702,3.67,0.62
189802,3.45,0.40
189902,5.71,2.66
190002,5.23,2.18
190102,.96,-2.09
190202,6.32,3.27
190302,4.83,1.78
190402,2.54,-0.51
190502,2.59,-0.46
190602,2.65,-0.40
190702,2.6,-0.45
190802,4.53,1.48
190902,5.03,1.98
191002,2.86,-0.19
191102,2.65,-0.40
191202,2.47,-0.58
191302,2.35,-0.70
191402,2.81,-0.24
191502,5.21,2.16
191602,3.97,0.92
191702,1.91,-1.14
191802,2.01,-1.04
191902,3.27,0.22
192002,4.19,1.14
192102,3.63,0.58
192202,2.94,-0.11
192302,2.68,-0.37
192402,4.14,1.09
192502,2.21,-0.84
192602,4.18,1.13
192702,3.25,0.20
192802,3.93,0.88
192902,4.05,1.00
193002,2.79,-0.26
193102,1.92,-1.13
193202,2.01,-1.04
193302,3.28,0.23
193402,2.92,-0.13
193502,2.87,-0.18
193602,3.13,0.08
193702,2.4,-0.65
193802,2.27,-0.78
193902,5.56,2.51
194002,3.01,-0.04
194102,2.41,-0.64
194202,2.69,-0.36
194302,2.01,-1.04
194402,2.18,-0.87
194502,3.15,0.10
194602,2.17,-0.88
194702,1.83,-1.22
194802,2.49,-0.56
194902,3.7,0.65
195002,3.71,0.66
195102,4.04,0.99
195202,2.23,-0.82
195302,2.68,-0.37
195402,1.77,-1.28
195502,2.94,-0.11
195602,4.69,1.64
195702,2.68,-0.37
195802,4.82,1.77
195902,1.94,-1.11
196002,4.41,1.36
196102,3.54,0.49
196202,3.96,0.91
196302,2.35,-0.70
196402,3.41,0.36
196502,2.69,-0.36
196602,4,0.95
196702,2.48,-0.57
196802,1.05,-2.00
196902,2.49,-0.56
197002,3.07,0.02
197102,5.43,2.38
197202,4.93,1.88
197302,3.55,0.50
197402,2.13,-0.92
197502,3.29,0.24
197602,2.49,-0.56
197702,2.17,-0.88
197802,1.4,-1.65
197902,5.18,2.13
198002,.99,-2.06
198102,4.6,1.55
198202,2.74,-0.31
198302,2.94,-0.11
198402,4.15,1.10
198502,2.41,-0.64
198602,3.48,0.43
198702,1.33,-1.72
198802,3.95,0.90
198902,3.02,-0.03
199002,1.93,-1.12
199102,1.35,-1.70
199202,1.92,-1.13
199302,2.87,-0.18
199402,3.57,0.52
199502,2.37,-0.68
199602,2.28,-0.77
199702,2.42,-0.63
199802,4.47,1.42
199902,2.88,-0.17
200002,2.16,-0.89
200102,2.62,-0.43
200202,.75,-2.30
200302,4.69,1.64
200402,2.52,-0.53
200502,2.42,-0.63
200602,1.76,-1.29
200702,1.97,-1.08
200802,5.24,2.19
200902,.66,-2.39
201002,4.62,1.57
201102,3.07,0.02
201202,1.33,-1.72
201302,2.89,-0.16
201402,4.96,1.91
201502,2.18,-0.87
