California, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,2.52,-0.69
189603,3.87,0.66
189703,4.46,1.25
189803,.94,-2.27
189903,5.45,2.24
190003,2.27,-0.94
190103,1.14,-2.07
190203,3.2,-0.01
190303,5.23,2.02
190403,6.86,3.65
190503,5.31,2.10
190603,7.79,4.58
190703,8.72,5.51
190803,1.04,-2.17
190903,2.86,-0.35
191003,2.47,-0.74
191103,5.05,1.84
191203,4.49,1.28
191303,1.6,-1.61
191403,.92,-2.29
191503,1.89,-1.32
191603,2.53,-0.68
191703,1.37,-1.84
191803,5.33,2.12
191903,3.05,-0.16
192003,4.49,1.28
192103,2.22,-0.99
192203,3,-0.21
192303,.34,-2.87
192403,2.19,-1.02
192503,2.33,-0.88
192603,.4,-2.81
192703,2.37,-0.84
192803,4.5,1.29
192903,1.84,-1.37
193003,2.68,-0.53
193103,1.45,-1.76
193203,1.09,-2.12
193303,2.54,-0.67
193403,.96,-2.25
193503,3.31,0.10
193603,1.51,-1.70
193703,4.86,1.65
193803,8.01,4.80
193903,2.65,-0.56
194003,3.74,0.53
194103,4.52,1.31
194203,1.62,-1.59
194303,4.14,0.93
194403,1.74,-1.47
194503,3.91,0.70
194603,2.77,-0.44
194703,2.99,-0.22
194803,3.48,0.27
194903,4.49,1.28
195003,2.85,-0.36
195103,1.17,-2.04
195203,4.78,1.57
195303,2.32,-0.89
195403,4.13,0.92
195503,.7,-2.51
195603,.41,-2.80
195703,3,-0.21
195803,5.74,2.53
195903,.86,-2.35
196003,2.84,-0.37
196103,3.04,-0.17
196203,2.75,-0.46
196303,3.51,0.30
196403,2,-1.21
196503,1.46,-1.75
196603,1.28,-1.93
196703,4.23,1.02
196803,2.41,-0.80
196903,1.39,-1.82
197003,2.44,-0.77
197103,3.26,0.05
197203,1.16,-2.05
197303,3.34,0.13
197403,5.4,2.19
197503,5.76,2.55
197603,1.4,-1.81
197703,1.64,-1.57
197803,5.75,2.54
197903,3.44,0.23
198003,2.81,-0.40
198103,4.04,0.83
198203,5.78,2.57
198303,9.02,5.81
198403,1.67,-1.54
198503,2.88,-0.33
198603,4.7,1.49
198703,3.59,0.38
198803,.59,-2.62
198903,5.1,1.89
199003,1.3,-1.91
199103,9.11,5.90
199203,3.65,0.44
199303,3.05,-0.16
199403,1.24,-1.97
199503,9.57,6.36
199603,2.57,-0.64
199703,.84,-2.37
199803,4.15,0.94
199903,2.4,-0.81
200003,1.92,-1.29
200103,2.21,-1.00
200203,1.91,-1.30
200303,2.77,-0.44
200403,1.08,-2.13
200503,3.69,0.48
200603,5.41,2.20
200703,.74,-2.47
200803,.61,-2.60
200903,2.26,-0.95
201003,2.19,-1.02
201103,6.41,3.20
201203,4.74,1.53
201303,1.33,-1.88
201403,3.28,0.07
201503,.78,-2.43
