Texas, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,3.95,1.09
189606,1.09,-1.77
189706,3,0.14
189806,4.86,2.00
189906,5.6,2.74
190006,2.05,-0.81
190106,.93,-1.93
190206,1.53,-1.33
190306,3.96,1.10
190406,4.24,1.38
190506,3.56,0.70
190606,2.44,-0.42
190706,1.86,-1.00
190806,2.1,-0.76
190906,2.92,0.06
191006,1.79,-1.07
191106,.76,-2.10
191206,3.1,0.24
191306,3.84,0.98
191406,2.04,-0.82
191506,2.26,-0.60
191606,1.82,-1.04
191706,.72,-2.14
191806,2.23,-0.63
191906,5.05,2.19
192006,3.09,0.23
192106,5.82,2.96
192206,2.98,0.12
192306,2.88,0.02
192406,1.67,-1.19
192506,1.23,-1.63
192606,2.91,0.05
192706,3.99,1.13
192806,3.47,0.61
192906,1.46,-1.40
193006,2.23,-0.63
193106,2.04,-0.82
193206,2.93,0.07
193306,.71,-2.15
193406,.88,-1.98
193506,4.68,1.82
193606,1.64,-1.22
193706,2.43,-0.43
193806,3.02,0.16
193906,2.69,-0.17
194006,4.87,2.01
194106,5.25,2.39
194206,2.95,0.09
194306,2.29,-0.57
194406,1.94,-0.92
194506,2.81,-0.05
194606,2.79,-0.07
194706,2.01,-0.85
194806,2.29,-0.57
194906,3.32,0.46
195006,2.97,0.11
195106,3.15,0.29
195206,1.11,-1.75
195306,1.04,-1.82
195406,1.73,-1.13
195506,2.41,-0.45
195606,1.17,-1.69
195706,3.04,0.18
195806,2.62,-0.24
195906,4.05,1.19
196006,3.69,0.83
196106,5.5,2.64
196206,4.38,1.52
196306,2.8,-0.06
196406,1.84,-1.02
196506,2.75,-0.11
196606,2.36,-0.50
196706,1.99,-0.87
196806,3.94,1.08
196906,1.81,-1.05
197006,1.78,-1.08
197106,2.27,-0.59
197206,2.91,0.05
197306,4.96,2.10
197406,1.94,-0.92
197506,2.95,0.09
197606,2.45,-0.41
197706,2.52,-0.34
197806,2.97,0.11
197906,3.48,0.62
198006,1.28,-1.58
198106,5.26,2.40
198206,3.69,0.83
198306,2.84,-0.02
198406,2.47,-0.39
198506,3.62,0.76
198606,4.97,2.11
198706,5.23,2.37
198806,2.45,-0.41
198906,4.93,2.07
199006,1.18,-1.68
199106,4.14,1.28
199206,4.31,1.45
199306,4.34,1.48
199406,1.91,-0.95
199506,2.97,0.11
199606,2.96,0.10
199706,4.55,1.69
199806,1.14,-1.72
199906,3.89,1.03
200006,5.03,2.17
200106,2.55,-0.31
200206,2.39,-0.47
200306,4.48,1.62
200406,6.66,3.80
200506,1.24,-1.62
200606,1.96,-0.90
200706,5.33,2.47
200806,1.93,-0.93
200906,1.87,-0.99
201006,2.78,-0.08
201106,.98,-1.88
201206,1.86,-1.00
201306,2.33,-0.53
201406,3.01,0.15
201506,3.72,0.86
