Mississippi, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,6.09,2.00
189606,5.2,1.11
189706,1.92,-2.17
189806,4.56,0.47
189906,3.63,-0.46
190006,12.05,7.96
190106,2.33,-1.76
190206,1.8,-2.29
190306,3.19,-0.90
190406,4.3,0.21
190506,4.83,0.74
190606,3.24,-0.85
190706,2.39,-1.70
190806,4.77,0.68
190906,6.77,2.68
191006,6.55,2.46
191106,4.69,0.60
191206,4.92,0.83
191306,2.23,-1.86
191406,2.25,-1.84
191506,4.56,0.47
191606,4.11,0.02
191706,2.77,-1.32
191806,3.99,-0.10
191906,5,0.91
192006,4.31,0.22
192106,3.08,-1.01
192206,3.92,-0.17
192306,5.27,1.18
192406,3.66,-0.43
192506,2.48,-1.61
192606,3.41,-0.68
192706,5.22,1.13
192806,9.65,5.56
192906,3.31,-0.78
193006,.53,-3.56
193106,2.39,-1.70
193206,3.34,-0.75
193306,1.86,-2.23
193406,5.77,1.68
193506,4.27,0.18
193606,1.38,-2.71
193706,4.4,0.31
193806,5.15,1.06
193906,6.83,2.74
194006,6.13,2.04
194106,3.6,-0.49
194206,4.45,0.36
194306,2.89,-1.20
194406,1.78,-2.31
194506,5.17,1.08
194606,5.97,1.88
194706,4.44,0.35
194806,3.12,-0.97
194906,5.86,1.77
195006,4.09,0.00
195106,4.9,0.81
195206,1.13,-2.96
195306,2.55,-1.54
195406,1.78,-2.31
195506,3.11,-0.98
195606,4.47,0.38
195706,7.6,3.51
195806,5.83,1.74
195906,4.62,0.53
196006,2.41,-1.68
196106,6.66,2.57
196206,4.78,0.69
196306,3.94,-0.15
196406,3.17,-0.92
196506,3.47,-0.62
196606,1.81,-2.28
196706,2.78,-1.31
196806,2.46,-1.63
196906,2.14,-1.95
197006,4.48,0.39
197106,3.9,-0.19
197206,3.63,-0.46
197306,3.13,-0.96
197406,6.12,2.03
197506,5.36,1.27
197606,4.08,-0.01
197706,2.21,-1.88
197806,4.61,0.52
197906,2.71,-1.38
198006,3.64,-0.45
198106,3.77,-0.32
198206,4.69,0.60
198306,6.31,2.22
198406,2.67,-1.42
198506,3.28,-0.81
198606,4.25,0.16
198706,5.18,1.09
198806,1.23,-2.86
198906,9.98,5.89
199006,3.82,-0.27
199106,4.1,0.01
199206,6.75,2.66
199306,4.4,0.31
199406,6.22,2.13
199506,2.92,-1.17
199606,4.74,0.65
199706,7.34,3.25
199806,2.38,-1.71
199906,5.05,0.96
200006,4.51,0.42
200106,6.58,2.49
200206,3.23,-0.86
200306,8.01,3.92
200406,9.65,5.56
200506,3.42,-0.67
200606,1.78,-2.31
200706,3.16,-0.93
200806,2.5,-1.59
200906,1.55,-2.54
201006,3.11,-0.98
201106,3.26,-0.83
201206,3.46,-0.63
201306,4.15,0.06
201406,6.96,2.87
201506,4.05,-0.04
