Arizona, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,2.78,1.64
189601,.52,-0.62
189701,2.86,1.72
189801,1.79,0.65
189901,.8,-0.34
190001,.2,-0.94
190101,1.21,0.07
190201,.8,-0.34
190301,.18,-0.96
190401,.18,-0.96
190501,2.71,1.57
190601,.81,-0.33
190701,2.35,1.21
190801,1.03,-0.11
190901,1.03,-0.11
191001,1.28,0.14
191101,2.05,0.91
191201,.02,-1.12
191301,.65,-0.49
191401,1.18,0.04
191501,2.47,1.33
191601,4.2,3.06
191701,2.32,1.18
191801,1.66,0.52
191901,.42,-0.72
192001,1.97,0.83
192101,.89,-0.25
192201,1.78,0.64
192301,.72,-0.42
192401,.11,-1.03
192501,.15,-0.99
192601,.53,-0.61
192701,.32,-0.82
192801,.19,-0.95
192901,.81,-0.33
193001,1.79,0.65
193101,.47,-0.67
193201,.77,-0.37
193301,1.8,0.66
193401,.39,-0.75
193501,1.92,0.78
193601,.69,-0.45
193701,1.54,0.40
193801,.69,-0.45
193901,1.11,-0.03
194001,.79,-0.35
194101,1.74,0.60
194201,.54,-0.60
194301,1.59,0.45
194401,.76,-0.38
194501,1.08,-0.06
194601,1.03,-0.11
194701,.29,-0.85
194801,.16,-0.98
194901,2.89,1.75
195001,.53,-0.61
195101,1.34,0.20
195201,1.71,0.57
195301,.25,-0.89
195401,1.25,0.11
195501,1.91,0.77
195601,1.01,-0.13
195701,2.82,1.68
195801,.25,-0.89
195901,.25,-0.89
196001,1.55,0.41
196101,.72,-0.42
196201,1.44,0.30
196301,.64,-0.50
196401,.34,-0.80
196501,1.47,0.33
196601,.76,-0.38
196701,.38,-0.76
196801,.5,-0.64
196901,1.65,0.51
197001,.22,-0.92
197101,.17,-0.97
197201,.02,-1.12
197301,.73,-0.41
197401,1.76,0.62
197501,.57,-0.57
197601,.16,-0.98
197701,1.27,0.13
197801,2.92,1.78
197901,3.04,1.90
198001,2.75,1.61
198101,.72,-0.42
198201,1.62,0.48
198301,1.28,0.14
198401,.45,-0.69
198501,1.54,0.40
198601,.21,-0.93
198701,1.03,-0.11
198801,1.16,0.02
198901,1.49,0.35
199001,.96,-0.18
199101,1.12,-0.02
199201,1.32,0.18
199301,5.22,4.08
199401,.23,-0.91
199501,2.43,1.29
199601,.2,-0.94
199701,1.89,0.75
199801,.55,-0.59
199901,.14,-1.00
200001,.28,-0.86
200101,1.7,0.56
200201,.19,-0.95
200301,.32,-0.82
200401,.71,-0.43
200501,2.83,1.69
200601,.13,-1.01
200701,.79,-0.35
200801,1.99,0.85
200901,.52,-0.62
201001,3.41,2.27
201101,.05,-1.09
201201,.26,-0.88
201301,1.3,0.16
201401,.03,-1.11
201501,1.79,0.65
