Michigan, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,1.63,-1.65
189606,2.88,-0.40
189706,2.52,-0.76
189806,3.68,0.40
189906,3.49,0.21
190006,2.87,-0.41
190106,2.55,-0.73
190206,4.63,1.35
190306,2.37,-0.91
190406,2,-1.28
190506,4.23,0.95
190606,3.32,0.04
190706,2.47,-0.81
190806,2.2,-1.08
190906,3.03,-0.25
191006,1.15,-2.13
191106,3.04,-0.24
191206,1.53,-1.75
191306,2.28,-1.00
191406,3.94,0.66
191506,3.82,0.54
191606,4.95,1.67
191706,4.76,1.48
191806,2.01,-1.27
191906,2.34,-0.94
192006,4.03,0.75
192106,2.18,-1.10
192206,3.47,0.19
192306,2.68,-0.60
192406,2.97,-0.31
192506,2.57,-0.71
192606,3.57,0.29
192706,2,-1.28
192806,4.47,1.19
192906,3.18,-0.10
193006,3.69,0.41
193106,3.58,0.30
193206,2.37,-0.91
193306,2.38,-0.90
193406,2.27,-1.01
193506,4.09,0.81
193606,2.03,-1.25
193706,3.11,-0.17
193806,3.19,-0.09
193906,5.03,1.75
194006,4.54,1.26
194106,2.37,-0.91
194206,3.5,0.22
194306,4.91,1.63
194406,4.1,0.82
194506,3.93,0.65
194606,3.89,0.61
194706,2.97,-0.31
194806,3.44,0.16
194906,4.36,1.08
195006,3.6,0.32
195106,3.72,0.44
195206,2.66,-0.62
195306,3.81,0.53
195406,5.18,1.90
195506,2.4,-0.88
195606,3.03,-0.25
195706,3.77,0.49
195806,3.23,-0.05
195906,1.98,-1.30
196006,3.8,0.52
196106,3.26,-0.02
196206,2.94,-0.34
196306,2.48,-0.80
196406,2.09,-1.19
196506,2.33,-0.95
196606,2.19,-1.09
196706,5.45,2.17
196806,5.37,2.09
196906,5.48,2.20
197006,2.7,-0.58
197106,2.52,-0.76
197206,2.74,-0.54
197306,3.75,0.47
197406,3.87,0.59
197506,4.25,0.97
197606,2.86,-0.42
197706,2.96,-0.32
197806,3.08,-0.20
197906,4.11,0.83
198006,3.75,0.47
198106,4.24,0.96
198206,3.16,-0.12
198306,2.33,-0.95
198406,3,-0.28
198506,2.13,-1.15
198606,4.27,0.99
198706,2.7,-0.58
198806,.98,-2.30
198906,4.06,0.78
199006,4.28,1.00
199106,2.07,-1.21
199206,2.21,-1.07
199306,4.75,1.47
199406,4.15,0.87
199506,2.23,-1.05
199606,4.97,1.69
199706,2.46,-0.82
199806,2.95,-0.33
199906,3.9,0.62
200006,4.07,0.79
200106,3.24,-0.04
200206,3.01,-0.27
200306,2.21,-1.07
200406,3.27,-0.01
200506,2.87,-0.41
200606,2.42,-0.86
200706,2.67,-0.61
200806,4.69,1.41
200906,3.53,0.25
201006,5.89,2.61
201106,3.65,0.37
201206,3,-0.28
201306,3.68,0.40
201406,3.82,0.54
201506,4.06,0.78
