South Carolina, Precipitation, August
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189508,6.44,1.16
189608,3.3,-1.98
189708,4.48,-0.80
189808,9.16,3.88
189908,5.75,0.47
190008,2.21,-3.07
190108,8.94,3.66
190208,5.25,-0.03
190308,6.73,1.45
190408,8.16,2.88
190508,5.44,0.16
190608,6.23,0.95
190708,5.15,-0.13
190808,9.65,4.37
190908,4.85,-0.43
191008,6.15,0.87
191108,6.34,1.06
191208,3.7,-1.58
191308,3.82,-1.46
191408,6.14,0.86
191508,7.4,2.12
191608,3.17,-2.11
191708,2.95,-2.33
191808,4.25,-1.03
191908,4.84,-0.44
192008,8.27,2.99
192108,4.03,-1.25
192208,5.3,0.02
192308,7.13,1.85
192408,2.75,-2.53
192508,1.57,-3.71
192608,3.44,-1.84
192708,4.89,-0.39
192808,8.77,3.49
192908,3.17,-2.11
193008,2.36,-2.92
193108,5.18,-0.10
193208,6.03,0.75
193308,5.12,-0.16
193408,5.3,0.02
193508,6.73,1.45
193608,4.93,-0.35
193708,6.34,1.06
193808,2.38,-2.90
193908,7.45,2.17
194008,9.45,4.17
194108,4.67,-0.61
194208,5.43,0.15
194308,4.11,-1.17
194408,3.4,-1.88
194508,5.62,0.34
194608,5.51,0.23
194708,5.51,0.23
194808,4.11,-1.17
194908,10.1,4.82
195008,3.59,-1.69
195108,3.32,-1.96
195208,9.23,3.95
195308,4.35,-0.93
195408,2.59,-2.69
195508,4.34,-0.94
195608,3.85,-1.43
195708,4.03,-1.25
195808,4.7,-0.58
195908,4.74,-0.54
196008,3.91,-1.37
196108,7.63,2.35
196208,4.24,-1.04
196308,2.35,-2.93
196408,8.59,3.31
196508,4.28,-1.00
196608,5.37,0.09
196708,7.41,2.13
196808,2.53,-2.75
196908,7.56,2.28
197008,6.36,1.08
197108,7.99,2.71
197208,4.57,-0.71
197308,4.71,-0.57
197408,7.58,2.30
197508,3.34,-1.94
197608,3.41,-1.87
197708,5.85,0.57
197808,4.86,-0.42
197908,3.09,-2.19
198008,2.39,-2.89
198108,5.77,0.49
198208,3.53,-1.75
198308,2.81,-2.47
198408,3.45,-1.83
198508,7.2,1.92
198608,8.93,3.65
198708,4.33,-0.95
198808,6.09,0.81
198908,4.71,-0.57
199008,6.13,0.85
199108,7.89,2.61
199208,8.25,2.97
199308,3.15,-2.13
199408,6.13,0.85
199508,9.69,4.41
199608,5.41,0.13
199708,2.21,-3.07
199808,3.82,-1.46
199908,3.31,-1.97
200008,4.1,-1.18
200108,2.66,-2.62
200208,5.94,0.66
200308,4.61,-0.67
200408,6.99,1.71
200508,4.96,-0.32
200608,5.11,-0.17
200708,2.94,-2.34
200808,7.08,1.80
200908,3.65,-1.63
201008,5.96,0.68
201108,4.27,-1.01
201208,7.45,2.17
201308,6.4,1.12
201408,4.31,-0.97
201508,5.71,0.43
