Kentucky, Precipitation, August
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189508,2.75,-0.98
189608,2.85,-0.88
189708,2.85,-0.88
189808,3.77,0.04
189908,3.15,-0.58
190008,3.22,-0.51
190108,5.24,1.51
190208,2.27,-1.46
190308,3.19,-0.54
190408,2.98,-0.75
190508,3.97,0.24
190608,4.72,0.99
190708,4.44,0.71
190808,2.93,-0.80
190908,2.59,-1.14
191008,2.58,-1.15
191108,4.34,0.61
191208,5.03,1.30
191308,2.64,-1.09
191408,5.96,2.23
191508,6.26,2.53
191608,4.48,0.75
191708,3.49,-0.24
191808,3.31,-0.42
191908,3.74,0.01
192008,5.97,2.24
192108,5.04,1.31
192208,2.73,-1.00
192308,5.55,1.82
192408,2.97,-0.76
192508,1.48,-2.25
192608,7.51,3.78
192708,2.84,-0.89
192808,4.39,0.66
192908,2.27,-1.46
193008,2.29,-1.44
193108,5.4,1.67
193208,4.14,0.41
193308,3.29,-0.44
193408,5.01,1.28
193508,4.11,0.38
193608,2.44,-1.29
193708,3.64,-0.09
193808,4.83,1.10
193908,2.9,-0.83
194008,3.66,-0.07
194108,3.24,-0.49
194208,6.37,2.64
194308,1.64,-2.09
194408,5.63,1.90
194508,2.61,-1.12
194608,4.36,0.63
194708,4.1,0.37
194808,2.16,-1.57
194908,4.45,0.72
195008,4.69,0.96
195108,3.23,-0.50
195208,3.42,-0.31
195308,1.57,-2.16
195408,4.27,0.54
195508,2.56,-1.17
195608,3,-0.73
195708,1.78,-1.95
195808,4.18,0.45
195908,4.01,0.28
196008,3.36,-0.37
196108,3.36,-0.37
196208,2.31,-1.42
196308,3.38,-0.35
196408,3.24,-0.49
196508,2.15,-1.58
196608,4.74,1.01
196708,3.26,-0.47
196808,3.65,-0.08
196908,3.97,0.24
197008,4.48,0.75
197108,3.41,-0.32
197208,2.26,-1.47
197308,2.28,-1.45
197408,7.43,3.70
197508,4.09,0.36
197608,2.66,-1.07
197708,6.45,2.72
197808,5.9,2.17
197908,5.43,1.70
198008,3.21,-0.52
198108,3.07,-0.66
198208,5.43,1.70
198308,2.04,-1.69
198408,2.73,-1.00
198508,5.82,2.09
198608,3.26,-0.47
198708,2.64,-1.09
198808,3.79,0.06
198908,4.16,0.43
199008,3.79,0.06
199108,2.79,-0.94
199208,4.02,0.29
199308,3.91,0.18
199408,3.62,-0.11
199508,3.59,-0.14
199608,2.52,-1.21
199708,3.35,-0.38
199808,2.11,-1.62
199908,1.97,-1.76
200008,3.91,0.18
200108,3.68,-0.05
200208,2.28,-1.45
200308,4.87,1.14
200408,3.97,0.24
200508,6.51,2.78
200608,4.63,0.90
200708,1.68,-2.05
200808,1.61,-2.12
200908,3.12,-0.61
201008,3.45,-0.28
201108,2.31,-1.42
201208,3.17,-0.56
201308,4.14,0.41
201408,5.46,1.73
201508,3.17,-0.56
