Nebraska, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-.33,-1.11
189609,2.68,1.90
189709,1.53,0.75
189809,-.01,-0.79
189909,-1,-1.78
190009,-1,-1.78
190109,-1.34,-2.12
190209,3.36,2.58
190309,5.65,4.87
190409,3.79,3.01
190509,6.81,6.03
190609,5.24,4.46
190709,4.4,3.62
190809,3.77,2.99
190909,4.31,3.53
191009,-1.12,-1.90
191109,-.35,-1.13
191209,2.26,1.48
191309,-1.25,-2.03
191409,-1.1,-1.88
191509,8.26,7.48
191609,3.75,2.97
191709,.39,-0.39
191809,-1.98,-2.76
191909,1.42,0.64
192009,3.77,2.99
192109,-.57,-1.35
192209,-2.58,-3.36
192309,4.41,3.63
192409,3.31,2.53
192509,.02,-0.76
192609,.89,0.11
192709,3.04,2.26
192809,-1.02,-1.80
192909,.65,-0.13
193009,1.28,0.50
193109,-2.4,-3.18
193209,-.73,-1.51
193309,-2.14,-2.92
193409,-7.21,-7.99
193509,-2.67,-3.45
193609,-6.3,-7.08
193709,-6.39,-7.17
193809,-3.28,-4.06
193909,-5.93,-6.71
194009,-6.84,-7.62
194109,1.03,0.25
194209,3.46,2.68
194309,-2,-2.78
194409,3.36,2.58
194509,4.31,3.53
194609,.9,0.12
194709,-1.19,-1.97
194809,-.43,-1.21
194909,3,2.22
195009,3.19,2.41
195109,7.14,6.36
195209,-1.18,-1.96
195309,-1.91,-2.69
195409,-2.69,-3.47
195509,-5.55,-6.33
195609,-7.11,-7.89
195709,2.33,1.55
195809,4,3.22
195909,1.93,1.15
196009,-.26,-1.04
196109,1.28,0.50
196209,3.75,2.97
196309,1.06,0.28
196409,-1.52,-2.30
196509,4.35,3.57
196609,2.25,1.47
196709,-.08,-0.86
196809,.65,-0.13
196909,0,-0.78
197009,.36,-0.42
197109,.84,0.06
197209,.93,0.15
197309,5.01,4.23
197409,-1.42,-2.20
197509,-1.93,-2.71
197609,-2.38,-3.16
197709,2.26,1.48
197809,1.84,1.06
197909,2.7,1.92
198009,-1.93,-2.71
198109,.25,-0.53
198209,2.48,1.70
198309,3.82,3.04
198409,3.19,2.41
198509,2.23,1.45
198609,3.34,2.56
198709,3.45,2.67
198809,-.72,-1.50
198909,-3.41,-4.19
199009,-3.57,-4.35
199109,-3.59,-4.37
199209,2.64,1.86
199309,8.23,7.45
199409,3.69,2.91
199509,4.07,3.29
199609,3.69,2.91
199709,2.37,1.59
199809,3.06,2.28
199909,.03,-0.75
200009,-3.47,-4.25
200109,.69,-0.09
200209,-4.53,-5.31
200309,-3.14,-3.92
200409,.56,-0.22
200509,-.8,-1.58
200609,1.11,0.33
200709,2.48,1.70
200809,3.86,3.08
200909,5.25,4.47
201009,6.82,6.04
201109,-.41,-1.19
201209,-6.33,-7.11
201309,-3.13,-3.91
201409,2.76,1.98
201509,3.42,2.64
