Idaho, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.47,-1.44
189604,1.16,1.19
189704,-.33,-0.30
189804,-.94,-0.91
189904,.48,0.51
190004,-.75,-0.72
190104,-.23,-0.20
190204,.61,0.64
190304,.64,0.67
190404,-.09,-0.06
190504,-3.91,-3.88
190604,.5,0.53
190704,3.06,3.09
190804,-2.31,-2.28
190904,2.2,2.23
191004,-1.37,-1.34
191104,-1.39,-1.36
191204,2.02,2.05
191304,1.73,1.76
191404,-.9,-0.87
191504,-3.62,-3.59
191604,2.08,2.11
191704,2.34,2.37
191804,-1.26,-1.23
191904,-1.47,-1.44
192004,1.25,1.28
192104,2.44,2.47
192204,1.32,1.35
192304,.54,0.57
192404,-1.51,-1.48
192504,1.44,1.47
192604,-1.55,-1.52
192704,1.44,1.47
192804,-.16,-0.13
192904,-2.09,-2.06
193004,-3.32,-3.29
193104,-2.41,-2.38
193204,1.16,1.19
193304,-.72,-0.69
193404,-3.11,-3.08
193504,-2.53,-2.50
193604,-2.62,-2.59
193704,-3.47,-3.44
193804,1.98,2.01
193904,-1.56,-1.53
194004,-1.22,-1.19
194104,.15,0.18
194204,1.16,1.19
194304,1.72,1.75
194404,.62,0.65
194504,.74,0.77
194604,-.69,-0.66
194704,-1.27,-1.24
194804,1.34,1.37
194904,-1.44,-1.41
195004,1.4,1.43
195104,-.35,-0.32
195204,-.72,-0.69
195304,.59,0.62
195404,-1.42,-1.39
195504,.84,0.87
195604,-.93,-0.90
195704,.81,0.84
195804,1.25,1.28
195904,-.71,-0.68
196004,.6,0.63
196104,-1.12,-1.09
196204,.29,0.32
196304,.94,0.97
196404,1.2,1.23
196504,3.32,3.35
196604,-2.11,-2.08
196704,1.21,1.24
196804,-.81,-0.78
196904,-1.16,-1.13
197004,1.23,1.26
197104,3.65,3.68
197204,3.1,3.13
197304,-1.48,-1.45
197404,-.17,-0.14
197504,2.1,2.13
197604,3.02,3.05
197704,-6.57,-6.54
197804,2.03,2.06
197904,-1.36,-1.33
198004,-.38,-0.35
198104,.33,0.36
198204,3.76,3.79
198304,3.78,3.81
198404,4.14,4.17
198504,-1.61,-1.58
198604,-.2,-0.17
198704,-3.49,-3.46
198804,-3.54,-3.51
198904,-1.97,-1.94
199004,-2.73,-2.70
199104,.81,0.84
199204,-3.1,-3.07
199304,1.13,1.16
199404,-2.99,-2.96
199504,1.83,1.86
199604,4.27,4.30
199704,3.73,3.76
199804,.89,0.92
199904,-.49,-0.46
200004,-1.88,-1.85
200104,-3.69,-3.66
200204,-2.36,-2.33
200304,-1.89,-1.86
200404,-3.97,-3.94
200504,.14,0.17
200604,2.28,2.31
200704,-1.99,-1.96
200804,-1.28,-1.25
200904,.55,0.58
201004,.5,0.53
201104,3.66,3.69
201204,-.17,-0.14
201304,-1.49,-1.46
201404,-1.61,-1.58
201504,-2.88,-2.85
