Massachusetts, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-1.3,-1.16
189603,1.7,1.84
189703,-.97,-0.83
189803,1.83,1.97
189903,4.1,4.24
190003,2.59,2.73
190103,.97,1.11
190203,2.27,2.41
190303,2.27,2.41
190403,-.85,-0.71
190503,-1.45,-1.31
190603,.78,0.92
190703,-1.62,-1.48
190803,-.24,-0.10
190903,1.13,1.27
191003,-1.04,-0.90
191103,-2.82,-2.68
191203,1.29,1.43
191303,-1.24,-1.10
191403,.29,0.43
191503,-2.19,-2.05
191603,1.1,1.24
191703,-1.11,-0.97
191803,-1.5,-1.36
191903,-.5,-0.36
192003,1.26,1.40
192103,-1,-0.86
192203,.56,0.70
192303,-.67,-0.53
192403,-.85,-0.71
192503,-1.27,-1.13
192603,-.26,-0.12
192703,-1.27,-1.13
192803,1.63,1.77
192903,.04,0.18
193003,-2.68,-2.54
193103,.39,0.53
193203,-1.06,-0.92
193303,1.45,1.59
193403,-.55,-0.41
193503,-.94,-0.80
193603,2.06,2.20
193703,.84,0.98
193803,-1,-0.86
193903,.58,0.72
194003,.64,0.78
194103,-1.97,-1.83
194203,-1.64,-1.50
194303,-.95,-0.81
194403,-1.79,-1.65
194503,-.97,-0.83
194603,-1.31,-1.17
194703,-2.04,-1.90
194803,-1.23,-1.09
194903,-1.15,-1.01
195003,-2.7,-2.56
195103,1.07,1.21
195203,1.41,1.55
195303,2.56,2.70
195403,-.57,-0.43
195503,-.4,-0.26
195603,3.89,4.03
195703,-2.09,-1.95
195803,1.33,1.47
195903,-.41,-0.27
196003,1.35,1.49
196103,-.73,-0.59
196203,-.97,-0.83
196303,-.2,-0.06
196403,-1.48,-1.34
196503,-4.11,-3.97
196603,-4.42,-4.28
196703,.14,0.28
196803,.96,1.10
196903,-.29,-0.15
197003,-.1,0.04
197103,-.92,-0.78
197203,1.52,1.66
197303,2.61,2.75
197403,2.25,2.39
197503,-.09,0.05
197603,-.51,-0.37
197703,.67,0.81
197803,-.89,-0.75
197903,1.95,2.09
198003,-1.06,-0.92
198103,-2.23,-2.09
198203,-.4,-0.26
198303,2.19,2.33
198403,3.16,3.30
198503,-3.05,-2.91
198603,-.38,-0.24
198703,.95,1.09
198803,-.66,-0.52
198903,-1.86,-1.72
199003,1.67,1.81
199103,-.58,-0.44
199203,-.76,-0.62
199303,2.42,2.56
199403,1.75,1.89
199503,-1.11,-0.97
199603,1.51,1.65
199703,.22,0.36
199803,1.65,1.79
199903,1.28,1.42
200003,.05,0.19
200103,1.91,2.05
200203,-2.81,-2.67
200303,1.18,1.32
200403,-1.83,-1.69
200503,1.63,1.77
200603,1.3,1.44
200703,1.66,1.80
200803,2.78,2.92
200903,1.98,2.12
201003,5.07,5.21
201103,.82,0.96
201203,-2.26,-2.12
201303,-.95,-0.81
201403,.72,0.86
201503,-.41,-0.27
