Pennsylvania, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-3.78,-3.65
189612,-.86,-0.73
189712,.95,1.08
189812,1.1,1.23
189912,.08,0.21
190012,-2.86,-2.73
190112,2.59,2.72
190212,2.77,2.90
190312,2.54,2.67
190412,-.89,-0.76
190512,2.12,2.25
190612,1.17,1.30
190712,2.61,2.74
190812,-4.74,-4.61
190912,-4.36,-4.23
191012,-2.89,-2.76
191112,2.63,2.76
191212,2.13,2.26
191312,.5,0.63
191412,.31,0.44
191512,1.65,1.78
191612,-1.29,-1.16
191712,-1.37,-1.24
191812,-.39,-0.26
191912,-.17,-0.04
192012,.48,0.61
192112,-.22,-0.09
192212,-3.37,-3.24
192312,.78,0.91
192412,-1.94,-1.81
192512,.58,0.71
192612,2.67,2.80
192712,3.56,3.69
192812,-1.8,-1.67
192912,-.05,0.08
193012,-6.59,-6.46
193112,-4.59,-4.46
193212,.82,0.95
193312,-.49,-0.36
193412,-.27,-0.14
193512,.82,0.95
193612,.52,0.65
193712,-.31,-0.18
193812,-.63,-0.50
193912,-3.45,-3.32
194012,.02,0.15
194112,-2.45,-2.32
194212,3.18,3.31
194312,-1.83,-1.70
194412,.41,0.54
194512,-.14,-0.01
194612,-1.05,-0.92
194712,-1.79,-1.66
194812,.91,1.04
194912,-3.14,-3.01
195012,2.99,3.12
195112,1.29,1.42
195212,.28,0.41
195312,-3.96,-3.83
195412,.95,1.08
195512,-1.13,-1.00
195612,2.86,2.99
195712,.6,0.73
195812,-.9,-0.77
195912,1.51,1.64
196012,-1.43,-1.30
196112,-1.71,-1.58
196212,-1.75,-1.62
196312,-3.88,-3.75
196412,-4.53,-4.40
196512,-4.37,-4.24
196612,-3.36,-3.23
196712,1.6,1.73
196812,-1.45,-1.32
196912,1.19,1.32
197012,1.78,1.91
197112,.43,0.56
197212,3.59,3.72
197312,2.17,2.30
197412,1.87,2.00
197512,3.3,3.43
197612,-1.08,-0.95
197712,3.09,3.22
197812,1.55,1.68
197912,-.4,-0.27
198012,-1.48,-1.35
198112,-.67,-0.54
198212,-2.16,-2.03
198312,1.79,1.92
198412,-.23,-0.10
198512,-.4,-0.27
198612,1.78,1.91
198712,-.4,-0.27
198812,-2.35,-2.22
198912,-.8,-0.67
199012,3.72,3.85
199112,-4.98,-4.85
199212,2.41,2.54
199312,1.82,1.95
199412,.22,0.35
199512,1.07,1.20
199612,5.46,5.59
199712,1.23,1.36
199812,-4.25,-4.12
199912,-.56,-0.43
200012,-.59,-0.46
200112,-3.35,-3.22
200212,1.2,1.33
200312,4.84,4.97
200412,5.32,5.45
200512,1.06,1.19
200612,2.64,2.77
200712,1.09,1.22
200812,1.27,1.40
200912,.7,0.83
201012,.91,1.04
201112,5.34,5.47
201212,1.64,1.77
201312,1.44,1.57
201412,-.45,-0.32
201512,0,0.13
