North Carolina, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,-.25,-0.34
189607,1.11,1.02
189707,.14,0.05
189807,.52,0.43
189907,-.07,-0.16
190007,-.64,-0.73
190107,3.1,3.01
190207,-2.32,-2.41
190307,-.47,-0.56
190407,.24,0.15
190507,1.55,1.46
190607,2.4,2.31
190707,2.08,1.99
190807,2.95,2.86
190907,3.52,3.43
191007,2.04,1.95
191107,-3.74,-3.83
191207,-.28,-0.37
191307,.58,0.49
191407,-2.49,-2.58
191507,.29,0.20
191607,2.69,2.60
191707,2.44,2.35
191807,.79,0.70
191907,1.97,1.88
192007,1.13,1.04
192107,-.93,-1.02
192207,3.16,3.07
192307,-.98,-1.07
192407,1.74,1.65
192507,-2.8,-2.89
192607,-3.08,-3.17
192707,.47,0.38
192807,1.95,1.86
192907,3.8,3.71
193007,-2.5,-2.59
193107,-2.36,-2.45
193207,-2.84,-2.93
193307,-1.69,-1.78
193407,.96,0.87
193507,.41,0.32
193607,-1.01,-1.10
193707,.05,-0.04
193807,2.46,2.37
193907,1.32,1.23
194007,-2.21,-2.30
194107,-1.65,-1.74
194207,-3.07,-3.16
194307,.92,0.83
194407,-1.57,-1.66
194507,1.01,0.92
194607,2.49,2.40
194707,.11,0.02
194807,-.67,-0.76
194907,1.4,1.31
195007,2.05,1.96
195107,-1.51,-1.60
195207,-2.36,-2.45
195307,-1.69,-1.78
195407,-2.57,-2.66
195507,.02,-0.07
195607,-.36,-0.45
195707,-.9,-0.99
195807,-.2,-0.29
195907,1.08,0.99
196007,2.23,2.14
196107,2.1,2.01
196207,1.35,1.26
196307,-.63,-0.72
196407,.18,0.09
196507,2.71,2.62
196607,-.69,-0.78
196707,.82,0.73
196807,-.79,-0.88
196907,.93,0.84
197007,-1.18,-1.27
197107,1.17,1.08
197207,2.23,2.14
197307,-.3,-0.39
197407,1.07,0.98
197507,2.93,2.84
197607,.8,0.71
197707,-1.96,-2.05
197807,-.06,-0.15
197907,2.41,2.32
198007,-.75,-0.84
198107,-2.92,-3.01
198207,1.53,1.44
198307,-1.16,-1.25
198407,3.5,3.41
198507,.47,0.38
198607,-5.12,-5.21
198707,-2.04,-2.13
198807,-2.57,-2.66
198907,3.25,3.16
199007,-1.99,-2.08
199107,-.45,-0.54
199207,-.73,-0.82
199307,-2.33,-2.42
199407,.35,0.26
199507,1.67,1.58
199607,1.21,1.12
199707,-.36,-0.45
199807,-1.07,-1.16
199907,-2.68,-2.77
200007,-1.31,-1.40
200107,-1.29,-1.38
200207,-4.75,-4.84
200307,4.55,4.46
200407,.25,0.16
200507,.62,0.53
200607,1.01,0.92
200707,-2.88,-2.97
200807,-4.35,-4.44
200907,-.36,-0.45
201007,-2.4,-2.49
201107,-3.47,-3.56
201207,-.59,-0.68
201307,3.31,3.22
201407,-.43,-0.52
201507,-1.22,-1.31
