Alabama, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.78,0.87
189601,-1.65,-1.56
189701,-3.49,-3.40
189801,-4.16,-4.07
189901,1.44,1.53
190001,-3.12,-3.03
190101,1.51,1.60
190201,.92,1.01
190301,-2.76,-2.67
190401,-1.86,-1.77
190501,-2.78,-2.69
190601,-.96,-0.87
190701,-1.65,-1.56
190801,1.49,1.58
190901,-3.18,-3.09
191001,-2.05,-1.96
191101,-1.54,-1.45
191201,1.19,1.28
191301,2.19,2.28
191401,-2.6,-2.51
191501,-1.56,-1.47
191601,-1.18,-1.09
191701,.38,0.47
191801,.78,0.87
191901,2.1,2.19
192001,2.94,3.03
192101,-.65,-0.56
192201,.46,0.55
192301,-2.11,-2.02
192401,.92,1.01
192501,-.62,-0.53
192601,1.46,1.55
192701,-1.22,-1.13
192801,-2.99,-2.90
192901,.79,0.88
193001,-.48,-0.39
193101,-2.01,-1.92
193201,1.28,1.37
193301,-.78,-0.69
193401,-3.5,-3.41
193501,-1.09,-1.00
193601,2,2.09
193701,1.25,1.34
193801,-1.01,-0.92
193901,-2.24,-2.15
194001,-1.74,-1.65
194101,-1.52,-1.43
194201,-2.25,-2.16
194301,-.31,-0.22
194401,-2.28,-2.19
194501,-1.28,-1.19
194601,1.43,1.52
194701,3.29,3.38
194801,.98,1.07
194901,3.05,3.14
195001,-1.47,-1.38
195101,-.96,-0.87
195201,-1.43,-1.34
195301,-2.12,-2.03
195401,-.3,-0.21
195501,-4.36,-4.27
195601,-3.64,-3.55
195701,-1.65,-1.56
195801,-.82,-0.73
195901,-1.27,-1.18
196001,.26,0.35
196101,-1.43,-1.34
196201,3.87,3.96
196301,-1.67,-1.58
196401,.64,0.73
196501,1.3,1.39
196601,.31,0.40
196701,-.55,-0.46
196801,-.09,0.00
196901,-.42,-0.33
197001,-.63,-0.54
197101,-.62,-0.53
197201,1.98,2.07
197301,1.31,1.40
197401,2.77,2.86
197501,2.58,2.67
197601,4.36,4.45
197701,2.38,2.47
197801,2.08,2.17
197901,.9,0.99
198001,2.27,2.36
198101,-3.23,-3.14
198201,.7,0.79
198301,1.02,1.11
198401,-.24,-0.15
198501,-1.14,-1.05
198601,-1.46,-1.37
198701,1.42,1.51
198801,-1.95,-1.86
198901,-.79,-0.70
199001,3.84,3.93
199101,.79,0.88
199201,-.28,-0.19
199301,3.04,3.13
199401,.15,0.24
199501,-.54,-0.45
199601,2.93,3.02
199701,1.57,1.66
199801,3.16,3.25
199901,-.08,0.01
200001,-2.12,-2.03
200101,.78,0.87
200201,-.43,-0.34
200301,1.38,1.47
200401,-.85,-0.76
200501,2.03,2.12
200601,-.85,-0.76
200701,-1.8,-1.71
200801,-4.19,-4.10
200901,.76,0.85
201001,5.04,5.13
201101,-2.65,-2.56
201201,-1.91,-1.82
201301,1,1.09
201401,1.83,1.92
201501,-.57,-0.48
