Tennessee, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-.83,-1.04
189608,-.55,-0.76
189708,-.95,-1.16
189808,.51,0.30
189908,-1.82,-2.03
190008,-.62,-0.83
190108,2.29,2.08
190208,-2.34,-2.55
190308,-.04,-0.25
190408,-1.71,-1.92
190508,1.57,1.36
190608,1.7,1.49
190708,.82,0.61
190808,-.03,-0.24
190908,-.24,-0.45
191008,-.14,-0.35
191108,-.8,-1.01
191208,2.78,2.57
191308,-2.29,-2.50
191408,-3.31,-3.52
191508,1.83,1.62
191608,2.73,2.52
191708,3.04,2.83
191808,-2.03,-2.24
191908,-.21,-0.42
192008,3.89,3.68
192108,.66,0.45
192208,-.03,-0.24
192308,2.79,2.58
192408,-.91,-1.12
192508,-4.77,-4.98
192608,1.6,1.39
192708,2.71,2.50
192808,3.04,2.83
192908,2.22,2.01
193008,-3.67,-3.88
193108,-3.54,-3.75
193208,.23,0.02
193308,-.06,-0.27
193408,.13,-0.08
193508,-.67,-0.88
193608,-3.74,-3.95
193708,.26,0.05
193808,1.81,1.60
193908,-.22,-0.43
194008,-1.28,-1.49
194108,-3.22,-3.43
194208,-2.04,-2.25
194308,-2.6,-2.81
194408,.05,-0.16
194508,.86,0.65
194608,-.44,-0.65
194708,-1,-1.21
194808,-1.64,-1.85
194908,2.75,2.54
195008,4.81,4.60
195108,1.23,1.02
195208,-2.77,-2.98
195308,-2.07,-2.28
195408,-4.11,-4.32
195508,-.53,-0.74
195608,-1.11,-1.32
195708,.57,0.36
195808,.84,0.63
195908,.75,0.54
196008,.43,0.22
196108,1.7,1.49
196208,-1.4,-1.61
196308,1.05,0.84
196408,.83,0.62
196508,-.37,-0.58
196608,.82,0.61
196708,3.2,2.99
196808,-1.71,-1.92
196908,-1.19,-1.40
197008,.61,0.40
197108,1.67,1.46
197208,1.13,0.92
197308,3.96,3.75
197408,3.79,3.58
197508,2.68,2.47
197608,1.23,1.02
197708,-.87,-1.08
197808,.8,0.59
197908,3.62,3.41
198008,-1.89,-2.10
198108,1.13,0.92
198208,.83,0.62
198308,-1.74,-1.95
198408,1.64,1.43
198508,1.07,0.86
198608,-3.07,-3.28
198708,-3.09,-3.30
198808,-3.8,-4.01
198908,4,3.79
199008,1.11,0.90
199108,1.94,1.73
199208,2.03,1.82
199308,-1.48,-1.69
199408,3.43,3.22
199508,.83,0.62
199608,1.93,1.72
199708,3.41,3.20
199808,-.08,-0.29
199908,-1.2,-1.41
200008,-2.26,-2.47
200108,.82,0.61
200208,-1.35,-1.56
200308,3.91,3.70
200408,2.85,2.64
200508,.91,0.70
200608,-1.82,-2.03
200708,-4.96,-5.17
200808,-2.2,-2.41
200908,2.04,1.83
201008,-.63,-0.84
201108,.6,0.39
201208,-2.71,-2.92
201308,3.91,3.70
201408,2.58,2.37
201508,2.4,2.19
