Nevada, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.88,1.96
189601,1.44,1.52
189701,.99,1.07
189801,-.01,0.07
189901,.62,0.70
190001,-1.42,-1.34
190101,.17,0.25
190201,-1.23,-1.15
190301,.59,0.67
190401,-1.72,-1.64
190501,-1.53,-1.45
190601,.76,0.84
190701,5.24,5.32
190801,4.31,4.39
190901,2.24,2.32
191001,3.12,3.20
191101,1.35,1.43
191201,-1.58,-1.50
191301,-1.07,-0.99
191401,3.9,3.98
191501,-1.62,-1.54
191601,2.23,2.31
191701,1.22,1.30
191801,-2.5,-2.42
191901,-.82,-0.74
192001,-2.03,-1.95
192101,1.53,1.61
192201,1.43,1.51
192301,2.75,2.83
192401,-1.25,-1.17
192501,-3.56,-3.48
192601,-1.02,-0.94
192701,-3.28,-3.20
192801,-1.36,-1.28
192901,-3.78,-3.70
193001,-3.73,-3.65
193101,-2.64,-2.56
193201,1.75,1.83
193301,-.78,-0.70
193401,-3.45,-3.37
193501,.39,0.47
193601,.19,0.27
193701,.97,1.05
193801,-.24,-0.16
193901,-.4,-0.32
194001,.76,0.84
194101,1.04,1.12
194201,5.51,5.59
194301,2.95,3.03
194401,1.22,1.30
194501,.59,0.67
194601,3.68,3.76
194701,-.24,-0.16
194801,-1.87,-1.79
194901,.74,0.82
195001,-1.64,-1.56
195101,-2.35,-2.27
195201,1.92,2.00
195301,-1.21,-1.13
195401,-3.28,-3.20
195501,-3.4,-3.32
195601,1.81,1.89
195701,-1.54,-1.46
195801,.89,0.97
195901,-2.24,-2.16
196001,-3.93,-3.85
196101,-3.09,-3.01
196201,-.55,-0.47
196301,-2.29,-2.21
196401,-.75,-0.67
196501,-.07,0.01
196601,-.43,-0.35
196701,1.28,1.36
196801,-1.57,-1.49
196901,1.59,1.67
197001,-.07,0.01
197101,.66,0.74
197201,-.4,-0.32
197301,2.01,2.09
197401,.52,0.60
197501,.22,0.30
197601,-1.73,-1.65
197701,-2.18,-2.10
197801,.68,0.76
197901,3.18,3.26
198001,1.85,1.93
198101,-2.05,-1.97
198201,.66,0.74
198301,4.05,4.13
198401,7.4,7.48
198501,-.2,-0.12
198601,-.63,-0.55
198701,-1.59,-1.51
198801,1.44,1.52
198901,-1.19,-1.11
199001,-3.01,-2.93
199101,-4.04,-3.96
199201,-2.28,-2.20
199301,1.88,1.96
199401,-1.51,-1.43
199501,2.42,2.50
199601,-.68,-0.60
199701,2.5,2.58
199801,-.81,-0.73
199901,-.51,-0.43
200001,-2.83,-2.75
200101,-2.31,-2.23
200201,-3.08,-3.00
200301,-4.8,-4.72
200401,-2.81,-2.73
200501,3.25,3.33
200601,3.85,3.93
200701,-2.15,-2.07
200801,-3.32,-3.24
200901,-3.52,-3.44
201001,.36,0.44
201101,2.26,2.34
201201,-1.76,-1.68
201301,-3.3,-3.22
201401,-4.12,-4.04
201501,-4.04,-3.96
