Wyoming, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,3.11,2.46
189604,3.47,2.82
189704,-.14,-0.79
189804,-1.68,-2.33
189904,3.63,2.98
190004,1.4,0.75
190104,-3.37,-4.02
190204,-3.35,-4.00
190304,.04,-0.61
190404,2.71,2.06
190504,.04,-0.61
190604,2.21,1.56
190704,3.49,2.84
190804,-2.6,-3.25
190904,4.66,4.01
191004,-2.21,-2.86
191104,-4.31,-4.96
191204,2.1,1.45
191304,3.9,3.25
191404,2.5,1.85
191504,-4.79,-5.44
191604,3.24,2.59
191704,3.05,2.40
191804,.78,0.13
191904,-2.94,-3.59
192004,4.12,3.47
192104,-.67,-1.32
192204,2.3,1.65
192304,1.16,0.51
192404,5.44,4.79
192504,1.62,0.97
192604,2.96,2.31
192704,4.75,4.10
192804,5.63,4.98
192904,5.93,5.28
193004,-1.5,-2.15
193104,-2.15,-2.80
193204,-1.53,-2.18
193304,.75,0.10
193404,-5.35,-6.00
193504,-6,-6.65
193604,-1.31,-1.96
193704,.25,-0.40
193804,1.76,1.11
193904,-1.12,-1.77
194004,-3.43,-4.08
194104,1.09,0.44
194204,3.67,3.02
194304,4.88,4.23
194404,1.16,0.51
194504,3.27,2.62
194604,3.58,2.93
194704,4.38,3.73
194804,4.55,3.90
194904,2.26,1.61
195004,2.67,2.02
195104,1.47,0.82
195204,2.76,2.11
195304,-1.72,-2.37
195404,-3.12,-3.77
195504,-5.92,-6.57
195604,-1.1,-1.75
195704,.62,-0.03
195804,-.1,-0.75
195904,.12,-0.53
196004,-3.23,-3.88
196104,-5.57,-6.22
196204,2.17,1.52
196304,.74,0.09
196404,.29,-0.36
196504,1.08,0.43
196604,-1.93,-2.58
196704,.06,-0.59
196804,2.23,1.58
196904,-.21,-0.86
197004,1.19,0.54
197104,3.92,3.27
197204,3.66,3.01
197304,4.1,3.45
197404,3.84,3.19
197504,.44,-0.21
197604,2.1,1.45
197704,-4.02,-4.67
197804,.65,0.00
197904,-.34,-0.99
198004,.06,-0.59
198104,-4.04,-4.69
198204,.57,-0.08
198304,5.32,4.67
198404,5.47,4.82
198504,-1.84,-2.49
198604,1.87,1.22
198704,-1.45,-2.10
198804,-2.15,-2.80
198904,-4.65,-5.30
199004,-3.31,-3.96
199104,.16,-0.49
199204,-3.5,-4.15
199304,.57,-0.08
199404,-.06,-0.71
199504,2.76,2.11
199604,4.63,3.98
199704,4.31,3.66
199804,3.24,2.59
199904,5.79,5.14
200004,-3.02,-3.67
200104,-5.63,-6.28
200204,-7.41,-8.06
200304,-4.93,-5.58
200404,-5.51,-6.16
200504,-4.09,-4.74
200604,-2.41,-3.06
200704,-4.95,-5.60
200804,-3.56,-4.21
200904,.66,0.01
201004,.25,-0.40
201104,3.04,2.39
201204,-2.48,-3.13
201304,-6.11,-6.76
201404,2.87,2.22
201504,-1.61,-2.26
