Indiana, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-4.04,-4.14
189609,3.69,3.59
189709,-2.3,-2.40
189809,.95,0.85
189909,-2.67,-2.77
190009,-1.65,-1.75
190109,-4.11,-4.21
190209,1.77,1.67
190309,-.52,-0.62
190409,-.67,-0.77
190509,1.43,1.33
190609,.57,0.47
190709,2.43,2.33
190809,-3.15,-3.25
190909,2.28,2.18
191009,1.16,1.06
191109,.95,0.85
191209,2.7,2.60
191309,-2.19,-2.29
191409,-3.48,-3.58
191509,3.37,3.27
191609,-1.01,-1.11
191709,-.76,-0.86
191809,.75,0.65
191909,-2.16,-2.26
192009,-.58,-0.68
192109,1.31,1.21
192209,-2.82,-2.92
192309,.68,0.58
192409,.55,0.45
192509,.55,0.45
192609,3.14,3.04
192709,3.17,3.07
192809,1.29,1.19
192909,1.77,1.67
193009,-3.68,-3.78
193109,.71,0.61
193209,1.09,0.99
193309,-2.01,-2.11
193409,-3.65,-3.75
193509,-1.43,-1.53
193609,.23,0.13
193709,1.39,1.29
193809,-.07,-0.17
193909,-1.71,-1.81
194009,-3.99,-4.09
194109,-5.15,-5.25
194209,1.06,0.96
194309,-.58,-0.68
194409,-3.12,-3.22
194509,3.43,3.33
194609,-1.38,-1.48
194709,.35,0.25
194809,-.81,-0.91
194909,.89,0.79
195009,4.63,4.53
195109,1.86,1.76
195209,-.8,-0.90
195309,-3.05,-3.15
195409,-4.02,-4.12
195509,.29,0.19
195609,-1.19,-1.29
195709,1.85,1.75
195809,3.93,3.83
195909,-1.29,-1.39
196009,-.89,-0.99
196109,1.9,1.80
196209,-.11,-0.21
196309,-1.87,-1.97
196409,-3.38,-3.48
196509,-1,-1.10
196609,-1.63,-1.73
196709,-1.56,-1.66
196809,-.08,-0.18
196909,1.09,0.99
197009,.51,0.41
197109,.93,0.83
197209,1.34,1.24
197309,2.01,1.91
197409,2.26,2.16
197509,2.1,2.00
197609,.17,0.07
197709,1.71,1.61
197809,1.15,1.05
197909,3.37,3.27
198009,2.14,2.04
198109,2.46,2.36
198209,1.55,1.45
198309,-2.62,-2.72
198409,.34,0.24
198509,-.42,-0.52
198609,1.26,1.16
198709,-1.5,-1.60
198809,-3.82,-3.92
198909,3.03,2.93
199009,3.48,3.38
199109,-2.95,-3.05
199209,2.77,2.67
199309,4.31,4.21
199409,-.78,-0.88
199509,-1.2,-1.30
199609,2.82,2.72
199709,-.25,-0.35
199809,-.91,-1.01
199909,-2.49,-2.59
200009,2.27,2.17
200109,1.6,1.50
200209,-1.44,-1.54
200309,3.88,3.78
200409,2.19,2.09
200509,-.46,-0.56
200609,2.61,2.51
200709,-1.89,-1.99
200809,2.82,2.72
200909,2.63,2.53
201009,-1.61,-1.71
201109,2.54,2.44
201209,.71,0.61
201309,-.77,-0.87
201409,2.38,2.28
201509,3.02,2.92
