Nevada, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,2.52,2.58
189608,2.97,3.03
189708,1.25,1.31
189808,-.78,-0.72
189908,2.45,2.51
190008,-3.21,-3.15
190108,.99,1.05
190208,-1.33,-1.27
190308,-.66,-0.60
190408,1.05,1.11
190508,-1.11,-1.05
190608,5.08,5.14
190708,6.41,6.47
190808,2.58,2.64
190908,.4,0.46
191008,-2.59,-2.53
191108,-.5,-0.44
191208,-.64,-0.58
191308,2.02,2.08
191408,-.29,-0.23
191508,-.83,-0.77
191608,.78,0.84
191708,3.94,4.00
191808,.04,0.10
191908,-2.75,-2.69
192008,1.3,1.36
192108,-.92,-0.86
192208,4.32,4.38
192308,2.34,2.40
192408,-5.33,-5.27
192508,1.43,1.49
192608,-4.13,-4.07
192708,-1.78,-1.72
192808,-4.21,-4.15
192908,-3.36,-3.30
193008,-3.06,-3.00
193108,.41,0.47
193208,.01,0.07
193308,-2.21,-2.15
193408,-6.62,-6.56
193508,-.24,-0.18
193608,.77,0.83
193708,-.51,-0.45
193808,4.39,4.45
193908,-1.87,-1.81
194008,-2.7,-2.64
194108,6.08,6.14
194208,3.38,3.44
194308,2.4,2.46
194408,-.56,-0.50
194508,5.4,5.46
194608,1.42,1.48
194708,-1.81,-1.75
194808,-1.58,-1.52
194908,-.42,-0.36
195008,-4.06,-4.00
195108,-2.35,-2.29
195208,4.52,4.58
195308,-2.86,-2.80
195408,-4.27,-4.21
195508,-2.12,-2.06
195608,-.62,-0.56
195708,-1.04,-0.98
195808,2.13,2.19
195908,-4.88,-4.82
196008,-4.98,-4.92
196108,.72,0.78
196208,-.49,-0.43
196308,-.77,-0.71
196408,-.7,-0.64
196508,3.44,3.50
196608,-3.46,-3.40
196708,3.46,3.52
196808,.71,0.77
196908,-.27,-0.21
197008,.86,0.92
197108,1.83,1.89
197208,-3.63,-3.57
197308,-.11,-0.05
197408,-2.8,-2.74
197508,2.47,2.53
197608,.51,0.57
197708,-2.63,-2.57
197808,2.77,2.83
197908,2.88,2.94
198008,4.12,4.18
198108,-3.93,-3.87
198208,1.84,1.90
198308,7.72,7.78
198408,7.28,7.34
198508,-2.21,-2.15
198608,-1.04,-0.98
198708,-2.13,-2.07
198808,-.67,-0.61
198908,-2.42,-2.36
199008,-3.68,-3.62
199108,-2.57,-2.51
199208,-4.1,-4.04
199308,.04,0.10
199408,-3.96,-3.90
199508,7.68,7.74
199608,-1.22,-1.16
199708,.62,0.68
199808,7.57,7.63
199908,-.78,-0.72
200008,-3.11,-3.05
200108,-4.02,-3.96
200208,-5.22,-5.16
200308,-3.82,-3.76
200408,.11,0.17
200508,5.77,5.83
200608,-.9,-0.84
200708,-5.85,-5.79
200808,-4.07,-4.01
200908,-2.76,-2.70
201008,-.98,-0.92
201108,-.22,-0.16
201208,-4.67,-4.61
201308,-5.37,-5.31
201408,-4.57,-4.51
201508,-5.52,-5.46
