Maryland, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.76,-0.61
189603,-1.03,-0.88
189703,.63,0.78
189803,-.67,-0.52
189903,2.54,2.69
190003,-.05,0.10
190103,-3.15,-3.00
190203,-.11,0.04
190303,3.24,3.39
190403,-1.02,-0.87
190503,-.52,-0.37
190603,1.69,1.84
190703,1.15,1.30
190803,-.43,-0.28
190903,.14,0.29
191003,-2.54,-2.39
191103,-1.62,-1.47
191203,2.48,2.63
191303,.11,0.26
191403,-1.25,-1.10
191503,-.8,-0.65
191603,.36,0.51
191703,.86,1.01
191803,-.95,-0.80
191903,0,0.15
192003,1.39,1.54
192103,-1.33,-1.18
192203,.88,1.03
192303,.67,0.82
192403,1.22,1.37
192503,-1.62,-1.47
192603,-1.57,-1.42
192703,-1.13,-0.98
192803,.08,0.23
192903,.08,0.23
193003,-1.42,-1.27
193103,-6.06,-5.91
193203,1.06,1.21
193303,1.53,1.68
193403,-.16,-0.01
193503,.99,1.14
193603,3.82,3.97
193703,1.35,1.50
193803,-1.33,-1.18
193903,2.08,2.23
194003,.29,0.44
194103,-1.21,-1.06
194203,-2.23,-2.08
194303,-.45,-0.30
194403,1.02,1.17
194503,-1.19,-1.04
194603,-1.45,-1.30
194703,-1.83,-1.68
194803,-.27,-0.12
194903,-.42,-0.27
195003,.44,0.59
195103,-.42,-0.27
195203,1.56,1.71
195303,2.11,2.26
195403,-2.57,-2.42
195503,-2.7,-2.55
195603,.54,0.69
195703,-.3,-0.15
195803,2.24,2.39
195903,-1.3,-1.15
196003,-.26,-0.11
196103,1.65,1.80
196203,.81,0.96
196303,-1.08,-0.93
196403,.81,0.96
196503,-2.19,-2.04
196603,-4.65,-4.50
196703,-.72,-0.57
196803,-.87,-0.72
196903,-2.39,-2.24
197003,.9,1.05
197103,-.44,-0.29
197203,2.16,2.31
197303,2.87,3.02
197403,-.4,-0.25
197503,1.26,1.41
197603,-1.39,-1.24
197703,-1.84,-1.69
197803,2.51,2.66
197903,2.33,2.48
198003,-.56,-0.41
198103,-2.8,-2.65
198203,.13,0.28
198303,.78,0.93
198403,2.92,3.07
198503,-1.83,-1.68
198603,-1.13,-0.98
198703,-1.92,-1.77
198803,-1.79,-1.64
198903,.7,0.85
199003,-1.23,-1.08
199103,-.44,-0.29
199203,-3.03,-2.88
199303,2.39,2.54
199403,3.4,3.55
199503,-2.39,-2.24
199603,1.77,1.92
199703,-.06,0.09
199803,3.02,3.17
199903,-2.98,-2.83
200003,.9,1.05
200103,-.7,-0.55
200203,-4.05,-3.90
200303,2.41,2.56
200403,3.05,3.20
200503,.4,0.55
200603,-1.9,-1.75
200703,-.8,-0.65
200803,-3.12,-2.97
200903,-2.38,-2.23
201003,3.49,3.64
201103,-1.39,-1.24
201203,-1.85,-1.70
201303,-.5,-0.35
201403,1.92,2.07
201503,-.1,0.05
201603,-1.01,-0.86
