New Mexico, Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Date,Value,Anomaly
189511,5.32,5.16
189611,2.19,2.03
189711,3.59,3.43
189811,-1.18,-1.34
189911,-.92,-1.08
190011,-.3,-0.46
190111,-.89,-1.05
190211,.17,0.01
190311,-2.74,-2.90
190411,1.75,1.59
190511,6.76,6.60
190611,5.36,5.20
190711,4.48,4.32
190811,-.74,-0.90
190911,-1.72,-1.88
191011,-4.25,-4.41
191111,1.74,1.58
191211,.79,0.63
191311,.82,0.66
191411,2.65,2.49
191511,4.45,4.29
191611,-.19,-0.35
191711,-3,-3.16
191811,1.19,1.03
191911,5.99,5.83
192011,-.46,-0.62
192111,-2,-2.16
192211,-3.63,-3.79
192311,2.74,2.58
192411,-2.55,-2.71
192511,-.31,-0.47
192611,-.63,-0.79
192711,-1.47,-1.63
192811,.93,0.77
192911,1.76,1.60
193011,.73,0.57
193111,3.06,2.90
193211,-.6,-0.76
193311,-.6,-0.76
193411,-4.43,-4.59
193511,.8,0.64
193611,-.48,-0.64
193711,-1.65,-1.81
193811,-.48,-0.64
193911,-1.14,-1.30
194011,.88,0.72
194111,11.31,11.15
194211,-.74,-0.90
194311,-2.4,-2.56
194411,.81,0.65
194511,-2.59,-2.75
194611,-1.42,-1.58
194711,.23,0.07
194811,-1.65,-1.81
194911,-.99,-1.15
195011,-2.81,-2.97
195111,-4.18,-4.34
195211,-2.52,-2.68
195311,-3.63,-3.79
195411,-3.93,-4.09
195511,-3.23,-3.39
195611,-6,-6.16
195711,2.01,1.85
195811,-.18,-0.34
195911,.1,-0.06
196011,.97,0.81
196111,.99,0.83
196211,-.09,-0.25
196311,-2.08,-2.24
196411,-3.16,-3.32
196511,-.89,-1.05
196611,-1.53,-1.69
196711,-1.13,-1.29
196811,-1.03,-1.19
196911,-.1,-0.26
197011,-1.43,-1.59
197111,1.37,1.21
197211,3.78,3.62
197311,-1.97,-2.13
197411,2.75,2.59
197511,-.59,-0.75
197611,-1.42,-1.58
197711,-1.49,-1.65
197811,1.77,1.61
197911,2.62,2.46
198011,-1.43,-1.59
198111,-.32,-0.48
198211,.44,0.28
198311,1.75,1.59
198411,2.87,2.71
198511,5.67,5.51
198611,5.43,5.27
198711,4.34,4.18
198811,-.86,-1.02
198911,-2.8,-2.96
199011,1.38,1.22
199111,3.15,2.99
199211,3.47,3.31
199311,-.47,-0.63
199411,1.03,0.87
199511,-1.97,-2.13
199611,1.26,1.10
199711,1.52,1.36
199811,1.66,1.50
199911,-1.6,-1.76
200011,2.45,2.29
200111,-1.68,-1.84
200211,-2.57,-2.73
200311,-4.31,-4.47
200411,1.83,1.67
200511,-1.09,-1.25
200611,2.16,2.00
200711,-1.7,-1.86
200811,-.56,-0.72
200911,-2.74,-2.90
201011,-1.37,-1.53
201111,-4.86,-5.02
201211,-5.74,-5.90
201311,-1.98,-2.14
201411,.37,0.21
201511,2.1,1.94
