Missouri, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,.5,0.21
189606,1.69,1.40
189706,-.17,-0.46
189806,2.88,2.59
189906,2.32,2.03
190006,.24,-0.05
190106,-2.37,-2.66
190206,.81,0.52
190306,2.54,2.25
190406,3,2.71
190506,-1.53,-1.82
190606,1.62,1.33
190706,2.09,1.80
190806,2.54,2.25
190906,1.47,1.18
191006,.62,0.33
191106,-2.52,-2.81
191206,.26,-0.03
191306,-1.51,-1.80
191406,-3.42,-3.71
191506,1.65,1.36
191606,.77,0.48
191706,-1.45,-1.74
191806,-2.55,-2.84
191906,.79,0.50
192006,.21,-0.08
192106,.58,0.29
192206,-1.61,-1.90
192306,.57,0.28
192406,1.21,0.92
192506,.25,-0.04
192606,-1.14,-1.43
192706,4.69,4.40
192806,4.09,3.80
192906,4.27,3.98
193006,-2.06,-2.35
193106,-3.19,-3.48
193206,-.03,-0.32
193306,-1.17,-1.46
193406,-4.99,-5.28
193506,3.94,3.65
193606,-3.5,-3.79
193706,-.59,-0.88
193806,1.26,0.97
193906,.91,0.62
194006,-2.35,-2.64
194106,-3.08,-3.37
194206,2.48,2.19
194306,2.83,2.54
194406,-.9,-1.19
194506,4.54,4.25
194606,-.49,-0.78
194706,2.43,2.14
194806,1,0.71
194906,1.31,1.02
195006,2.4,2.11
195106,2.62,2.33
195206,-1.57,-1.86
195306,-3.11,-3.40
195406,-6.71,-7.00
195506,-2.79,-3.08
195606,-3.9,-4.19
195706,2.72,2.43
195806,1.27,0.98
195906,-1.38,-1.67
196006,.45,0.16
196106,1.71,1.42
196206,-1.3,-1.59
196306,-2.48,-2.77
196406,-2.88,-3.17
196506,.34,0.05
196606,-.57,-0.86
196706,1.2,0.91
196806,.71,0.42
196906,1.86,1.57
197006,1.72,1.43
197106,-1.9,-2.19
197206,-2.52,-2.81
197306,4.1,3.81
197406,3.11,2.82
197506,-.44,-0.73
197606,-1.04,-1.33
197706,.31,0.02
197806,1.07,0.78
197906,1.23,0.94
198006,-2.14,-2.43
198106,2.03,1.74
198206,2.18,1.89
198306,-.27,-0.56
198406,-.27,-0.56
198506,3.16,2.87
198606,1.14,0.85
198706,-1.78,-2.07
198806,-2.36,-2.65
198906,.08,-0.21
199006,2.8,2.51
199106,-1.16,-1.45
199206,-1.44,-1.73
199306,3.03,2.74
199406,3.58,3.29
199506,3.44,3.15
199606,.77,0.48
199706,2.15,1.86
199806,1.86,1.57
199906,2.38,2.09
200006,.84,0.55
200106,.7,0.41
200206,-.55,-0.84
200306,.37,0.08
200406,.6,0.31
200506,-1.71,-2.00
200606,-2.89,-3.18
200706,-.19,-0.48
200806,4.1,3.81
200906,3.51,3.22
201006,3.43,3.14
201106,-.25,-0.54
201206,-2.83,-3.12
201306,2.33,2.04
201406,.47,0.18
201506,2.17,1.88
