Indiana, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-2.96,-2.97
189612,2.64,2.63
189712,.51,0.50
189812,1.5,1.49
189912,-3.11,-3.12
190012,-2.08,-2.09
190112,-4.05,-4.06
190212,2.26,2.25
190312,-1.07,-1.08
190412,-2.53,-2.54
190512,2.19,2.18
190612,.98,0.97
190712,3.12,3.11
190812,-5.52,-5.53
190912,2.86,2.85
191012,-.16,-0.17
191112,1.75,1.74
191212,1.39,1.38
191312,-2.53,-2.54
191412,-4.73,-4.74
191512,3.19,3.18
191612,-1.91,-1.92
191712,-1.1,-1.11
191812,1.36,1.35
191912,-.43,-0.44
192012,-1.5,-1.51
192112,2.26,2.25
192212,.1,0.09
192312,1.73,1.72
192412,-1.17,-1.18
192512,-.5,-0.51
192612,3.2,3.19
192712,3.59,3.58
192812,.85,0.84
192912,2.55,2.54
193012,-5.59,-5.60
193112,.93,0.92
193212,2.5,2.49
193312,-3.2,-3.21
193412,-4.65,-4.66
193512,-1.92,-1.93
193612,.51,0.50
193712,1.94,1.93
193812,-1.49,-1.50
193912,-3.43,-3.44
194012,-4.37,-4.38
194112,.78,0.77
194212,.03,0.02
194312,-2.38,-2.39
194412,-4.77,-4.78
194512,0,-0.01
194612,-1.52,-1.53
194712,-1.3,-1.31
194812,.9,0.89
194912,1.33,1.32
195012,4.2,4.19
195112,2.53,2.52
195212,-2.03,-2.04
195312,-5.28,-5.29
195412,.62,0.61
195512,-.71,-0.72
195612,-2.86,-2.87
195712,3.52,3.51
195812,2.56,2.55
195912,.26,0.25
196012,-2.28,-2.29
196112,1.41,1.40
196212,-1.26,-1.27
196312,-4.69,-4.70
196412,-4.65,-4.66
196512,-1.24,-1.25
196612,1.09,1.08
196712,1.87,1.86
196812,.86,0.85
196912,-.18,-0.19
197012,.47,0.46
197112,.48,0.47
197212,3.03,3.02
197312,2.24,2.23
197412,1.68,1.67
197512,1.98,1.97
197612,-1.22,-1.23
197712,2.61,2.60
197812,1.52,1.51
197912,3.75,3.74
198012,-.84,-0.85
198112,1.96,1.95
198212,2.34,2.33
198312,1.62,1.61
198412,1.34,1.33
198512,-.01,-0.02
198612,-.17,-0.18
198712,-1.2,-1.21
198812,.5,0.49
198912,2.24,2.23
199012,5.79,5.78
199112,-1.95,-1.96
199212,3.3,3.29
199312,-.1,-0.11
199412,-1.31,-1.32
199512,-1.75,-1.76
199612,3.2,3.19
199712,-1.14,-1.15
199812,-1.31,-1.32
199912,-4.25,-4.26
200012,2.34,2.33
200112,3.79,3.78
200212,-1.88,-1.89
200312,3.92,3.91
200412,2.99,2.98
200512,-1.18,-1.19
200612,4.35,4.34
200712,.69,0.68
200812,2.39,2.38
200912,.28,0.27
201012,-2.46,-2.47
201112,4.02,4.01
201212,.08,0.07
201312,1.25,1.24
201412,2.92,2.91
201512,3.06,3.05
