Kentucky, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-1.25,-1.14
189603,-1.63,-1.52
189703,1.84,1.95
189803,1.24,1.35
189903,2.78,2.89
190003,-2.83,-2.72
190103,-2.7,-2.59
190203,-2.64,-2.53
190303,-.29,-0.18
190403,-1.86,-1.75
190503,-3.9,-3.79
190603,.74,0.85
190703,1.99,2.10
190803,1.88,1.99
190903,1.28,1.39
191003,-1.65,-1.54
191103,-1.22,-1.11
191203,1.44,1.55
191303,2.91,3.02
191403,-2.89,-2.78
191503,-2.57,-2.46
191603,3.12,3.23
191703,2.1,2.21
191803,-1.63,-1.52
191903,-1.37,-1.26
192003,2.71,2.82
192103,-1,-0.89
192203,1.77,1.88
192303,1.44,1.55
192403,-.68,-0.57
192503,-1.37,-1.26
192603,-1.14,-1.03
192703,3.2,3.31
192803,-1.36,-1.25
192903,1.23,1.34
193003,-.94,-0.83
193103,-6.43,-6.32
193203,1.34,1.45
193303,1.15,1.26
193403,-1.35,-1.24
193503,1.54,1.65
193603,-.82,-0.71
193703,-1.36,-1.25
193803,-1.07,-0.96
193903,1.99,2.10
194003,-2.79,-2.68
194103,-4.65,-4.54
194203,-3.53,-3.42
194303,1.1,1.21
194403,-2.68,-2.57
194503,1.18,1.29
194603,-.46,-0.35
194703,-1.5,-1.39
194803,.83,0.94
194903,1.97,2.08
195003,2.58,2.69
195103,4.03,4.14
195203,3.13,3.24
195303,-2.6,-2.49
195403,-5.22,-5.11
195503,1.95,2.06
195603,1.65,1.76
195703,-.78,-0.67
195803,.73,0.84
195903,-1.3,-1.19
196003,-.82,-0.71
196103,.35,0.46
196203,2.64,2.75
196303,.93,1.04
196403,-1.05,-0.94
196503,.9,1.01
196603,-2.08,-1.97
196703,-.82,-0.71
196803,.98,1.09
196903,-1.48,-1.37
197003,-.74,-0.63
197103,-.77,-0.66
197203,.89,1.00
197303,1.58,1.69
197403,1.84,1.95
197503,4.77,4.88
197603,2.42,2.53
197703,-2.02,-1.91
197803,1.43,1.54
197903,2.59,2.70
198003,-.59,-0.48
198103,-2.94,-2.83
198203,-.4,-0.29
198303,-1.84,-1.73
198403,.53,0.64
198503,-1.13,-1.02
198603,-1.67,-1.56
198703,-1.74,-1.63
198803,-2.86,-2.75
198903,3.42,3.53
199003,2.2,2.31
199103,2.99,3.10
199203,-1.77,-1.66
199303,-.29,-0.18
199403,2.45,2.56
199503,-1.61,-1.50
199603,.35,0.46
199703,4.45,4.56
199803,-2.19,-2.08
199903,-1.67,-1.56
200003,-3.84,-3.73
200103,-2.21,-2.10
200203,1.48,1.59
200303,1.2,1.31
200403,2.13,2.24
200503,-.66,-0.55
200603,-2.94,-2.83
200703,-1.5,-1.39
200803,1.64,1.75
200903,-2.32,-2.21
201003,-1.4,-1.29
201103,.52,0.63
201203,-1.15,-1.04
201303,.83,0.94
201403,2.22,2.33
201503,1.51,1.62
201603,2.15,2.26
