Connecticut, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.35,0.43
189601,-.84,-0.76
189701,-.96,-0.88
189801,2.74,2.82
189901,2.92,3.00
190001,.06,0.14
190101,-2.23,-2.15
190201,3.46,3.54
190301,2.91,2.99
190401,2.04,2.12
190501,-.58,-0.50
190601,-.51,-0.43
190701,-.47,-0.39
190801,2.43,2.51
190901,-.01,0.07
191001,.9,0.98
191101,-2.16,-2.08
191201,-.62,-0.54
191301,.26,0.34
191401,-.54,-0.46
191501,1.13,1.21
191601,-1.15,-1.07
191701,-1.33,-1.25
191801,-1.02,-0.94
191901,.03,0.11
192001,-.47,-0.39
192101,-.24,-0.16
192201,-1.55,-1.47
192301,1.04,1.12
192401,1.07,1.15
192501,-1.65,-1.57
192601,-.61,-0.53
192701,-.32,-0.24
192801,2.74,2.82
192901,.19,0.27
193001,-2.27,-2.19
193101,-3.04,-2.96
193201,-2.18,-2.10
193301,-1.09,-1.01
193401,.04,0.12
193501,1.66,1.74
193601,1.08,1.16
193701,1.65,1.73
193801,.49,0.57
193901,3.08,3.16
194001,-1.66,-1.58
194101,-.93,-0.85
194201,-1.88,-1.80
194301,-.15,-0.07
194401,-2.26,-2.18
194501,-.3,-0.22
194601,-.34,-0.26
194701,-1.92,-1.84
194801,-.28,-0.20
194901,1.3,1.38
195001,-3.3,-3.22
195101,.37,0.45
195201,1.83,1.91
195301,1.69,1.77
195401,-1.26,-1.18
195501,-.96,-0.88
195601,-1.04,-0.96
195701,-.8,-0.72
195801,1.76,1.84
195901,-1.08,-1.00
196001,1.05,1.13
196101,-.85,-0.77
196201,-1.44,-1.36
196301,-1.7,-1.62
196401,-1.63,-1.55
196501,-3.94,-3.86
196601,-4.88,-4.80
196701,-3.48,-3.40
196801,-.43,-0.35
196901,-1.56,-1.48
197001,-1.03,-0.95
197101,-2.28,-2.20
197201,-.76,-0.68
197301,3.93,4.01
197401,2.52,2.60
197501,.86,0.94
197601,3.3,3.38
197701,-1.37,-1.29
197801,3.87,3.95
197901,2.85,2.93
198001,-1.23,-1.15
198101,-3.11,-3.03
198201,.87,0.95
198301,.36,0.44
198401,1.43,1.51
198501,-2.57,-2.49
198601,-.23,-0.15
198701,1.86,1.94
198801,-1.56,-1.48
198901,-1.31,-1.23
199001,2.99,3.07
199101,-.28,-0.20
199201,-.52,-0.44
199301,1.88,1.96
199401,1.47,1.55
199501,-.16,-0.08
199601,1.88,1.96
199701,3.4,3.48
199801,.54,0.62
199901,1.18,1.26
200001,.68,0.76
200101,-.9,-0.82
200201,-3.63,-3.55
200301,-.35,-0.27
200401,-.6,-0.52
200501,.52,0.60
200601,3.51,3.59
200701,2.18,2.26
200801,-2.1,-2.02
200901,-.23,-0.15
201001,1.63,1.71
201101,.08,0.16
201201,-.41,-0.33
201301,-2.09,-2.01
201401,-1.58,-1.50
201501,-.98,-0.90
201601,-3.73,-3.65
