Mississippi, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,.68,0.81
189606,-1.26,-1.13
189706,-3.38,-3.25
189806,-3.59,-3.46
189906,-2.43,-2.30
190006,3.76,3.89
190106,-1.79,-1.66
190206,-2.2,-2.07
190306,-1.02,-0.89
190406,-3.39,-3.26
190506,1.08,1.21
190606,-1.5,-1.37
190706,-.38,-0.25
190806,.74,0.87
190906,2.91,3.04
191006,1.09,1.22
191106,-.9,-0.77
191206,2.96,3.09
191306,-.69,-0.56
191406,-3.08,-2.95
191506,-1.14,-1.01
191606,.71,0.84
191706,-1.44,-1.31
191806,-3.91,-3.78
191906,2.04,2.17
192006,2.44,2.57
192106,-1.37,-1.24
192206,1.19,1.32
192306,2.93,3.06
192406,-.52,-0.39
192506,-4.93,-4.80
192606,-.62,-0.49
192706,.59,0.72
192806,2.7,2.83
192906,-.33,-0.20
193006,-2.15,-2.02
193106,-2.88,-2.75
193206,-1.08,-0.95
193306,-1,-0.87
193406,.41,0.54
193506,1.07,1.20
193606,-3.08,-2.95
193706,-2.02,-1.89
193806,-1.01,-0.88
193906,1.47,1.60
194006,.72,0.85
194106,-2.55,-2.42
194206,-1.77,-1.64
194306,-2.58,-2.45
194406,-.8,-0.67
194506,.72,0.85
194606,2.5,2.63
194706,2.41,2.54
194806,-1.16,-1.03
194906,2.56,2.69
195006,1.34,1.47
195106,-1.03,-0.90
195206,-2.83,-2.70
195306,-.65,-0.52
195406,-2.85,-2.72
195506,-2.33,-2.20
195606,-1.44,-1.31
195706,1.15,1.28
195806,2.35,2.48
195906,.34,0.47
196006,-1.13,-1.00
196106,2.32,2.45
196206,-.77,-0.64
196306,-3.85,-3.72
196406,.55,0.68
196506,-2.19,-2.06
196606,-1.43,-1.30
196706,.47,0.60
196806,-.62,-0.49
196906,-.94,-0.81
197006,.24,0.37
197106,.7,0.83
197206,.14,0.27
197306,2.94,3.07
197406,3.47,3.60
197506,4.05,4.18
197606,-.25,-0.12
197706,-1.59,-1.46
197806,1.6,1.73
197906,2.52,2.65
198006,-.09,0.04
198106,-2.51,-2.38
198206,.16,0.29
198306,5.9,6.03
198406,1.79,1.92
198506,-2.17,-2.04
198606,-2.42,-2.29
198706,-.34,-0.21
198806,-2.86,-2.73
198906,2.8,2.93
199006,-.04,0.09
199106,4.22,4.35
199206,.88,1.01
199306,1.48,1.61
199406,1.25,1.38
199506,-.19,-0.06
199606,.11,0.24
199706,2.97,3.10
199806,-1.65,-1.52
199906,-1.16,-1.03
200006,-3.18,-3.05
200106,1.17,1.30
200206,.95,1.08
200306,3.22,3.35
200406,3.32,3.45
200506,-.68,-0.55
200606,-2.42,-2.29
200706,-3.74,-3.61
200806,-1.97,-1.84
200906,.87,1.00
201006,-1.23,-1.10
201106,-3.11,-2.98
201206,-2.26,-2.13
201306,2.5,2.63
201406,2.47,2.60
201506,.44,0.57
