Pennsylvania, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.71,-1.76
189605,-3.4,-3.45
189705,.59,0.54
189805,.3,0.25
189905,-1.05,-1.10
190005,-1.5,-1.55
190105,1.92,1.87
190205,1.12,1.07
190305,1.48,1.43
190405,2.14,2.09
190505,-1.39,-1.44
190605,.66,0.61
190705,.81,0.76
190805,3.77,3.72
190905,-1.49,-1.54
191005,-2.41,-2.46
191105,-2.77,-2.82
191205,1.72,1.67
191305,-.08,-0.13
191405,-.28,-0.33
191505,.08,0.03
191605,1.29,1.24
191705,.16,0.11
191805,.5,0.45
191905,.74,0.69
192005,-.68,-0.73
192105,-1.05,-1.10
192205,-1,-1.05
192305,-2.42,-2.47
192405,2.23,2.18
192505,-2.19,-2.24
192605,-1.84,-1.89
192705,1.9,1.85
192805,2.45,2.40
192905,1.55,1.50
193005,-1.09,-1.14
193105,-4.31,-4.36
193205,-2.79,-2.84
193305,1.67,1.62
193405,-2.08,-2.13
193505,-.97,-1.02
193605,-1,-1.05
193705,1.52,1.47
193805,-.81,-0.86
193905,-1.2,-1.25
194005,2.07,2.02
194105,-2.95,-3.00
194205,.5,0.45
194305,2.47,2.42
194405,-.88,-0.93
194505,.73,0.68
194605,1.26,1.21
194705,1.11,1.06
194805,1.31,1.26
194905,-.73,-0.78
195005,1.2,1.15
195105,2.31,2.26
195205,3.12,3.07
195305,2.03,1.98
195405,-2.43,-2.48
195505,-1.42,-1.47
195605,1.77,1.72
195705,-.77,-0.82
195805,.75,0.70
195905,-1.26,-1.31
196005,1.04,0.99
196105,1.35,1.30
196205,-1.6,-1.65
196305,-2.51,-2.56
196405,-2.08,-2.13
196505,-3.58,-3.63
196605,-2.63,-2.68
196705,1.13,1.08
196805,-.71,-0.76
196905,-3.06,-3.11
197005,-.65,-0.70
197105,-.96,-1.01
197205,1.33,1.28
197305,2.72,2.67
197405,1.46,1.41
197505,1.74,1.69
197605,1.03,0.98
197705,-1.92,-1.97
197805,2.35,2.30
197905,2.2,2.15
198005,-.44,-0.49
198105,.29,0.24
198205,-.77,-0.82
198305,2.07,2.02
198405,2.71,2.66
198505,.06,0.01
198605,-1.34,-1.39
198705,-1.45,-1.50
198805,-1.05,-1.10
198905,1.62,1.57
199005,.92,0.87
199105,-1.8,-1.85
199205,-3.7,-3.75
199305,-1.03,-1.08
199405,2.47,2.42
199505,-1.54,-1.59
199605,2.32,2.27
199705,2.57,2.52
199805,2,1.95
199905,-2.46,-2.51
200005,.4,0.35
200105,-1.64,-1.69
200205,-1.76,-1.81
200305,.46,0.41
200405,3.17,3.12
200505,-.67,-0.72
200605,-1.66,-1.71
200705,-1.01,-1.06
200805,-.2,-0.25
200905,.32,0.27
201005,-1.22,-1.27
201105,3.87,3.82
201205,-1.75,-1.80
201305,-1.44,-1.49
201405,1.21,1.16
201505,-1.66,-1.71
