Kansas, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,.51,0.14
189606,1.26,0.89
189706,-.5,-0.87
189806,1.65,1.28
189906,1.15,0.78
190006,.48,0.11
190106,-1.36,-1.73
190206,.99,0.62
190306,3.72,3.35
190406,3.02,2.65
190506,2.11,1.74
190606,1.06,0.69
190706,1.7,1.33
190806,2.41,2.04
190906,2.29,1.92
191006,-1.36,-1.73
191106,-3.9,-4.27
191206,.88,0.51
191306,-2.17,-2.54
191406,-2,-2.37
191506,3.68,3.31
191606,4,3.63
191706,-2.37,-2.74
191806,-3.48,-3.85
191906,2.38,2.01
192006,-1.22,-1.59
192106,-.58,-0.95
192206,1.14,0.77
192306,1.74,1.37
192406,-.72,-1.09
192506,-2.26,-2.63
192606,-2.85,-3.22
192706,1.63,1.26
192806,3.3,2.93
192906,3.82,3.45
193006,-.54,-0.91
193106,-.66,-1.03
193206,.58,0.21
193306,-3.74,-4.11
193406,-5.89,-6.26
193506,-2.67,-3.04
193606,-3.9,-4.27
193706,-4.48,-4.85
193806,-2.12,-2.49
193906,-3.43,-3.80
194006,-4.28,-4.65
194106,1.52,1.15
194206,3.98,3.61
194306,2.92,2.55
194406,2.79,2.42
194506,4.08,3.71
194606,-1.64,-2.01
194706,3.08,2.71
194806,.87,0.50
194906,3.39,3.02
195006,-2.04,-2.41
195106,4.85,4.48
195206,-1.67,-2.04
195306,-4.49,-4.86
195406,-4.39,-4.76
195506,-4.37,-4.74
195606,-7.21,-7.58
195706,3.15,2.78
195806,2.54,2.17
195906,1.28,0.91
196006,2.71,2.34
196106,2.35,1.98
196206,2.81,2.44
196306,-2.87,-3.24
196406,-3.79,-4.16
196506,1.46,1.09
196606,-1.93,-2.30
196706,1.27,0.90
196806,-1.17,-1.54
196906,2.59,2.22
197006,-.04,-0.41
197106,-.59,-0.96
197206,-1.02,-1.39
197306,3.58,3.21
197406,3.25,2.88
197506,2.75,2.38
197606,-.46,-0.83
197706,.53,0.16
197806,-.13,-0.50
197906,1.12,0.75
198006,-1.04,-1.41
198106,.54,0.17
198206,2.33,1.96
198306,3.09,2.72
198406,.24,-0.13
198506,1.98,1.61
198606,2.07,1.70
198706,4.44,4.07
198806,-1.28,-1.65
198906,.59,0.22
199006,-.31,-0.68
199106,-2.86,-3.23
199206,.8,0.43
199306,5.45,5.08
199406,2.96,2.59
199506,4.07,3.70
199606,0,-0.37
199706,2.2,1.83
199806,2.02,1.65
199906,4.6,4.23
200006,-.6,-0.97
200106,1.57,1.20
200206,-2.64,-3.01
200306,-.86,-1.23
200406,.5,0.13
200506,2.06,1.69
200606,-2.69,-3.06
200706,2.81,2.44
200806,2.74,2.37
200906,3.5,3.13
201006,3.64,3.27
201106,-1.95,-2.32
201206,-2.8,-3.17
201306,-2.94,-3.31
201406,1,0.63
201506,1.54,1.17
