Arkansas, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.72,-0.46
189603,-.39,-0.13
189703,-1.3,-1.04
189803,.73,0.99
189903,-.97,-0.71
190003,-2.47,-2.21
190103,-1.17,-0.91
190203,-2.32,-2.06
190303,2.34,2.60
190403,-1.61,-1.35
190503,.08,0.34
190603,2.84,3.10
190703,2.28,2.54
190803,-.9,-0.64
190903,.07,0.33
191003,-2.85,-2.59
191103,-2.44,-2.18
191203,1.47,1.73
191303,.92,1.18
191403,-.85,-0.59
191503,-.13,0.13
191603,-1.44,-1.18
191703,.07,0.33
191803,-3.41,-3.15
191903,-.26,0.00
192003,1.34,1.60
192103,.81,1.07
192203,1.16,1.42
192303,.61,0.87
192403,-.89,-0.63
192503,-3.56,-3.30
192603,-1.71,-1.45
192703,1.48,1.74
192803,-1.86,-1.60
192903,.08,0.34
193003,-.91,-0.65
193103,-2.2,-1.94
193203,-.03,0.23
193303,-.14,0.12
193403,-.7,-0.44
193503,.89,1.15
193603,-2.74,-2.48
193703,-.92,-0.66
193803,.02,0.28
193903,1.35,1.61
194003,-3.33,-3.07
194103,-1.19,-0.93
194203,-1.03,-0.77
194303,-1.52,-1.26
194403,1.35,1.61
194503,3.08,3.34
194603,3.87,4.13
194703,-1.94,-1.68
194803,1.02,1.28
194903,1.72,1.98
195003,3.1,3.36
195103,-.85,-0.59
195203,1.26,1.52
195303,.59,0.85
195403,-3.94,-3.68
195503,-3.51,-3.25
195603,-2.28,-2.02
195703,.47,0.73
195803,2.86,3.12
195903,-.94,-0.68
196003,-.39,-0.13
196103,1.11,1.37
196203,-.11,0.15
196303,-2.3,-2.04
196403,-2.93,-2.67
196503,-1.24,-0.98
196603,-2.06,-1.80
196703,-3.05,-2.79
196803,1.38,1.64
196903,-.27,-0.01
197003,.33,0.59
197103,-1.27,-1.01
197203,-2.05,-1.79
197303,3.42,3.68
197403,2.59,2.85
197503,4.61,4.87
197603,-1.14,-0.88
197703,-.79,-0.53
197803,-1.17,-0.91
197903,1.55,1.81
198003,-.43,-0.17
198103,-2.82,-2.56
198203,-1.7,-1.44
198303,-1.21,-0.95
198403,.6,0.86
198503,.13,0.39
198603,-1.96,-1.70
198703,-.38,-0.12
198803,-.4,-0.14
198903,2.55,2.81
199003,2.15,2.41
199103,1.2,1.46
199203,-.57,-0.31
199303,-.66,-0.40
199403,1.49,1.75
199503,-1.06,-0.80
199603,-2.45,-2.19
199703,2.53,2.79
199803,1.79,2.05
199903,-1.38,-1.12
200003,-3.22,-2.96
200103,-.24,0.02
200203,2.57,2.83
200303,-.91,-0.65
200403,-.81,-0.55
200503,-.79,-0.53
200603,-3.63,-3.37
200703,-1.67,-1.41
200803,1.4,1.66
200903,1.53,1.79
201003,-.65,-0.39
201103,-3.68,-3.42
201203,-.91,-0.65
201303,.18,0.44
201403,.06,0.32
201503,.98,1.24
