Wyoming, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,2.1,1.59
189601,2.92,2.41
189701,2.69,2.18
189801,-1.09,-1.60
189901,.83,0.32
190001,-.88,-1.39
190101,-3.52,-4.03
190201,-3.12,-3.63
190301,-3.29,-3.80
190401,-.62,-1.13
190501,-2.18,-2.69
190601,1.11,0.60
190701,2.98,2.47
190801,-1.17,-1.68
190901,4.34,3.83
191001,3.75,3.24
191101,-3.28,-3.79
191201,.77,0.26
191301,4.25,3.74
191401,2.37,1.86
191501,-3.14,-3.65
191601,3.25,2.74
191701,1.25,0.74
191801,-1.45,-1.96
191901,-1.53,-2.04
192001,1.96,1.45
192101,.43,-0.08
192201,1.18,0.67
192301,.8,0.29
192401,5.15,4.64
192501,2.33,1.82
192601,3.46,2.95
192701,3.4,2.89
192801,5.98,5.47
192901,4.29,3.78
193001,-.24,-0.75
193101,-1.17,-1.68
193201,-2.43,-2.94
193301,-1.43,-1.94
193401,-3.59,-4.10
193501,-6.71,-7.22
193601,-3.73,-4.24
193701,-2.57,-3.08
193801,1.48,0.97
193901,-.2,-0.71
194001,-3.88,-4.39
194101,-4.05,-4.56
194201,3.45,2.94
194301,4.81,4.30
194401,.88,0.37
194501,1.53,1.02
194601,4.53,4.02
194701,4.18,3.67
194801,4.56,4.05
194901,2.62,2.11
195001,2.12,1.61
195101,2.03,1.52
195201,2.82,2.31
195301,-1.9,-2.41
195401,-2.51,-3.02
195501,-5.47,-5.98
195601,-1.91,-2.42
195701,-2.76,-3.27
195801,-.52,-1.03
195901,.22,-0.29
196001,-1.57,-2.08
196101,-5.01,-5.52
196201,2.24,1.73
196301,-1.36,-1.87
196401,-1.63,-2.14
196501,1.64,1.13
196601,-1.29,-1.80
196701,-.2,-0.71
196801,2.46,1.95
196901,3.43,2.92
197001,.66,0.15
197101,2.23,1.72
197201,3.94,3.43
197301,2.94,2.43
197401,3.87,3.36
197501,.17,-0.34
197601,1.58,1.07
197701,-1.97,-2.48
197801,.6,0.09
197901,1.94,1.43
198001,.69,0.18
198101,-1.58,-2.09
198201,.63,0.12
198301,4.36,3.85
198401,5.05,4.54
198501,-.45,-0.96
198601,.87,0.36
198701,-.57,-1.08
198801,-1.35,-1.86
198901,-4.93,-5.44
199001,-3.15,-3.66
199101,-2.53,-3.04
199201,-1.01,-1.52
199301,.16,-0.35
199401,3.4,2.89
199501,1.73,1.22
199601,4.83,4.32
199701,3.72,3.21
199801,3.46,2.95
199901,4.66,4.15
200001,-2.05,-2.56
200101,-4.31,-4.82
200201,-6.5,-7.01
200301,-6.05,-6.56
200401,-3.95,-4.46
200501,-3.31,-3.82
200601,-1.53,-2.04
200701,-3.73,-4.24
200801,-3.8,-4.31
200901,-.29,-0.80
201001,-.74,-1.25
201101,1.72,1.21
201201,.31,-0.20
201301,-5.79,-6.30
201401,1.79,1.28
201501,-.24,-0.75
201601,-.95,-1.46
