New Hampshire, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-1.16,-1.01
189608,-2.45,-2.30
189708,3.02,3.17
189808,1.36,1.51
189908,-2.29,-2.14
190008,-1.45,-1.30
190108,-.26,-0.11
190208,2.85,3.00
190308,1.72,1.87
190408,.34,0.49
190508,1.32,1.47
190608,-.38,-0.23
190708,-1.8,-1.65
190808,-.94,-0.79
190908,-2.1,-1.95
191008,-2.35,-2.20
191108,.37,0.52
191208,-.85,-0.70
191308,-1.88,-1.73
191408,-.8,-0.65
191508,3.95,4.10
191608,1.43,1.58
191708,.54,0.69
191808,-1.96,-1.81
191908,-1.54,-1.39
192008,1.58,1.73
192108,-1.76,-1.61
192208,2.79,2.94
192308,-2.06,-1.91
192408,.12,0.27
192508,-.55,-0.40
192608,-1.33,-1.18
192708,1.37,1.52
192808,2.72,2.87
192908,-1.05,-0.90
193008,-1.29,-1.14
193108,-1.02,-0.87
193208,.38,0.53
193308,.57,0.72
193408,-.72,-0.57
193508,-.65,-0.50
193608,-.93,-0.78
193708,1.42,1.57
193808,1.7,1.85
193908,-1.24,-1.09
194008,-.55,-0.40
194108,-2.58,-2.43
194208,-2.12,-1.97
194308,2,2.15
194408,-.93,-0.78
194508,1.58,1.73
194608,1.39,1.54
194708,-.91,-0.76
194808,-1.83,-1.68
194908,-3.53,-3.38
195008,-2.7,-2.55
195108,1.76,1.91
195208,-.92,-0.77
195308,-1.35,-1.20
195408,2.84,2.99
195508,1.33,1.48
195608,-.77,-0.62
195708,-2.83,-2.68
195808,-.47,-0.32
195908,-1.57,-1.42
196008,1.25,1.40
196108,-.82,-0.67
196208,.79,0.94
196308,-1.99,-1.84
196408,-2.56,-2.41
196508,-4.5,-4.35
196608,-2.7,-2.55
196708,-.77,-0.62
196808,-1.32,-1.17
196908,1.76,1.91
197008,-1.2,-1.05
197108,-.7,-0.55
197208,1.79,1.94
197308,2.7,2.85
197408,-.79,-0.64
197508,.79,0.94
197608,2.32,2.47
197708,.07,0.22
197808,-1.33,-1.18
197908,.36,0.51
198008,-2.52,-2.37
198108,1.61,1.76
198208,-.43,-0.28
198308,-1.04,-0.89
198408,-.86,-0.71
198508,.39,0.54
198608,1.84,1.99
198708,.05,0.20
198808,1.58,1.73
198908,1.61,1.76
199008,2.95,3.10
199108,1.89,2.04
199208,.54,0.69
199308,-1.75,-1.60
199408,.39,0.54
199508,-2.71,-2.56
199608,2.9,3.05
199708,2.45,2.60
199808,-.31,-0.16
199908,-2.33,-2.18
200008,-.06,0.09
200108,-2.4,-2.25
200208,-2.19,-2.04
200308,.85,1.00
200408,1.83,1.98
200508,2.11,2.26
200608,5.55,5.70
200708,2.84,2.99
200808,4.92,5.07
200908,5.22,5.37
201008,1.36,1.51
201108,3.75,3.90
201208,.71,0.86
201308,2.05,2.20
201408,2.27,2.42
201508,.96,1.11
