Louisiana, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,.04,0.19
189605,-1.42,-1.27
189705,-2.55,-2.40
189805,-2.83,-2.68
189905,-2.36,-2.21
190005,1.59,1.74
190105,-1.69,-1.54
190205,-2.89,-2.74
190305,-1.48,-1.33
190405,-3.74,-3.59
190505,2,2.15
190605,-1.45,-1.30
190705,3.3,3.45
190805,.54,0.69
190905,-1.46,-1.31
191005,.19,0.34
191105,-2.9,-2.75
191205,2.52,2.67
191305,1.38,1.53
191405,-1.08,-0.93
191505,-1.13,-0.98
191605,-1.77,-1.62
191705,-2.21,-2.06
191805,-4.77,-4.62
191905,2.37,2.52
192005,1.3,1.45
192105,-1.16,-1.01
192205,1.6,1.75
192305,2.06,2.21
192405,-.34,-0.19
192505,-5.76,-5.61
192605,2.29,2.44
192705,.6,0.75
192805,.45,0.60
192905,-.02,0.13
193005,-1.25,-1.10
193105,-1.47,-1.32
193205,-.69,-0.54
193305,-.25,-0.10
193405,-1.17,-1.02
193505,1.13,1.28
193605,-1.82,-1.67
193705,-2.48,-2.33
193805,-.76,-0.61
193905,-1.3,-1.15
194005,.34,0.49
194105,2.5,2.65
194205,1.28,1.43
194305,-2.1,-1.95
194405,1.85,2.00
194505,.7,0.85
194605,3.51,3.66
194705,.05,0.20
194805,-.86,-0.71
194905,-.92,-0.77
195005,.94,1.09
195105,-1.83,-1.68
195205,-1.32,-1.17
195305,2.94,3.09
195405,-1.93,-1.78
195505,.36,0.51
195605,-1.48,-1.33
195705,.71,0.86
195805,1.77,1.92
195905,.44,0.59
196005,-1.44,-1.29
196105,1.06,1.21
196205,-1.84,-1.69
196305,-4.89,-4.74
196405,-2.05,-1.90
196505,-2.49,-2.34
196605,-.17,-0.02
196705,.75,0.90
196805,.72,0.87
196905,1.16,1.31
197005,-2.4,-2.25
197105,-1.86,-1.71
197205,-.79,-0.64
197305,2.87,3.02
197405,2.88,3.03
197505,3.29,3.44
197605,.17,0.32
197705,-.85,-0.70
197805,.2,0.35
197905,3.01,3.16
198005,4.4,4.55
198105,-3.33,-3.18
198205,-2.53,-2.38
198305,4.49,4.64
198405,1.42,1.57
198505,-1.78,-1.63
198605,-2.5,-2.35
198705,-1.02,-0.87
198805,-.96,-0.81
198905,.97,1.12
199005,-.12,0.03
199105,4.48,4.63
199205,2.13,2.28
199305,2.9,3.05
199405,.48,0.63
199505,2.01,2.16
199605,-2.44,-2.29
199705,2.48,2.63
199805,-1.63,-1.48
199905,-1.65,-1.50
200005,-3.92,-3.77
200105,-1.86,-1.71
200205,-1.52,-1.37
200305,-1.73,-1.58
200405,1.34,1.49
200505,-1.25,-1.10
200605,-3.68,-3.53
200705,-1.76,-1.61
200805,-.98,-0.83
200905,-1.01,-0.86
201005,-2.24,-2.09
201105,-4.99,-4.84
201205,-2.74,-2.59
201305,-.02,0.13
201405,.93,1.08
201505,1.62,1.77
