Colorado, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,2.25,1.89
189605,-1,-1.36
189705,1.13,0.77
189805,2.44,2.08
189905,-1.47,-1.83
190005,-.52,-0.88
190105,-3.03,-3.39
190205,-4.91,-5.27
190305,.63,0.27
190405,.09,-0.27
190505,3.05,2.69
190605,2.32,1.96
190705,3.2,2.84
190805,.3,-0.06
190905,3.52,3.16
191005,-1.48,-1.84
191105,-2.66,-3.02
191205,1.78,1.42
191305,-1.25,-1.61
191405,3.01,2.65
191505,3.75,3.39
191605,3.53,3.17
191705,4.78,4.42
191805,-.7,-1.06
191905,.96,0.60
192005,3.74,3.38
192105,2.29,1.93
192205,-.3,-0.66
192305,1,0.64
192405,5.34,4.98
192505,-3.86,-4.22
192605,1.77,1.41
192705,-1.05,-1.41
192805,2.03,1.67
192905,2.74,2.38
193005,1.23,0.87
193105,-.78,-1.14
193205,-.82,-1.18
193305,-1.89,-2.25
193405,-4.45,-4.81
193505,-2.99,-3.35
193605,-3.32,-3.68
193705,-2.85,-3.21
193805,1.54,1.18
193905,-1.38,-1.74
194005,-3.62,-3.98
194105,2.4,2.04
194205,6.47,6.11
194305,.58,0.22
194405,2.51,2.15
194505,.72,0.36
194605,-1.76,-2.12
194705,2.48,2.12
194805,3.49,3.13
194905,2.18,1.82
195005,-2.02,-2.38
195105,.08,-0.28
195205,.02,-0.34
195305,-1.64,-2.00
195405,-4.22,-4.58
195505,-4.38,-4.74
195605,-2.99,-3.35
195705,4.28,3.92
195805,-.11,-0.47
195905,-1.2,-1.56
196005,-.55,-0.91
196105,.21,-0.15
196205,-.65,-1.01
196305,-4.44,-4.80
196405,-4.57,-4.93
196505,1.03,0.67
196605,-1.48,-1.84
196705,.49,0.13
196805,-.08,-0.44
196905,.16,-0.20
197005,3.14,2.78
197105,2.09,1.73
197205,-2.73,-3.09
197305,3.77,3.41
197405,-1.37,-1.73
197505,.89,0.53
197605,-.78,-1.14
197705,-4,-4.36
197805,-2.06,-2.42
197905,3.11,2.75
198005,4.95,4.59
198105,-4.17,-4.53
198205,.55,0.19
198305,3.97,3.61
198405,4.21,3.85
198505,4.24,3.88
198605,2.26,1.90
198705,3.83,3.47
198805,1.71,1.35
198905,-2.45,-2.81
199005,-3.02,-3.38
199105,-2.11,-2.47
199205,-1.04,-1.40
199305,2.84,2.48
199405,-.48,-0.84
199505,3.83,3.47
199605,.86,0.50
199705,1.92,1.56
199805,3.12,2.76
199905,2.39,2.03
200005,-2.22,-2.58
200105,-2.29,-2.65
200205,-6.79,-7.15
200305,-5.01,-5.37
200405,-4.48,-4.84
200505,1.24,0.88
200605,-3.2,-3.56
200705,-.22,-0.58
200805,-.36,-0.72
200905,.18,-0.18
201005,1.23,0.87
201105,.8,0.44
201205,-4.15,-4.51
201305,-6.03,-6.39
201405,.47,0.11
201505,2.56,2.20
