Florida, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,.9,0.77
189602,.58,0.45
189702,1.12,0.99
189802,-1.09,-1.22
189902,4.69,4.56
190002,.94,0.81
190102,1.27,1.14
190202,.96,0.83
190302,3,2.87
190402,-.19,-0.32
190502,.57,0.44
190602,1.81,1.68
190702,-2.94,-3.07
190802,-.13,-0.26
190902,-2.53,-2.66
191002,-1.89,-2.02
191102,-1.87,-2.00
191202,2.32,2.19
191302,2.21,2.08
191402,1.34,1.21
191502,2.41,2.28
191602,-1.38,-1.51
191702,-.79,-0.92
191802,-1.84,-1.97
191902,1.8,1.67
192002,.7,0.57
192102,-.98,-1.11
192202,-.41,-0.54
192302,-1.15,-1.28
192402,.69,0.56
192502,-.5,-0.63
192602,2.12,1.99
192702,-1.47,-1.60
192802,-4.41,-4.54
192902,1.38,1.25
193002,1.86,1.73
193102,2.25,2.12
193202,-6.07,-6.20
193302,.73,0.60
193402,.25,0.12
193502,-2.28,-2.41
193602,2.8,2.67
193702,.62,0.49
193802,-1.2,-1.33
193902,-2.68,-2.81
194002,.79,0.66
194102,1.39,1.26
194202,2.53,2.40
194302,-2.9,-3.03
194402,-1.19,-1.32
194502,-.9,-1.03
194602,-.23,-0.36
194702,.26,0.13
194802,4.09,3.96
194902,-1.36,-1.49
195002,-2.38,-2.51
195102,-1.01,-1.14
195202,.91,0.78
195302,-.34,-0.47
195402,-1.1,-1.23
195502,-1.47,-1.60
195602,-3.54,-3.67
195702,-3.82,-3.95
195802,3.4,3.27
195902,1.19,1.06
196002,3.69,3.56
196102,-.25,-0.38
196202,-3.52,-3.65
196302,1.33,1.20
196402,3.04,2.91
196502,2.5,2.37
196602,2.89,2.76
196702,-.05,-0.18
196802,-1.48,-1.61
196902,1.43,1.30
197002,3.73,3.60
197102,-1.97,-2.10
197202,.4,0.27
197302,1.44,1.31
197402,-1.73,-1.86
197502,-1.24,-1.37
197602,-.9,-1.03
197702,-.13,-0.26
197802,2.17,2.04
197902,1.45,1.32
198002,.93,0.80
198102,-1.77,-1.90
198202,.02,-0.11
198302,3.18,3.05
198402,2.67,2.54
198502,-2.76,-2.89
198602,1.51,1.38
198702,1.08,0.95
198802,1.2,1.07
198902,-2.1,-2.23
199002,-.38,-0.51
199102,.71,0.58
199202,.49,0.36
199302,1.61,1.48
199402,-.45,-0.58
199502,2.24,2.11
199602,1.88,1.75
199702,-.55,-0.68
199802,4.98,4.85
199902,-2.95,-3.08
200002,-2.19,-2.32
200102,-5.22,-5.35
200202,-1.83,-1.96
200302,2.13,2.00
200402,.73,0.60
200502,-1.09,-1.22
200602,-.14,-0.27
200702,-4.45,-4.58
200802,-4.47,-4.60
200902,-2.79,-2.92
201002,1.82,1.69
201102,-3.38,-3.51
201202,-4.96,-5.09
201302,-1.19,-1.32
201402,1,0.87
201502,1.02,0.89
201602,1.11,0.98
