Missouri, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.77,-0.93
189603,1.58,1.42
189703,3.97,3.81
189803,2.39,2.23
189903,3.1,2.94
190003,-1.14,-1.30
190103,-.19,-0.35
190203,-5.06,-5.22
190303,2.84,2.68
190403,1.98,1.82
190503,-1.44,-1.60
190603,3.77,3.61
190703,1.41,1.25
190803,1.22,1.06
190903,.65,0.49
191003,-1.52,-1.68
191103,-.73,-0.89
191203,1.37,1.21
191303,1.39,1.23
191403,-1.48,-1.64
191503,-.47,-0.63
191603,-.7,-0.86
191703,-3.2,-3.36
191803,-3.71,-3.87
191903,-1.87,-2.03
192003,.76,0.60
192103,.37,0.21
192203,1.83,1.67
192303,.45,0.29
192403,-.11,-0.27
192503,-1.04,-1.20
192603,-.03,-0.19
192703,2.96,2.80
192803,2.66,2.50
192903,2.89,2.73
193003,-1,-1.16
193103,-3.28,-3.44
193203,-.76,-0.92
193303,.6,0.44
193403,-3.7,-3.86
193503,1.48,1.32
193603,-1.67,-1.83
193703,-.66,-0.82
193803,.88,0.72
193903,.48,0.32
194003,-2.83,-2.99
194103,-2.97,-3.13
194203,1.75,1.59
194303,1.13,0.97
194403,.66,0.50
194503,2.05,1.89
194603,-.58,-0.74
194703,.12,-0.04
194803,.79,0.63
194903,1.92,1.76
195003,2.77,2.61
195103,2.08,1.92
195203,.38,0.22
195303,-2.3,-2.46
195403,-7.87,-8.03
195503,-3.37,-3.53
195603,-4.38,-4.54
195703,.19,0.03
195803,1.75,1.59
195903,-.47,-0.63
196003,.65,0.49
196103,1,0.84
196203,3.12,2.96
196303,-2.02,-2.18
196403,-4.22,-4.38
196503,.39,0.23
196603,-.93,-1.09
196703,-2.19,-2.35
196803,1.3,1.14
196903,2.01,1.85
197003,.86,0.70
197103,-.78,-0.94
197203,-2.13,-2.29
197303,3.67,3.51
197403,3.79,3.63
197503,3.47,3.31
197603,-.93,-1.09
197703,-2.53,-2.69
197803,1.66,1.50
197903,1.25,1.09
198003,-.42,-0.58
198103,-5.08,-5.24
198203,2.25,2.09
198303,2.84,2.68
198403,1.97,1.81
198503,3.71,3.55
198603,2.32,2.16
198703,-.19,-0.35
198803,1.39,1.23
198903,-.04,-0.20
199003,1.63,1.47
199103,-.95,-1.11
199203,-.57,-0.73
199303,2.68,2.52
199403,3.88,3.72
199503,1.22,1.06
199603,-.01,-0.17
199703,2.39,2.23
199803,2.2,2.04
199903,2.26,2.10
200003,-3.17,-3.33
200103,-.5,-0.66
200203,1.22,1.06
200303,-2.47,-2.63
200403,1.1,0.94
200503,-.65,-0.81
200603,-2.58,-2.74
200703,-.61,-0.77
200803,2.82,2.66
200903,3.14,2.98
201003,4.22,4.06
201103,2.41,2.25
201203,-.89,-1.05
201303,1.06,0.90
201403,-1.04,-1.20
201503,.97,0.81
