Missouri, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.56,-0.82
189602,2.05,1.79
189702,2.72,2.46
189802,.67,0.41
189902,3.39,3.13
190002,-.59,-0.85
190102,-.5,-0.76
190202,-5.57,-5.83
190302,3.06,2.80
190402,1.7,1.44
190502,-1.31,-1.57
190602,3.54,3.28
190702,2.2,1.94
190802,1.69,1.43
190902,.79,0.53
191002,.8,0.54
191102,-.04,-0.30
191202,.57,0.31
191302,.8,0.54
191402,-1.45,-1.71
191502,.9,0.64
191602,-.38,-0.64
191702,-3.13,-3.39
191802,-2.79,-3.05
191902,-1.61,-1.87
192002,-.9,-1.16
192102,-1.04,-1.30
192202,.66,0.40
192302,-.12,-0.38
192402,-.01,-0.27
192502,-.42,-0.68
192602,-.02,-0.28
192702,2.19,1.93
192802,3.81,3.55
192902,3.4,3.14
193002,-.31,-0.57
193102,-3.78,-4.04
193202,-.43,-0.69
193302,.61,0.35
193402,-3.66,-3.92
193502,.97,0.71
193602,-.7,-0.96
193702,-.18,-0.44
193802,.72,0.46
193902,.73,0.47
194002,-2.87,-3.13
194102,-2.35,-2.61
194202,2.56,2.30
194302,1.41,1.15
194402,.36,0.10
194502,.87,0.61
194602,2.94,2.68
194702,-.86,-1.12
194802,.13,-0.13
194902,1.99,1.73
195002,3.49,3.23
195102,2.12,1.86
195202,.02,-0.24
195302,-3,-3.26
195402,-7.63,-7.89
195502,-3.58,-3.84
195602,-3.74,-4.00
195702,.3,0.04
195802,1.33,1.07
195902,-.32,-0.58
196002,.88,0.62
196102,.14,-0.12
196202,3.39,3.13
196302,-2.5,-2.76
196402,-5.13,-5.39
196502,.39,0.13
196602,.62,0.36
196702,-1.76,-2.02
196802,1.69,1.43
196902,2.4,2.14
197002,1.03,0.77
197102,2.31,2.05
197202,-1.82,-2.08
197302,1.85,1.59
197402,4.22,3.96
197502,3.2,2.94
197602,-1.11,-1.37
197702,-3.44,-3.70
197802,1.29,1.03
197902,1.01,0.75
198002,-.87,-1.13
198102,-4.77,-5.03
198202,2.75,2.49
198302,3.37,3.11
198402,1.23,0.97
198502,3.6,3.34
198602,3.51,3.25
198702,-.04,-0.30
198802,1.27,1.01
198902,.76,0.50
199002,1.12,0.86
199102,-.65,-0.91
199202,-.34,-0.60
199302,3.12,2.86
199402,4.95,4.69
199502,2.07,1.81
199602,-1.73,-1.99
199702,2.9,2.64
199802,1.17,0.91
199902,2.69,2.43
200002,-3.02,-3.28
200102,1.23,0.97
200202,1.11,0.85
200302,-2.29,-2.55
200402,.63,0.37
200502,3.28,3.02
200602,-3.02,-3.28
200702,1.18,0.92
200802,1.49,1.23
200902,3.28,3.02
201002,4.7,4.44
201102,2.64,2.38
201202,-.71,-0.97
201302,.87,0.61
201402,-.61,-0.87
201502,1.11,0.85
