Idaho, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.87,-0.89
189602,.2,0.18
189702,2.51,2.49
189802,1.38,1.36
189902,.41,0.39
190002,-.41,-0.43
190102,1.61,1.59
190202,.81,0.79
190302,-1.11,-1.13
190402,2.34,2.32
190502,-4.53,-4.55
190602,.46,0.44
190702,2.56,2.54
190802,-1.71,-1.73
190902,3.79,3.77
191002,3.64,3.62
191102,-.59,-0.61
191202,1.49,1.47
191302,2.25,2.23
191402,-.14,-0.16
191502,-3.11,-3.13
191602,2.65,2.63
191702,1.77,1.75
191802,-.91,-0.93
191902,-1.55,-1.57
192002,-3.35,-3.37
192102,2.21,2.19
192202,.3,0.28
192302,-1.92,-1.94
192402,-.53,-0.55
192502,1.78,1.76
192602,.61,0.59
192702,2.18,2.16
192802,-.96,-0.98
192902,-3.15,-3.17
193002,-3.43,-3.45
193102,-3.01,-3.03
193202,-3.1,-3.12
193302,-.09,-0.11
193402,-1.91,-1.93
193502,-4.18,-4.20
193602,-2.51,-2.53
193702,-4.84,-4.86
193802,.87,0.85
193902,-.44,-0.46
194002,-2.25,-2.27
194102,-.72,-0.74
194202,2.41,2.39
194302,2.23,2.21
194402,-3.24,-3.26
194502,.44,0.42
194602,1.61,1.59
194702,-.82,-0.84
194802,1.04,1.02
194902,2.27,2.25
195002,.92,0.90
195102,2.11,2.09
195202,.02,0.00
195302,.76,0.74
195402,-1.77,-1.79
195502,-3.37,-3.39
195602,-.17,-0.19
195702,.37,0.35
195802,.43,0.41
195902,-.01,-0.03
196002,.28,0.26
196102,-1.34,-1.36
196202,.81,0.79
196302,-.49,-0.51
196402,.56,0.54
196502,4.17,4.15
196602,-1.98,-2.00
196702,.13,0.11
196802,.55,0.53
196902,-.12,-0.14
197002,.64,0.62
197102,3.43,3.41
197202,3.71,3.69
197302,-1.28,-1.30
197402,2.89,2.87
197502,.88,0.86
197602,3.32,3.30
197702,-5.85,-5.87
197802,2.4,2.38
197902,-1.18,-1.20
198002,.35,0.33
198102,-.64,-0.66
198202,2.91,2.89
198302,3.76,3.74
198402,4.17,4.15
198502,-1.13,-1.15
198602,3.4,3.38
198702,-2.9,-2.92
198802,-4.41,-4.43
198902,-2.94,-2.96
199002,-2.65,-2.67
199102,-2.66,-2.68
199202,-1.81,-1.83
199302,-2.69,-2.71
199402,-2.13,-2.15
199502,.62,0.60
199602,4.77,4.75
199702,3.74,3.72
199802,1.4,1.38
199902,3.62,3.60
200002,-1.26,-1.28
200102,-4.15,-4.17
200202,-3.11,-3.13
200302,-3.27,-3.29
200402,-2.83,-2.85
200502,-2.2,-2.22
200602,1.78,1.76
200702,-.95,-0.97
200802,-1.55,-1.57
200902,-2.17,-2.19
201002,-1.91,-1.93
201102,2.11,2.09
201202,-1.17,-1.19
201302,-1.09,-1.11
201402,-3,-3.02
201502,-1.71,-1.73
201602,-1.82,-1.84
