Massachusetts, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-1.62,-1.45
189606,-1.83,-1.66
189706,.76,0.93
189806,1.71,1.88
189906,-1.47,-1.30
190006,-.65,-0.48
190106,2.08,2.25
190206,1.1,1.27
190306,1.55,1.72
190406,-.39,-0.22
190506,.51,0.68
190606,.8,0.97
190706,-1.26,-1.09
190806,-1.36,-1.19
190906,-.57,-0.40
191006,-1.43,-1.26
191106,-3.65,-3.48
191206,-1.04,-0.87
191306,-1.66,-1.49
191406,-.96,-0.79
191506,-3.18,-3.01
191606,1.66,1.83
191706,.96,1.13
191806,-1.78,-1.61
191906,-.9,-0.73
192006,2.78,2.95
192106,-.26,-0.09
192206,1.73,1.90
192306,-1.06,-0.89
192406,-.55,-0.38
192506,-1.65,-1.48
192606,-1.09,-0.92
192706,-.09,0.08
192806,2.28,2.45
192906,-.51,-0.34
193006,-3.08,-2.91
193106,1.35,1.52
193206,-2.35,-2.18
193306,-1.24,-1.07
193406,-.11,0.06
193506,.73,0.90
193606,-.86,-0.69
193706,1.28,1.45
193806,1.49,1.66
193906,-.95,-0.78
194006,-.17,0.00
194106,-2.68,-2.51
194206,-.01,0.16
194306,-.71,-0.54
194406,-1.67,-1.50
194506,1.61,1.78
194606,.72,0.89
194706,.65,0.82
194806,1.72,1.89
194906,-2.04,-1.87
195006,-2.62,-2.45
195106,.37,0.54
195206,1.37,1.54
195306,-.69,-0.52
195406,-.27,-0.10
195506,-1.36,-1.19
195606,-.85,-0.68
195706,-2.72,-2.55
195806,1.37,1.54
195906,.39,0.56
196006,.75,0.92
196106,-.37,-0.20
196206,-1.23,-1.06
196306,-1.35,-1.18
196406,-2.82,-2.65
196506,-4.54,-4.37
196606,-4.37,-4.20
196706,1.62,1.79
196806,1.59,1.76
196906,-.75,-0.58
197006,-.21,-0.04
197106,-1.48,-1.31
197206,3.5,3.67
197306,3.44,3.61
197406,1.54,1.71
197506,.17,0.34
197606,-1.66,-1.49
197706,.75,0.92
197806,-1.16,-0.99
197906,1.27,1.44
198006,-1.14,-0.97
198106,-2.31,-2.14
198206,2.48,2.65
198306,3.02,3.19
198406,4.32,4.49
198506,.34,0.51
198606,.99,1.16
198706,-1.05,-0.88
198806,-1.66,-1.49
198906,1.51,1.68
199006,1.93,2.10
199106,-1.39,-1.22
199206,.55,0.72
199306,-1.57,-1.40
199406,-.7,-0.53
199506,-2.05,-1.88
199606,1.82,1.99
199706,-.87,-0.70
199806,3.27,3.44
199906,-1.91,-1.74
200006,1.58,1.75
200106,.67,0.84
200206,-1.28,-1.11
200306,1.87,2.04
200406,-.59,-0.42
200506,-.58,-0.41
200606,4.01,4.18
200706,-.52,-0.35
200806,1.6,1.77
200906,2.13,2.30
201006,-1.78,-1.61
201106,1.44,1.61
201206,-1.83,-1.66
201306,2.41,2.58
201406,.04,0.21
201506,-1.02,-0.85
