Louisiana, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,-.14,-0.02
189601,-1.26,-1.14
189701,-2.48,-2.36
189801,-1.73,-1.61
189901,.56,0.68
190001,-.16,-0.04
190101,-1.33,-1.21
190201,-2.82,-2.70
190301,.21,0.33
190401,-3.39,-3.27
190501,.24,0.36
190601,-.49,-0.37
190701,-2.46,-2.34
190801,-1.36,-1.24
190901,-2.19,-2.07
191001,-1.8,-1.68
191101,-1.97,-1.85
191201,2.27,2.39
191301,1.64,1.76
191401,-2.02,-1.90
191501,.55,0.67
191601,-1.01,-0.89
191701,-1.58,-1.46
191801,-4.3,-4.18
191901,1.62,1.74
192001,2.95,3.07
192101,-.68,-0.56
192201,.24,0.36
192301,-.9,-0.78
192401,3.57,3.69
192501,-3.96,-3.84
192601,1.48,1.60
192701,-.92,-0.80
192801,-1.89,-1.77
192901,.23,0.35
193001,1.8,1.92
193101,-.69,-0.57
193201,2.82,2.94
193301,.79,0.91
193401,-1.86,-1.74
193501,-.69,-0.57
193601,-1.01,-0.89
193701,-1.95,-1.83
193801,-.35,-0.23
193901,-1.22,-1.10
194001,-2.61,-2.49
194101,3.5,3.62
194201,1.52,1.64
194301,-1.41,-1.29
194401,1.37,1.49
194501,.84,0.96
194601,2.6,2.72
194701,3.39,3.51
194801,1.32,1.44
194901,1.15,1.27
195001,-.95,-0.83
195101,-.66,-0.54
195201,-3.23,-3.11
195301,-3.22,-3.10
195401,-1.11,-0.99
195501,-3.73,-3.61
195601,-1.63,-1.51
195701,-2.75,-2.63
195801,2.22,2.34
195901,-1.85,-1.73
196001,-.58,-0.46
196101,.57,0.69
196201,3.74,3.86
196301,-2.97,-2.85
196401,-3.12,-3.00
196501,-1.88,-1.76
196601,.91,1.03
196701,-1.49,-1.37
196801,.93,1.05
196901,-.95,-0.83
197001,-2.54,-2.42
197101,-1.75,-1.63
197201,2.1,2.22
197301,1.29,1.41
197401,4.6,4.72
197501,2.59,2.71
197601,-1.22,-1.10
197701,.73,0.85
197801,2.05,2.17
197901,1.34,1.46
198001,2.08,2.20
198101,-3.46,-3.34
198201,-2.93,-2.81
198301,2.79,2.91
198401,2.41,2.53
198501,-1.02,-0.90
198601,-1.5,-1.38
198701,1.74,1.86
198801,.18,0.30
198901,-.14,-0.02
199001,2.83,2.95
199101,1.61,1.73
199201,3.49,3.61
199301,3.33,3.45
199401,-.58,-0.46
199501,-.31,-0.19
199601,-.93,-0.81
199701,1.03,1.15
199801,2.92,3.04
199901,2.06,2.18
200001,-3.79,-3.67
200101,1.38,1.50
200201,-.34,-0.22
200301,-1.04,-0.92
200401,-.56,-0.44
200501,-.81,-0.69
200601,-3.32,-3.20
200701,2.24,2.36
200801,-.83,-0.71
200901,-1.01,-0.89
201001,-.38,-0.26
201101,-3.52,-3.40
201201,-3.97,-3.85
201301,2.39,2.51
201401,-1.25,-1.13
201501,-.34,-0.22
