Texas, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,.56,0.57
189603,-.2,-0.19
189703,-1.83,-1.82
189803,-2.38,-2.37
189903,-2.37,-2.36
190003,1.3,1.31
190103,-1.85,-1.84
190203,-4.36,-4.35
190303,3.09,3.10
190403,-3.54,-3.53
190503,1.22,1.23
190603,2,2.01
190703,-2.21,-2.20
190803,1.64,1.65
190903,-2.82,-2.81
191003,-3.74,-3.73
191103,-4.4,-4.39
191203,1.43,1.44
191303,-.64,-0.63
191403,2.9,2.91
191503,4.48,4.49
191603,-2.86,-2.85
191703,-4.35,-4.34
191803,-6.35,-6.34
191903,3.04,3.05
192003,5.87,5.88
192103,-.58,-0.57
192203,.65,0.66
192303,1.39,1.40
192403,3.62,3.63
192503,-4.08,-4.07
192603,1.9,1.91
192703,-.05,-0.04
192803,-2.43,-2.42
192903,.69,0.70
193003,-.38,-0.37
193103,3.38,3.39
193203,2.14,2.15
193303,-.1,-0.09
193403,-1.31,-1.30
193503,-3.02,-3.01
193603,-1.21,-1.20
193703,1.18,1.19
193803,1.05,1.06
193903,-1.64,-1.63
194003,-2.83,-2.82
194103,3.7,3.71
194203,4.06,4.07
194303,-1.4,-1.39
194403,1.59,1.60
194503,2.95,2.96
194603,1.11,1.12
194703,1.43,1.44
194803,-.67,-0.66
194903,1.02,1.03
195003,.7,0.71
195103,-2.61,-2.60
195203,-4.7,-4.69
195303,-3.45,-3.44
195403,-4.03,-4.02
195503,-4.83,-4.82
195603,-4.92,-4.91
195703,.66,0.67
195803,4.52,4.53
195903,1.18,1.19
196003,2.33,2.34
196103,3.57,3.58
196203,-1.08,-1.07
196303,-2.72,-2.71
196403,-2.61,-2.60
196503,-1.61,-1.60
196603,-.45,-0.44
196703,-3.38,-3.37
196803,2.49,2.50
196903,3.23,3.24
197003,2.97,2.98
197103,-3.5,-3.49
197203,-1.23,-1.22
197303,2.23,2.24
197403,-1.25,-1.24
197503,3.57,3.58
197603,-2.51,-2.50
197703,2.32,2.33
197803,-2.18,-2.17
197903,1.79,1.80
198003,-.82,-0.81
198103,.33,0.34
198203,-1,-0.99
198303,1.87,1.88
198403,-.68,-0.67
198503,2.92,2.93
198603,-1.46,-1.45
198703,3.73,3.74
198803,-.5,-0.49
198903,-1.37,-1.36
199003,.86,0.87
199103,.28,0.29
199203,5.25,5.26
199303,4.19,4.20
199403,-.84,-0.83
199503,1.19,1.20
199603,-2.64,-2.63
199703,1.68,1.69
199803,3.52,3.53
199903,1.26,1.27
200003,-3.48,-3.47
200103,4.14,4.15
200203,-.39,-0.38
200303,-.2,-0.19
200403,.49,0.50
200503,4.36,4.37
200603,-3.43,-3.42
200703,1.84,1.85
200803,-1.52,-1.51
200903,-3.88,-3.87
201003,2.97,2.98
201103,-3.39,-3.38
201203,-3.54,-3.53
201303,-4.32,-4.31
201403,-3.1,-3.09
201503,1.49,1.50
