Pennsylvania, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-1.83,-1.88
189606,.16,0.11
189706,.27,0.22
189806,-.58,-0.63
189906,-1.26,-1.31
190006,-1.66,-1.71
190106,1.59,1.54
190206,2,1.95
190306,2.71,2.66
190406,1.78,1.73
190506,.42,0.37
190606,.84,0.79
190706,1.37,1.32
190806,-.76,-0.81
190906,-1.19,-1.24
191006,-2.01,-2.06
191106,-2.3,-2.35
191206,1.23,1.18
191306,-.86,-0.91
191406,-.37,-0.42
191506,.33,0.28
191606,2.69,2.64
191706,.98,0.93
191806,-.09,-0.14
191906,.3,0.25
192006,.49,0.44
192106,-1.5,-1.55
192206,-.41,-0.46
192306,-2.85,-2.90
192406,2.74,2.69
192506,-2.54,-2.59
192606,-1.61,-1.66
192706,1.76,1.71
192806,4.22,4.17
192906,-.22,-0.27
193006,-.94,-0.99
193106,-4.06,-4.11
193206,-2.93,-2.98
193306,-.86,-0.91
193406,-2.44,-2.49
193506,.09,0.04
193606,-1.08,-1.13
193706,1.62,1.57
193806,.48,0.43
193906,-1.12,-1.17
194006,1.96,1.91
194106,-2.3,-2.35
194206,.22,0.17
194306,-.6,-0.65
194406,-.65,-0.70
194506,.76,0.71
194606,2.15,2.10
194706,1.1,1.05
194806,1.72,1.67
194906,-1.83,-1.88
195006,1,0.95
195106,2.88,2.83
195206,-1.11,-1.16
195306,-.69,-0.74
195406,-2.61,-2.66
195506,-1.42,-1.47
195606,1.74,1.69
195706,-.67,-0.72
195806,1.02,0.97
195906,-1.4,-1.45
196006,.93,0.88
196106,1.29,1.24
196206,-2.03,-2.08
196306,-2.78,-2.83
196406,-2.18,-2.23
196506,-4.08,-4.13
196606,-3.71,-3.76
196706,.11,0.06
196806,-.62,-0.67
196906,-.04,-0.09
197006,.15,0.10
197106,-1.62,-1.67
197206,4.81,4.76
197306,2.72,2.67
197406,1.81,1.76
197506,2.43,2.38
197606,1.1,1.05
197706,.1,0.05
197806,2.09,2.04
197906,1.35,1.30
198006,-.21,-0.26
198106,1,0.95
198206,1.21,1.16
198306,2.27,2.22
198406,2.74,2.69
198506,0,-0.05
198606,.3,0.25
198706,-1.41,-1.46
198806,-2.18,-2.23
198906,2.81,2.76
199006,.4,0.35
199106,-3.01,-3.06
199206,-3.93,-3.98
199306,-1.15,-1.20
199406,2.4,2.35
199506,-1.64,-1.69
199606,2.68,2.63
199706,2.02,1.97
199806,2.34,2.29
199906,-3.11,-3.16
200006,.88,0.83
200106,-1.5,-1.55
200206,-1.32,-1.37
200306,1.5,1.45
200406,3.08,3.03
200506,-1.46,-1.51
200606,1.71,1.66
200706,-1.24,-1.29
200806,-.32,-0.37
200906,.75,0.70
201006,-1.5,-1.55
201106,2.93,2.88
201206,-1.96,-2.01
201306,.88,0.83
201406,1.58,1.53
201506,1.92,1.87
