Kentucky, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-1.24,-1.07
189608,.95,1.12
189708,-.49,-0.32
189808,.48,0.65
189908,-1.5,-1.33
190008,-2.04,-1.87
190108,-2.86,-2.69
190208,-3.6,-3.43
190308,-1.07,-0.90
190408,-2.36,-2.19
190508,.92,1.09
190608,.83,1.00
190708,2.56,2.73
190808,-.59,-0.42
190908,-.3,-0.13
191008,2.22,2.39
191108,-1.79,-1.62
191208,2.88,3.05
191308,-2.94,-2.77
191408,-3.29,-3.12
191508,2.53,2.70
191608,2.04,2.21
191708,1.86,2.03
191808,-1.77,-1.60
191908,-1.62,-1.45
192008,3.14,3.31
192108,.26,0.43
192208,-.53,-0.36
192308,1.66,1.83
192408,.31,0.48
192508,-3,-2.83
192608,1.38,1.55
192708,-.25,-0.08
192808,2.85,3.02
192908,.67,0.84
193008,-5.18,-5.01
193108,-4.36,-4.19
193208,0,0.17
193308,-.57,-0.40
193408,-2.32,-2.15
193508,3.43,3.60
193608,-4.43,-4.26
193708,-1.17,-1.00
193808,1.91,2.08
193908,-.35,-0.18
194008,-2.35,-2.18
194108,-3.79,-3.62
194208,1.51,1.68
194308,-1.63,-1.46
194408,-3.55,-3.38
194508,-.66,-0.49
194608,.63,0.80
194708,.83,1.00
194808,-.89,-0.72
194908,.43,0.60
195008,4.13,4.30
195108,1.29,1.46
195208,-2.48,-2.31
195308,-3.17,-3.00
195408,-4.64,-4.47
195508,-.81,-0.64
195608,-.16,0.01
195708,-1.17,-1.00
195808,2.79,2.96
195908,-1.32,-1.15
196008,-.3,-0.13
196108,2.66,2.83
196208,1.03,1.20
196308,.55,0.72
196408,-2.27,-2.10
196508,-1.3,-1.13
196608,.4,0.57
196708,2.1,2.27
196808,-.35,-0.18
196908,-.03,0.14
197008,.25,0.42
197108,1.53,1.70
197208,1.22,1.39
197308,2.52,2.69
197408,2.89,3.06
197508,2.32,2.49
197608,1.48,1.65
197708,1.36,1.53
197808,1.83,2.00
197908,4.73,4.90
198008,-1.43,-1.26
198108,1.23,1.40
198208,1.1,1.27
198308,-1.97,-1.80
198408,-1.08,-0.91
198508,1.19,1.36
198608,-2.8,-2.63
198708,-2.49,-2.32
198808,-3.53,-3.36
198908,3.41,3.58
199008,1.28,1.45
199108,-1.89,-1.72
199208,1.64,1.81
199308,-.78,-0.61
199408,-.41,-0.24
199508,-.78,-0.61
199608,1.79,1.96
199708,-.81,-0.64
199808,-.5,-0.33
199908,-3.47,-3.30
200008,-1.58,-1.41
200108,.89,1.06
200208,-1.5,-1.33
200308,3.15,3.32
200408,2.98,3.15
200508,-.57,-0.40
200608,.43,0.60
200708,-3.54,-3.37
200808,-1.04,-0.87
200908,2.25,2.42
201008,-.89,-0.72
201108,2.19,2.36
201208,-2.59,-2.42
201308,2.69,2.86
201408,2.05,2.22
201508,3.53,3.70
